run_id,n_chains,chain_length,box_size,eps_AB,delta_eps,seed,q_peak,S_psi_peak,S_psi_peak_sem_time,S_psi_kmin,S_rho_kmin,non_gaussian_ratio_peak,shell_anisotropy_peak,peak_intensity_relative_variance,cg_variance_1p5,cg_variance_2,cg_variance_3,tau_psi_peak,gamma_psi_peak,kww_tau_peak,kww_beta_peak,plateau_psi_peak,S_psi_peak_relative_drift,energy_per_bead,mean_Rg,T_inst_star,n_frames_window
M0144_N40_kappa0p5_pi0p990_epsAB0p8_seed1,144,40,22,0.8,0.2,1,0.2855993321,193.6492742,5.752649087,193.6492742,518.8750461,1.492546199,2.860015941,0.006394173989,0.3291153134,0.253130393,0.1394514595,,2.433355716e-05,,,0.8582427214,0.08009386681,-2.522154807,3.031991064,0.6997038813,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p8_seed2,144,40,22,0.8,0.2,2,0.2855993321,174.9500193,5.075207363,174.9500193,517.4425737,1.140614765,1.952858601,0.005709010906,0.3044539524,0.2301434381,0.1243957163,,2.31911984e-05,42310.17022,1.072366411,0.6660947584,0.09537519366,-2.517311494,3.041874413,0.7005230028,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p8_seed3,144,40,22,0.8,0.2,3,0.2855993321,194.1485778,1.236622165,194.1485778,517.1667732,1.519521328,2.918403261,0.001151854626,0.3006700301,0.2342590645,0.132557307,,2.153771692e-05,2180893.828,0.3456713959,0.872480796,0.009680879951,-2.51032526,3.045463689,0.7007918195,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p8_seed4,144,40,22,0.8,0.2,4,0.2855993321,205.7067853,2.97235913,205.7067853,518.1303901,1.54001688,2.953478125,0.002248817839,0.3226864481,0.251861193,0.142264294,,2.221600513e-05,41316.34548,1.227431508,0.6828001411,-0.02096504765,-2.517721993,3.045491775,0.7002027794,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p7_seed1,144,40,22,0.7,0.3,1,0.2855993321,221.8415117,3.508083862,221.8415117,502.0267461,1.524931656,2.923045673,0.002486369261,0.3663752806,0.2814362771,0.1562409404,,2.200462291e-05,,,0.8604950262,0.002687974106,-2.42496904,3.069805967,0.7005594271,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p7_seed2,144,40,22,0.7,0.3,2,0.2855993321,219.0252574,2.030284349,219.0252574,409.9526452,1.40689078,2.95589372,0.001394759928,0.3435227037,0.2630792129,0.146738483,,2.233885914e-05,66782.16154,0.9047785343,0.7386098137,0.0001141093372,-2.39174106,3.070685648,0.6998858453,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p7_seed3,144,40,22,0.7,0.3,3,0.2855993321,188.6583922,3.970570466,188.6583922,499.6488357,1.179951106,2.003843937,0.003341423949,0.3195421249,0.2409332141,0.1307605741,,2.302871384e-05,59663.79226,1.187270759,0.7658505167,0.06711143261,-2.405040464,3.04521001,0.7000949474,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p7_seed4,144,40,22,0.7,0.3,4,0.2855993321,204.1633879,2.322558701,204.1633879,501.8460115,1.358677278,2.699144137,0.002674838637,0.3430823855,0.2609687766,0.1433415154,,2.276388442e-05,38519.80418,1.225340793,0.6605224402,0.01958411659,-2.414501292,3.041705504,0.6997200843,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p5_seed1,144,40,22,0.5,0.5,1,0.4946725539,88.85083214,4.008435152,63.40069156,473.1256716,1.316507899,1.834359521,0.02361733912,0.3504176202,0.2254363041,0.0878831427,,0.0001037316626,3062.142666,0.1394154733,0.5901165495,-0.01344633657,-2.273690218,3.044428045,0.6997492438,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p5_seed2,144,40,22,0.5,0.5,2,0.2855993321,87.50662546,5.987198145,87.50662546,391.0500431,1.285666941,1.817593557,0.03024338385,0.3420372711,0.2289072366,0.09754007745,,4.670435514e-05,81696.07341,0.9161084146,0.7713267066,0.2616460734,-2.235541826,3.029208845,0.7006842434,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p5_seed3,144,40,22,0.5,0.5,3,0.4038984489,94.46519205,3.572623011,56.45681278,470.9820903,1.235174384,1.681752297,0.009155043303,0.3203957182,0.2111871418,0.0862950074,21312.39128,7.099042715e-05,21911.3467,1.542596255,0.4402463714,-0.14917119,-2.241815449,3.011750678,0.7000645628,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p5_seed4,144,40,22,0.5,0.5,4,0.2855993321,125.5507602,10.66733968,125.5507602,470.8239267,1.212808656,1.410226749,0.03440169797,0.3546691157,0.2462218117,0.115284599,,3.491634442e-05,63050.52759,0.8264099315,0.7042944353,0.2965512029,-2.252480584,3.018049782,0.7004579609,2500
