n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,0.8,0.2,0.2855993321,,
144,0.8,0.2,0.4038984489,24683.09047,
144,0.8,0.2,0.4946725539,10623.0922,2128.170023
144,0.8,0.2,0.5711986643,4476.021809,1413.692325
144,0.8,0.2,0.638619521,4456.538007,997.5557437
144,0.8,0.2,0.6995726346,3235.900866,969.8493811
144,0.8,0.2,0.8077968978,1728.395677,120.0543954
144,0.8,0.2,0.8567979964,1780.12765,92.36922175
144,0.8,0.2,0.9031443878,3438.585641,356.2727391
144,0.8,0.2,0.9472258251,1076.865657,110.693123
144,0.8,0.2,0.9893451078,785.5039004,121.9472278
144,0.8,0.2,1.029743036,582.6164839,20.65892596
144,0.8,0.2,1.068614851,493.8707018,15.91153265
144,0.8,0.2,1.142397329,575.7301993,250.0763979
144,0.8,0.2,1.177556213,354.9978595,17.4061726
144,0.8,0.2,1.211695347,291.0156111,13.26864233
144,0.8,0.2,1.244898627,236.0779267,12.93626793
144,0.8,0.2,1.277239042,225.701418,10.95668284
144,0.8,0.2,1.308780558,198.1869808,4.140933331
144,0.8,0.2,1.339579608,177.0779767,4.277912675
144,0.8,0.2,1.399145269,147.1330248,3.69216064
144,0.8,0.2,1.427996661,138.6228709,3.241220183
144,0.8,0.2,1.456276568,143.3142933,2.447577781
144,0.8,0.2,1.484017662,114.3308316,3.842201089
144,0.7,0.3,0.2855993321,,
144,0.7,0.3,0.4038984489,21738.44748,2911.639428
144,0.7,0.3,0.4946725539,8287.467862,2177.51698
144,0.7,0.3,0.5711986643,4933.13413,1829.591439
144,0.7,0.3,0.638619521,6344.937373,1160.262505
144,0.7,0.3,0.6995726346,4355.955505,753.6282887
144,0.7,0.3,0.8077968978,2278.205703,758.4248591
144,0.7,0.3,0.8567979964,1787.877771,147.7175896
144,0.7,0.3,0.9031443878,2850.000257,588.5098647
144,0.7,0.3,0.9472258251,1218.336394,123.0643762
144,0.7,0.3,0.9893451078,699.1988182,48.1133
144,0.7,0.3,1.029743036,709.0320526,49.48828947
144,0.7,0.3,1.068614851,594.3236106,42.28874738
144,0.7,0.3,1.142397329,874.4378578,462.0925831
144,0.7,0.3,1.177556213,379.5643676,17.01113161
144,0.7,0.3,1.211695347,323.3465556,20.84734353
144,0.7,0.3,1.244898627,265.6917299,4.798417324
144,0.7,0.3,1.277239042,242.4688517,7.138539364
144,0.7,0.3,1.308780558,213.4299295,3.776658377
144,0.7,0.3,1.339579608,178.9262001,4.370080388
144,0.7,0.3,1.399145269,154.8607698,5.602290942
144,0.7,0.3,1.427996661,145.3367422,8.096625087
144,0.7,0.3,1.456276568,148.5344457,11.17946998
144,0.7,0.3,1.484017662,122.4226537,3.574210763
144,0.5,0.5,0.2855993321,,
144,0.5,0.5,0.4038984489,21312.39128,
144,0.5,0.5,0.4946725539,16760.78336,2899.441282
144,0.5,0.5,0.5711986643,21811.71272,534.2622739
144,0.5,0.5,0.638619521,10983.26082,1075.15539
144,0.5,0.5,0.6995726346,7274.019526,587.4101896
144,0.5,0.5,0.8077968978,4225.986013,607.96054
144,0.5,0.5,0.8567979964,2942.909943,251.6938027
144,0.5,0.5,0.9031443878,2210.445226,136.3211652
144,0.5,0.5,0.9472258251,1875.635988,231.1601248
144,0.5,0.5,0.9893451078,1308.871194,120.5666693
144,0.5,0.5,1.029743036,1114.145995,93.55149732
144,0.5,0.5,1.068614851,872.8130686,41.515791
144,0.5,0.5,1.142397329,637.0698783,37.1823495
144,0.5,0.5,1.177556213,600.5260515,44.4519748
144,0.5,0.5,1.211695347,468.7923249,36.33523782
144,0.5,0.5,1.244898627,345.8597861,14.46823236
144,0.5,0.5,1.277239042,322.4326538,11.5207776
144,0.5,0.5,1.308780558,276.3375333,12.32056946
144,0.5,0.5,1.339579608,230.6237164,9.657264532
144,0.5,0.5,1.399145269,189.4467908,9.122306415
144,0.5,0.5,1.427996661,159.4359122,2.358653403
144,0.5,0.5,1.456276568,152.5629436,4.804774917
144,0.5,0.5,1.484017662,143.5940898,5.098350957
