n_chains,eps_AB,delta_eps,q_peak,lag_time,F_psi_mean,F_psi_sem
144,1,0,0.2855993321,0,1,0
144,1,0,0.2855993321,2.5,0.9982552618,0.0002010843181
144,1,0,0.2855993321,5,0.9969370931,0.0003562898277
144,1,0,0.2855993321,7.5,0.9958357922,0.0004907218497
144,1,0,0.2855993321,10,0.994820311,0.0006130038612
144,1,0,0.2855993321,12.5,0.9938959883,0.0007365272928
144,1,0,0.2855993321,15,0.993028187,0.0008455369509
144,1,0,0.2855993321,17.5,0.9922104331,0.0009648447582
144,1,0,0.2855993321,20,0.9914061006,0.001077582526
144,1,0,0.2855993321,22.5,0.9906122929,0.00118554292
144,1,0,0.2855993321,25,0.9898554249,0.001282427462
144,1,0,0.2855993321,27.5,0.9891022949,0.001380926496
144,1,0,0.2855993321,30,0.9883732676,0.001484681128
144,1,0,0.2855993321,32.5,0.9876686785,0.0015805569
144,1,0,0.2855993321,35,0.9869780166,0.001677202645
144,1,0,0.2855993321,37.5,0.9862900497,0.00176271678
144,1,0,0.2855993321,40,0.9856268552,0.001852115185
144,1,0,0.2855993321,42.5,0.984980181,0.001939147699
144,1,0,0.2855993321,45,0.9843476242,0.002018672999
144,1,0,0.2855993321,47.5,0.983724649,0.002095005664
144,1,0,0.2855993321,50,0.9831269086,0.002152176741
144,1,0,0.2855993321,52.5,0.9825452827,0.002207979391
144,1,0,0.2855993321,55,0.9819555986,0.002263569013
144,1,0,0.2855993321,57.5,0.981354397,0.002335043357
144,1,0,0.2855993321,60,0.9807851844,0.002407507998
144,1,0,0.2855993321,62.5,0.9802131571,0.002481589204
144,1,0,0.2855993321,65,0.979647167,0.002559851302
144,1,0,0.2855993321,67.5,0.9791125665,0.002625068675
144,1,0,0.2855993321,70,0.9785553868,0.002685987119
144,1,0,0.2855993321,72.5,0.9779842837,0.002753830807
144,1,0,0.2855993321,75,0.9774406553,0.0028254348
144,1,0,0.2855993321,77.5,0.9768939093,0.002900126997
144,1,0,0.2855993321,80,0.9763503064,0.002966623992
144,1,0,0.2855993321,82.5,0.9757983391,0.003036899105
144,1,0,0.2855993321,85,0.9752585625,0.00310553976
144,1,0,0.2855993321,87.5,0.9747427006,0.003181618776
144,1,0,0.2855993321,90,0.9742313671,0.003246643002
144,1,0,0.2855993321,92.5,0.9737515249,0.003316735027
144,1,0,0.2855993321,95,0.9732672605,0.003388788675
144,1,0,0.2855993321,97.5,0.9727817836,0.003458324073
144,1,0,0.2855993321,100,0.9723167043,0.003536625731
144,1,0,0.2855993321,102.5,0.9718501379,0.003605283078
144,1,0,0.2855993321,105,0.9713906593,0.003680538959
144,1,0,0.2855993321,107.5,0.9709417828,0.003752884841
144,1,0,0.2855993321,110,0.9704988732,0.003820823813
144,1,0,0.2855993321,112.5,0.9700313022,0.003874630997
144,1,0,0.2855993321,115,0.9695839805,0.00393374833
144,1,0,0.2855993321,117.5,0.9691487105,0.003990045486
144,1,0,0.2855993321,120,0.9687149334,0.004060890206
144,1,0,0.2855993321,122.5,0.9682750676,0.004137611419
144,1,0,0.2855993321,125,0.9678495184,0.004209383597
144,1,0,0.2855993321,127.5,0.9674134704,0.00428846713
144,1,0,0.2855993321,130,0.9669810137,0.004364757462
144,1,0,0.2855993321,132.5,0.9665277691,0.004442140589
144,1,0,0.2855993321,135,0.966051361,0.004512068441
144,1,0,0.2855993321,137.5,0.9655906317,0.004586988492
144,1,0,0.2855993321,140,0.9651307399,0.004652923906
