run_id,n_chains,chain_length,box_size,eps_AB,delta_eps,seed,q_peak,S_psi_peak,S_psi_peak_sem_time,S_psi_kmin,S_rho_kmin,non_gaussian_ratio_peak,shell_anisotropy_peak,peak_intensity_relative_variance,cg_variance_1p5,cg_variance_2,cg_variance_3,tau_psi_peak,gamma_psi_peak,kww_tau_peak,kww_beta_peak,plateau_psi_peak,S_psi_peak_relative_drift,energy_per_bead,mean_Rg,T_inst_star,n_frames_window
M0144_N40_kappa0p5_pi0p990_epsAB1_seed1,144,40,22,1,0,1,0.2855993321,6.306631686,0.288475497,6.306631686,345.0194453,1.309877687,1.266834456,0.03825507079,0.04315977948,0.02189832057,0.007195597532,,0.000705196871,243795.3989,0.2192003781,0.8013874919,-0.07267392996,-2.297112855,3.131844718,1.001183785,2500
M0144_N40_kappa0p5_pi0p990_epsAB1_seed2,144,40,22,1,0,2,0.2855993321,7.566672002,1.129575684,7.566672002,373.7141666,1.459505973,1.216187589,0.157993995,0.04624166207,0.02424272595,0.008237909379,,0.0005576702371,4057.564331,1.781510256,0.6504010966,-0.4797293113,-2.306137232,3.081427091,1.000320938,2500
M0144_N40_kappa0p5_pi0p990_epsAB1_seed3,144,40,22,1,0,3,0.2855993321,7.080740124,0.5606374345,7.080740124,344.5475069,1.487247567,1.347551114,0.0598053981,0.04306997418,0.02321989877,0.008343049038,,0.0005450409999,9208.598733,0.6929802251,0.6968276862,0.218307528,-2.295170568,3.113189983,0.9989452542,2500
M0144_N40_kappa0p5_pi0p990_epsAB1_seed4,144,40,22,1,0,4,0.2855993321,11.11083392,0.2793428208,11.11083392,344.354205,1.173870064,1.184772518,0.03701669735,0.04412894797,0.02380183434,0.009017415273,,0.0003881771517,10135.00176,1.01551125,0.7951410498,0.06677342266,-2.297974965,3.096621197,1.000062661,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p95_seed1,144,40,22,0.95,0.05,1,0.4946725539,16.38088722,1.72271459,10.52506814,353.3397733,1.226563458,1.485981618,0.07905818597,0.07819921147,0.04560271416,0.01658296618,,0.0008413245513,35782.70187,0.5740666094,0.8046907855,-0.1949661928,-2.219831123,3.108407774,0.999313638,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p95_seed2,144,40,22,0.95,0.05,2,0.5711986643,16.22317649,1.519243121,13.15948135,357.42183,1.941340807,1.58251682,0.1137993979,0.07960871606,0.04609069777,0.01672588136,2725.289971,0.001010259257,2838.875665,1.503688876,0.4522417653,-0.2278891341,-2.220426593,3.089542511,0.9997566754,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p95_seed3,144,40,22,0.95,0.05,3,0.4946725539,15.22603603,1.152412316,7.10899791,359.7169872,1.533916961,2.163955784,0.08433017111,0.07113119481,0.04090979126,0.01419438301,,0.0008272324623,5376.211516,0.9558948433,0.6279131878,-0.1234968784,-2.218753248,3.083692997,1.000091902,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p95_seed4,144,40,22,0.95,0.05,4,0.2855993321,13.75473374,4.111025374,13.75473374,372.0897183,1.504042266,1.663635472,0.393879213,0.07229608547,0.04083133756,0.01467815349,,0.0003956104303,6656.258193,0.825105941,0.6699684732,1.039967273,-2.224512838,3.098295036,0.9990470617,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p9_seed1,144,40,22,0.9,0.1,1,0.2855993321,80.3807941,8.147467628,80.3807941,348.6876168,1.194005619,2.422688452,0.04653297937,0.1565365724,0.1116999255,0.05754205124,,8.653176925e-05,43237.46018,0.9302984843,0.9346552992,0.3408361539,-2.146275654,3.095468749,0.9987718244,2500
M0144_N40_kappa0p5_pi0p990_epsAB0p9_seed2,144,40,22,0.9,0.1,2,0.2855993321,74.81056168,4.582588754,74.81056168,343.8453771,1.059015835,1.458350078,0.02120561892,0.1619031952,0.1155440736,0.05807134214,,0.0001197408334,22588.3091,1.108283274,0.9142145731,0.2233001893,-2.145255401,3.05383609,1.000612823,2500
