n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,1,0,0.2855993321,,
144,1,0,0.4038984489,1388.433504,
144,1,0,0.4946725539,1574.727841,24.82939363
144,1,0,0.5711986643,1869.354909,205.8019106
144,1,0,0.638619521,1253.973429,207.6614173
144,1,0,0.6995726346,723.1815973,81.19806072
144,1,0,0.8077968978,646.3443123,117.951314
144,1,0,0.8567979964,396.0983547,35.18880584
144,1,0,0.9031443878,328.949074,20.84283782
144,1,0,0.9472258251,289.2552403,34.81271208
144,1,0,0.9893451078,230.0953618,34.6395816
144,1,0,1.029743036,204.4036637,28.14156563
144,1,0,1.068614851,183.9132674,13.9313815
144,1,0,1.142397329,128.4136796,16.58321624
144,1,0,1.177556213,110.986538,2.57336378
144,1,0,1.211695347,94.42327337,2.249236337
144,1,0,1.244898627,86.39096785,3.368795437
144,1,0,1.277239042,86.70959367,5.13349324
144,1,0,1.308780558,72.92804452,4.481444778
144,1,0,1.339579608,59.5695307,1.136153834
144,1,0,1.399145269,54.06313724,1.151152042
144,1,0,1.427996661,51.07346494,2.531652217
144,1,0,1.456276568,44.79561056,1.160763267
144,1,0,1.484017662,41.94856995,1.516463747
144,0.95,0.05,0.2855993321,,
144,0.95,0.05,0.4038984489,,
144,0.95,0.05,0.4946725539,,
144,0.95,0.05,0.5711986643,1578.937926,404.9060662
144,0.95,0.05,0.638619521,1501.888105,76.26930909
144,0.95,0.05,0.6995726346,1076.069797,124.7761919
144,0.95,0.05,0.8077968978,693.6132347,54.90541956
144,0.95,0.05,0.8567979964,437.9134493,48.90484825
144,0.95,0.05,0.9031443878,457.8939558,41.99680587
144,0.95,0.05,0.9472258251,332.535057,16.64644488
144,0.95,0.05,0.9893451078,278.8792453,12.04849061
144,0.95,0.05,1.029743036,222.4740275,10.07020044
144,0.95,0.05,1.068614851,183.310852,8.757421187
144,0.95,0.05,1.142397329,129.7397756,15.7849737
144,0.95,0.05,1.177556213,116.3763511,9.129465844
144,0.95,0.05,1.211695347,103.3298624,3.417989826
144,0.95,0.05,1.244898627,83.33603268,2.338336248
144,0.95,0.05,1.277239042,78.04691655,5.654087402
144,0.95,0.05,1.308780558,71.10297812,2.099912212
144,0.95,0.05,1.339579608,62.37302955,1.157603595
144,0.95,0.05,1.399145269,51.19027636,1.380594903
144,0.95,0.05,1.427996661,46.31153877,1.686101843
144,0.95,0.05,1.456276568,45.2366465,1.338661106
144,0.95,0.05,1.484017662,41.53159699,2.271304056
