n_chains,eps_AB,delta_eps,shell_q,S_psi_mean,S_psi_sem
144,1,0,0.2855993321,8.603952273,2.439574028
144,1,0,0.4038984489,6.563662208,0.6023366427
144,1,0,0.4946725539,5.601273033,0.3689846492
144,1,0,0.5711986643,4.545944207,0.2371923448
144,1,0,0.638619521,3.63580648,0.1181322417
144,1,0,0.6995726346,3.228008235,0.1031623308
144,1,0,0.8077968978,2.683679425,0.09670200712
144,1,0,0.8567979964,2.663301142,0.07746306834
144,1,0,0.9031443878,2.43843262,0.0555556821
144,1,0,0.9472258251,2.28178437,0.05087417734
144,1,0,0.9893451078,2.057761823,0.05643967716
144,1,0,1.029743036,2.065787594,0.0147845896
144,1,0,1.068614851,1.984587102,0.02901656925
144,1,0,1.142397329,1.861333337,0.06281765442
144,1,0,1.177556213,1.764202075,0.03481479613
144,1,0,1.211695347,1.709217397,0.02968704807
144,1,0,1.244898627,1.665310745,0.007856377634
144,1,0,1.277239042,1.598601017,0.02167862069
144,1,0,1.308780558,1.557766866,0.0158642084
144,1,0,1.339579608,1.518909931,0.009028811609
144,1,0,1.399145269,1.496770983,0.02192920492
144,1,0,1.427996661,1.432960271,0.01282657214
144,1,0,1.456276568,1.418969971,0.0180596689
144,1,0,1.484017662,1.393096702,0.01709784361
144,0.95,0.05,0.2855993321,13.28382539,3.228316314
144,0.95,0.05,0.4038984489,8.188294527,0.7858623422
144,0.95,0.05,0.4946725539,6.32132168,0.7009884968
144,0.95,0.05,0.5711986643,5.022122034,0.1585502021
144,0.95,0.05,0.638619521,4.227457405,0.2023407224
144,0.95,0.05,0.6995726346,4.009685117,0.1478339626
144,0.95,0.05,0.8077968978,3.221793177,0.1223915791
144,0.95,0.05,0.8567979964,2.803028809,0.06288840106
144,0.95,0.05,0.9031443878,2.760212176,0.05861171013
144,0.95,0.05,0.9472258251,2.56617823,0.07634705984
144,0.95,0.05,0.9893451078,2.337315682,0.08874183079
144,0.95,0.05,1.029743036,2.232692192,0.02449471346
144,0.95,0.05,1.068614851,2.06972741,0.04494930789
144,0.95,0.05,1.142397329,1.940639254,0.0468458382
144,0.95,0.05,1.177556213,1.83703655,0.02731939006
144,0.95,0.05,1.211695347,1.779798086,0.03272483712
144,0.95,0.05,1.244898627,1.69273287,0.03568188156
144,0.95,0.05,1.277239042,1.670165589,0.04187538145
144,0.95,0.05,1.308780558,1.618748269,0.02635470477
144,0.95,0.05,1.339579608,1.583498282,0.03479579618
144,0.95,0.05,1.399145269,1.493277792,0.01457685361
144,0.95,0.05,1.427996661,1.469782285,0.02583529515
144,0.95,0.05,1.456276568,1.429130153,0.01794152777
144,0.95,0.05,1.484017662,1.394400277,0.02115845158
144,0.9,0.1,0.2855993321,19.51433671,3.306557474
144,0.9,0.1,0.4038984489,12.88317727,1.019713013
144,0.9,0.1,0.4946725539,9.302722761,0.7228210784
144,0.9,0.1,0.5711986643,7.133438668,0.4944848385
144,0.9,0.1,0.638619521,5.634365977,0.4537709541
144,0.9,0.1,0.6995726346,4.531381366,0.1380550833
144,0.9,0.1,0.8077968978,3.313084314,0.08905621849
144,0.9,0.1,0.8567979964,2.974101108,0.1735470676
144,0.9,0.1,0.9031443878,2.748237735,0.07361386335
144,0.9,0.1,0.9472258251,2.550174026,0.07952931391
144,0.9,0.1,0.9893451078,2.374740162,0.06807029624
144,0.9,0.1,1.029743036,2.271293737,0.07574915467
144,0.9,0.1,1.068614851,2.063624489,0.05808170609
144,0.9,0.1,1.142397329,1.904248943,0.02559422156
144,0.9,0.1,1.177556213,1.850950676,0.04135644941
144,0.9,0.1,1.211695347,1.771904875,0.04667575436
144,0.9,0.1,1.244898627,1.720408734,0.05422266344
144,0.9,0.1,1.277239042,1.653682868,0.04924463811
144,0.9,0.1,1.308780558,1.590361946,0.03421939325
144,0.9,0.1,1.339579608,1.561419323,0.02819343965
144,0.9,0.1,1.399145269,1.460353209,0.01543058102
144,0.9,0.1,1.427996661,1.427483581,0.01752135166
144,0.9,0.1,1.456276568,1.406501876,0.02270327007
144,0.9,0.1,1.484017662,1.379219996,0.01762513795
144,0.85,0.15,0.2855993321,53.60388858,8.2104429
144,0.85,0.15,0.4038984489,19.09441704,1.467598922
144,0.85,0.15,0.4946725539,10.57689186,1.22692709
144,0.85,0.15,0.5711986643,5.120066063,0.2998516475
144,0.85,0.15,0.638619521,5.259367496,0.1713022576
144,0.85,0.15,0.6995726346,4.069890617,0.1435608244
144,0.85,0.15,0.8077968978,3.008644118,0.136067835
144,0.85,0.15,0.8567979964,2.880324956,0.09675786266
144,0.85,0.15,0.9031443878,2.622351212,0.05952079771
144,0.85,0.15,0.9472258251,2.407997592,0.03763094961
144,0.85,0.15,0.9893451078,2.276540196,0.04126505984
144,0.85,0.15,1.029743036,2.075703002,0.02618833463
144,0.85,0.15,1.068614851,1.981167945,0.04356806533
144,0.85,0.15,1.142397329,1.798414167,0.04530948194
144,0.85,0.15,1.177556213,1.72816332,0.03863624609
144,0.85,0.15,1.211695347,1.689659033,0.0311459774
144,0.85,0.15,1.244898627,1.605821477,0.03448136537
144,0.85,0.15,1.277239042,1.532515802,0.03120713213
144,0.85,0.15,1.308780558,1.516086405,0.0211067551
144,0.85,0.15,1.339579608,1.482321423,0.03256793331
144,0.85,0.15,1.399145269,1.416932107,0.03050439355
144,0.85,0.15,1.427996661,1.371544268,0.02061878067
144,0.85,0.15,1.456276568,1.343272527,0.01776068155
144,0.85,0.15,1.484017662,1.306153881,0.02190081995
144,0.8,0.2,0.2855993321,88.09949043,11.92090581
144,0.8,0.2,0.4038984489,20.2285861,2.457691381
144,0.8,0.2,0.4946725539,9.247752046,1.288920732
144,0.8,0.2,0.5711986643,5.957341828,0.2024745288
144,0.8,0.2,0.638619521,4.522842377,0.2015002254
144,0.8,0.2,0.6995726346,3.713559867,0.1240653017
144,0.8,0.2,0.8077968978,2.984896134,0.08304021919
144,0.8,0.2,0.8567979964,2.558786229,0.05029441543
144,0.8,0.2,0.9031443878,2.412137176,0.09106967001
144,0.8,0.2,0.9472258251,2.246853121,0.05028613897
144,0.8,0.2,0.9893451078,2.079268876,0.04608211824
144,0.8,0.2,1.029743036,2.006573626,0.04690883298
144,0.8,0.2,1.068614851,1.874408304,0.03857284348
144,0.8,0.2,1.142397329,1.762522008,0.04387358236
144,0.8,0.2,1.177556213,1.651647415,0.02518536787
144,0.8,0.2,1.211695347,1.589666901,0.02817752396
144,0.8,0.2,1.244898627,1.533928328,0.02504729053
144,0.8,0.2,1.277239042,1.476259617,0.02720285393
144,0.8,0.2,1.308780558,1.457327579,0.02108681223
144,0.8,0.2,1.339579608,1.418070689,0.01766543985
144,0.8,0.2,1.399145269,1.344053047,0.01754275367
144,0.8,0.2,1.427996661,1.325752646,0.01886347902
144,0.8,0.2,1.456276568,1.292909614,0.01463342619
144,0.8,0.2,1.484017662,1.266497674,0.01661154059
144,0.75,0.25,0.2855993321,104.5182942,5.589058196
144,0.75,0.25,0.4038984489,19.12261542,1.062059113
144,0.75,0.25,0.4946725539,9.27244624,0.4250883287
144,0.75,0.25,0.5711986643,6.511859497,0.3795681952
144,0.75,0.25,0.638619521,4.935034816,0.2133858649
144,0.75,0.25,0.6995726346,3.854327283,0.1804515469
144,0.75,0.25,0.8077968978,2.78631759,0.08974285884
144,0.75,0.25,0.8567979964,2.557070731,0.1071705713
144,0.75,0.25,0.9031443878,2.407424418,0.1061401103
144,0.75,0.25,0.9472258251,2.212091654,0.08521023775
144,0.75,0.25,0.9893451078,2.106993969,0.1323618375
144,0.75,0.25,1.029743036,1.960383345,0.06095363873
144,0.75,0.25,1.068614851,1.854820487,0.04986400412
144,0.75,0.25,1.142397329,1.71716648,0.05380005095
144,0.75,0.25,1.177556213,1.608520914,0.04230371
144,0.75,0.25,1.211695347,1.552134124,0.04351381424
144,0.75,0.25,1.244898627,1.516389439,0.04700054177
144,0.75,0.25,1.277239042,1.463510697,0.03120209539
144,0.75,0.25,1.308780558,1.439788866,0.03369181042
144,0.75,0.25,1.339579608,1.390881484,0.03101089763
144,0.75,0.25,1.399145269,1.334947141,0.02122136404
144,0.75,0.25,1.427996661,1.306554913,0.02545576665
144,0.75,0.25,1.456276568,1.283981325,0.02641900042
144,0.75,0.25,1.484017662,1.245969622,0.01692771109
144,0.7,0.3,0.2855993321,137.5320818,1.156946769
144,0.7,0.3,0.4038984489,13.65588135,1.561963642
144,0.7,0.3,0.4946725539,9.3105175,0.6632739489
144,0.7,0.3,0.5711986643,7.008912951,1.151094299
144,0.7,0.3,0.638619521,4.58105174,0.202926891
144,0.7,0.3,0.6995726346,3.570182492,0.123689432
144,0.7,0.3,0.8077968978,2.779308126,0.08202219569
144,0.7,0.3,0.8567979964,2.556858359,0.05123569084
144,0.7,0.3,0.9031443878,2.199408396,0.06943031047
144,0.7,0.3,0.9472258251,2.112243731,0.07065365128
144,0.7,0.3,0.9893451078,1.914109099,0.02860923814
144,0.7,0.3,1.029743036,1.856697571,0.02768322043
144,0.7,0.3,1.068614851,1.794895331,0.02546678108
144,0.7,0.3,1.142397329,1.673463004,0.05698424105
144,0.7,0.3,1.177556213,1.576875082,0.02941314519
144,0.7,0.3,1.211695347,1.511524657,0.02463519465
144,0.7,0.3,1.244898627,1.485223301,0.03199809958
144,0.7,0.3,1.277239042,1.416940423,0.02267044205
144,0.7,0.3,1.308780558,1.386057073,0.02118988152
144,0.7,0.3,1.339579608,1.365895496,0.0166541916
144,0.7,0.3,1.399145269,1.313068213,0.02181896908
144,0.7,0.3,1.427996661,1.275492645,0.01821526128
144,0.7,0.3,1.456276568,1.253663525,0.01458845596
144,0.7,0.3,1.484017662,1.219240425,0.007869582049
144,0.6,0.4,0.2855993321,147.1251577,3.432359997
144,0.6,0.4,0.4038984489,13.73050845,1.457130502
144,0.6,0.4,0.4946725539,9.743577319,1.168058912
144,0.6,0.4,0.5711986643,7.187977762,1.08522539
144,0.6,0.4,0.638619521,4.434557252,0.1993839702
144,0.6,0.4,0.6995726346,3.701578656,0.1872842587
144,0.6,0.4,0.8077968978,2.874189489,0.06815068837
144,0.6,0.4,0.8567979964,2.562452018,0.1136943917
144,0.6,0.4,0.9031443878,2.389011414,0.040463924
144,0.6,0.4,0.9472258251,2.218207525,0.07690629722
144,0.6,0.4,0.9893451078,2.021650752,0.07770811625
144,0.6,0.4,1.029743036,1.893231136,0.03201024715
144,0.6,0.4,1.068614851,1.838720491,0.05031617694
144,0.6,0.4,1.142397329,1.687097782,0.03947697432
