n_chains,eps_AB,delta_eps,n_seeds,box_size,S_psi_peak_seed_relative_variance,S_psi_peak_mean,S_psi_peak_sem,S_psi_kmin_mean,S_psi_kmin_sem,S_rho_kmin_mean,S_rho_kmin_sem,non_gaussian_ratio_peak_mean,non_gaussian_ratio_peak_sem,shell_anisotropy_peak_mean,shell_anisotropy_peak_sem,peak_intensity_relative_variance_mean,peak_intensity_relative_variance_sem,cg_variance_1p5_mean,cg_variance_1p5_sem,cg_variance_2_mean,cg_variance_2_sem,cg_variance_3_mean,cg_variance_3_sem,tau_psi_peak_mean,tau_psi_peak_sem,gamma_psi_peak_mean,gamma_psi_peak_sem,kww_tau_peak_mean,kww_tau_peak_sem,kww_beta_peak_mean,kww_beta_peak_sem,plateau_psi_peak_mean,plateau_psi_peak_sem,S_psi_peak_relative_drift_mean,S_psi_peak_relative_drift_sem,energy_per_bead_mean,energy_per_bead_sem,mean_Rg_mean,mean_Rg_sem,q_peak_mean,q_peak_sem
144,1,0,4,22,0.06013026825,6.733951251,0.8256320494,6.368858882,1.085290386,1.974933501,0.05034431853,1.919425153,0.1261466796,1.346335559,0.09556496677,0.2761967088,0.05315323138,0.04067761731,0.0007601343104,0.02120034809,0.0007697508288,0.007234431622,0.0005543262937,1248.455499,356.8114897,0.002892364778,0.000805880854,1347.201996,417.138925,1.092097625,0.1854293348,0.1495395747,0.08380516198,0.3129036415,0.1964816839,-0.7842196803,0.0007720232159,3.336803843,0.006737235279,0.3151741113,0.02957477919
144,0.95,0.05,4,22,0.04111267673,8.370938877,0.8486567148,8.315690334,0.8783647961,1.606449215,0.02347465067,1.677495635,0.07605962018,1.388411615,0.1131649519,0.1413266297,0.0181463541,0.04653809995,0.001016157442,0.02518040664,0.0007042975225,0.009055173613,0.0004082785877,1339.143106,436.5577291,0.002736692239,0.0006999742214,1379.119214,505.1150386,0.7975909631,0.1363133921,0.2119302905,0.08872859686,0.08649210712,0.07315288987,-0.7300271592,0.001015269583,3.325961697,0.008029809927,0.3447488905,0.03415001346
144,0.9,0.1,4,22,0.04739429123,12.56114062,1.367294598,11.08591756,2.232228539,1.397933996,0.01499903884,1.690660752,0.07637546215,1.488732851,0.07044145739,0.1283172401,0.02442530374,0.05561096757,0.0006848243605,0.03178741105,0.0009198067968,0.01215758218,0.0008422316996,987.1813774,26.03556649,0.001913316296,0.0005258246599,2749.820822,1209.651891,0.6536590911,0.03866761175,0.3612385541,0.1043091637,0.04587298974,0.2025406324,-0.6789886266,0.001046184208,3.325245163,0.001168497381,0.3447488905,0.03415001346
144,0.85,0.15,4,22,0.09276217253,16.67754572,2.539730298,15.99148707,2.96153064,1.203616621,0.02235274797,1.643438811,0.01952400807,1.744597664,0.1655617671,0.1352327244,0.05976649335,0.06669055006,0.002617545618,0.04014473501,0.002259050326,0.0163999763,0.001542877147,1465.761411,456.7553536,0.001577833864,0.0004864601297,2197.323707,762.8934073,1.167189681,0.1591780451,0.2611453307,0.1336520202,-0.1673863312,0.2730639896,-0.6310493898,0.0008994855121,3.310764883,0.005048202047,0.3447488905,0.03415001346
144,0.8,0.2,4,22,0.07563393697,28.24739459,3.884246245,28.24739459,3.884246245,1.111449133,0.01290579161,1.451494204,0.05573715829,1.466568258,0.09773106782,0.1237053997,0.04347254336,0.07957625478,0.0002821126421,0.05077848014,0.0007425676911,0.02293356182,0.001177510294,2834.102951,62.57136532,0.0006333683355,0.0001275175468,3820.076659,507.9728503,1.478746918,0.3906456256,0.5574814365,0.04211694576,0.04921688683,0.2993193455,-0.5871509251,0.001334113193,3.302798668,0.004981390797,0.2855993321,0
144,0.75,0.25,4,22,0.1360249962,41.24041937,7.605056388,41.24041937,7.605056388,1.011814396,0.01111723527,1.388227252,0.04491921609,1.550475956,0.1611309293,0.1010137458,0.03474781639,0.09371535318,0.004734032788,0.06284693002,0.004176655945,0.0305187762,0.003032560901,2544.410825,50.83440645,0.0004954512347,6.834121154e-05,11008.79554,5345.007262,0.9611053498,0.3157730214,0.567764844,0.09298015777,0.1018206594,0.1841850266,-0.5447771269,0.001570550987,3.298352911,0.004773859162,0.2855993321,0
144,0.7,0.3,4,22,0.05055052241,59.1871564,6.653655385,59.1871564,6.653655385,0.9426359276,0.0165246471,1.322815041,0.05899979981,1.942663481,0.1649660107,0.08757546278,0.01882246723,0.1098039486,0.003074999292,0.07699656729,0.003153899194,0.03983035648,0.00261482917,,,0.0003457424352,5.146900566e-05,4455.986832,532.7704673,1.201251207,0.1676804444,0.6912896286,0.08642426397,0.1608885031,0.1966238438,-0.5048362551,0.001559859924,3.306207231,0.003173511026,0.2855993321,0
144,0.6,0.4,4,22,0.002588829289,94.84682753,2.412928872,94.84682753,2.412928872,0.8319694732,0.01364320309,1.250346517,0.06299848279,1.56166458,0.1875088627,0.02159529725,0.00576981746,0.1375337305,0.002246417617,0.1021682275,0.001608311535,0.05730589821,0.0009588847288,,,0.0002035514217,9.027264407e-06,56272.38553,40913.82152,1.280342289,0.5901401632,0.869479485,0.02810572907,-0.01715997569,0.07322797294,-0.4320553504,0.001026551612,3.308462907,0.0051054285,0.2855993321,0
144,0.5,0.5,4,22,0.02465913884,110.8767188,8.705612312,110.8767188,8.705612312,0.7578928335,0.007064683519,1.444691126,0.02477070139,2.125522311,0.2517596256,0.02246288451,0.003151097625,0.1527380859,0.005568390381,0.115155173,0.005038072079,0.06568833675,0.003674684013,,,0.0002027777118,1.006676011e-05,4364093.787,4356263.868,0.8545676634,0.2359927499,0.7868681405,0.0435040359,0.1115812911,0.05243202221,-0.3630709102,0.003719942005,3.308823972,0.005928512078,0.2855993321,0
144,0.3,0.7,4,22,0.0141911513,148.812953,8.86379196,148.812953,8.86379196,0.6575928193,0.006232248114,1.230742241,0.08819400854,1.97995391,0.3807752578,0.009192090613,0.002535064571,0.1785135141,0.005824813699,0.13822117,0.005332278311,0.0821667694,0.003943689229,,,0.0001402795706,6.721409129e-06,24854.9085,14633.76478,1.105405706,0.245647776,0.886457792,0.02981530775,-0.01220031316,0.02693051232,-0.2333205929,0.005182674444,3.332477119,0.00716476847,0.2855993321,0
