run_id,n_chains,chain_length,box_size,eps_AB,delta_eps,seed,q_peak,S_psi_peak,S_psi_peak_sem_time,S_psi_kmin,S_rho_kmin,non_gaussian_ratio_peak,shell_anisotropy_peak,peak_intensity_relative_variance,cg_variance_1p5,cg_variance_2,cg_variance_3,tau_psi_peak,gamma_psi_peak,kww_tau_peak,kww_beta_peak,plateau_psi_peak,S_psi_peak_relative_drift,energy_per_bead,mean_Rg,T_inst_star,n_frames_window
M0144_N40_kappa0p5_pi0p990_epsAB1_seed1,144,40,22,1,0,1,0.2855993321,7.649190773,1.94591702,7.649190773,161.2730726,1.806892813,1.356383193,0.3521676999,0.04470462663,0.02371232054,0.00838208446,2683.357322,0.001370741034,2967.809994,1.008082471,0.2140369602,0.5764726111,-1.532579421,3.211737195,1.501193708,12500
M0144_N40_kappa0p5_pi0p990_epsAB1_seed2,144,40,22,1,0,2,0.2855993321,9.631193267,2.371591331,9.631193267,162.596297,1.807265639,1.49989155,0.352305806,0.04459980835,0.02413773345,0.009007402383,3239.07873,0.001057548455,3266.103579,1.168756813,0.2179336637,0.5817719121,-1.528643058,3.196491757,1.49996858,12500
M0144_N40_kappa0p5_pi0p990_epsAB1_seed3,144,40,22,1,0,3,0.2855993321,6.570237552,0.995431126,6.570237552,162.9907308,1.881348891,1.512397533,0.1880281789,0.0413554042,0.02163798328,0.007337381172,2654.519176,0.001520396969,2616.172812,0.6781628386,0.2543684727,-0.4889105514,-1.533262204,3.199076903,1.499948975,12500
M0144_N40_kappa0p5_pi0p990_epsAB1_seed4,144,40,22,1,0,4,0.2855993321,5.964975813,0.5768190815,5.964975813,162.2142448,1.717215485,1.172472638,0.2689398845,0.04107688229,0.0211866361,0.007112041592,1401.92013,0.001693943119,1415.130181,1.731606821,-0.05724590375,0.09745902641,-1.532789841,3.205686612,1.501728787,12500
M0144_N40_kappa0p5_pi0p990_epsAB1_seed5,144,40,22,1,0,5,0.2855993321,6.053779878,0.8170070722,6.053779878,162.7810474,1.532629967,1.670714812,0.1852293096,0.0426705233,0.02193719956,0.007259333993,5062.251828,0.001703002891,3300.076726,0.4953577371,0.3625218842,0.2501694933,-1.531173881,3.231664174,1.500684657,12500
M0144_N40_kappa0p5_pi0p990_epsAB1_seed6,144,40,22,1,0,6,0.4038984489,5.995343739,0.4540061042,5.385783649,162.4456215,1.801785324,1.417122273,0.1226913634,0.0422399652,0.02189893473,0.007217460107,1127.025942,0.003267650241,860.7537274,0.5136023374,0.1346768336,0.2474875121,-1.531471936,3.208122653,1.500566079,12500
M0144_N40_kappa0p5_pi0p990_epsAB1_seed7,144,40,22,1,0,7,0.2855993321,8.801478968,0.718357911,8.801478968,162.661168,1.629843196,1.421875996,0.1326106442,0.04583857667,0.02437821534,0.008735707674,4895.92052,0.001153711325,4949.98104,0.8953415928,0.3703782363,0.1283745304,-1.53165097,3.218134561,1.498995571,12500
M0144_N40_kappa0p5_pi0p990_epsAB1_seed8,144,40,22,1,0,8,0.2855993321,7.449223301,1.234927671,7.449223301,162.4668824,1.679442463,2.126077024,0.2590745861,0.04586348573,0.02468612676,0.008751209547,3766.089693,0.001367487606,3872.225193,1.417973558,0.2515434441,-0.06804540925,-1.533044327,3.210733973,1.50076354,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p975_seed1,144,40,22,0.975,0.025,1,0.4038984489,7.678498174,0.8436122757,6.295358257,153.879773,1.997171401,1.584443761,0.1596170859,0.04909133959,0.02590529867,0.008694798357,2443.392001,0.002729172711,1985.763869,0.5139661778,0.2376732646,-0.1728756288,-1.483167265,3.194620559,1.499240786,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p975_seed2,144,40,22,0.975,0.025,2,0.4038984489,8.573565122,0.8682737048,5.79291736,153.4609725,1.775128636,1.833611234,0.1168608945,0.04927818853,0.02637415059,0.008911841324,1985.233167,0.002363361642,2144.923819,0.9751251745,0.08393247561,0.259864472,-1.484819136,3.211716543,1.499547286,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p975_seed3,144,40,22,0.975,0.025,3,0.2855993321,13.2227794,1.131611354,13.2227794,154.0093971,1.354076255,1.471867663,0.07876297126,0.04980040838,0.02862329837,0.01161119461,,0.0007626612295,6885.768101,1.082786453,0.4979947193,0.253320927,-1.488242115,3.192504204,1.500081155,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p975_seed4,144,40,22,0.975,0.025,4,0.4038984489,5.89377591,0.461619858,5.798140428,153.5548479,1.832502054,1.242418349,0.1039026831,0.04458238058,0.02286787257,0.007410246982,1258.423602,0.003426306369,1350.800566,0.8060737681,0.06418278624,0.2261131739,-1.482097817,3.195548783,1.499842022,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p975_seed5,144,40,22,0.975,0.025,5,0.2855993321,10.5285216,1.466552403,10.5285216,153.7493772,1.702908561,1.501755097,0.1559330502,0.05188782524,0.02889435025,0.01082993339,2632.537482,0.001031605457,2827.400149,0.883448006,0.2265411173,-0.2548071204,-1.485006224,3.219078934,1.500122531,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p975_seed6,144,40,22,0.975,0.025,6,0.2855993321,11.8178656,2.165414437,11.8178656,153.9919245,1.578485957,1.750923869,0.2036166219,0.05138808031,0.02923478315,0.01141958714,3958.835177,0.0008921769704,4087.035685,2.096806431,0.2507884619,-0.6223868889,-1.485523981,3.210621779,1.498760781,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p975_seed7,144,40,22,0.975,0.025,7,0.2855993321,9.461586105,1.183466931,9.461586105,154.6549223,1.569389318,1.087656243,0.1769591395,0.05095517717,0.02809877886,0.0103754542,3258.288836,0.00111297974,3322.812108,1.56063463,0.1705263949,0.3264160379,-1.486797911,3.220730606,1.500276561,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p975_seed8,144,40,22,0.975,0.025,8,0.2855993321,6.703579331,1.087107503,6.703579331,152.0598564,1.670005914,1.169547056,0.2230585275,0.0455932714,0.02347276013,0.0077373446,1865.529642,0.0016334046,1822.431468,1.42438139,-0.2547751858,0.1188074862,-1.483769743,3.198053756,1.497962538,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p95_seed1,144,40,22,0.95,0.05,1,0.2855993321,12.05881395,2.579994952,12.05881395,144.5768515,1.716170528,1.222963109,0.3722080275,0.05960241234,0.03378420485,0.01275692237,3895.66141,0.001020414992,4092.767909,1.172146553,0.29332785,0.6854405102,-1.440353626,3.218393307,1.501868797,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p95_seed2,144,40,22,0.95,0.05,2,0.2855993321,12.35125624,1.930165248,12.35125624,144.0134727,1.548452306,1.510550325,0.1729328788,0.05888497188,0.03381587472,0.0130658411,6191.251111,0.0008995717919,6091.757835,0.9273947589,0.4532846721,0.4107887156,-1.436921577,3.204893685,1.500052431,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p95_seed3,144,40,22,0.95,0.05,3,0.2855993321,9.448036995,1.296127284,9.448036995,144.8033658,1.461002078,1.28274535,0.1809447213,0.0519837425,0.02875964198,0.01042931602,2861.573344,0.001145538412,2838.500867,1.871192113,-0.03601178984,0.4704780207,-1.437330926,3.20323064,1.499147196,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p95_seed4,144,40,22,0.95,0.05,4,0.2855993321,14.16207034,1.994398445,14.16207034,145.4567217,1.698827541,1.515210686,0.1413598658,0.0608096834,0.03557694379,0.01414010481,,0.0008390026915,5665.484632,0.4481787308,0.4714963225,-0.450345478,-1.439225,3.211877807,1.501450735,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p95_seed5,144,40,22,0.95,0.05,5,0.4038984489,9.414272741,1.162685948,8.05202403,144.6971497,1.932377192,1.306075817,0.1556073192,0.05547546105,0.03049207683,0.01073802347,1691.55464,0.002310454244,1819.371878,1.537653468,-0.03603401648,0.02432076572,-1.442905448,3.221963374,1.500187816,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p95_seed6,144,40,22,0.95,0.05,6,0.2855993321,10.74195611,2.028199661,10.74195611,144.2624637,1.755044239,1.196596986,0.3062372549,0.05398850261,0.03019494231,0.01131243467,3443.163193,0.00108734347,3256.023523,0.5795237451,0.3252152126,-0.508427496,-1.438676008,3.222303182,1.501935883,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p95_seed7,144,40,22,0.95,0.05,7,0.2855993321,22.86750565,2.310855141,22.86750565,144.4172908,1.773449282,1.756487667,0.08427416991,0.06896115399,0.04198946542,0.01820380353,4706.52137,0.0005042224015,4722.527759,2.101741874,0.3669927937,-0.1087634676,-1.43780209,3.193296156,1.50103099,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p95_seed8,144,40,22,0.95,0.05,8,0.2855993321,20.54242231,3.318940362,20.54242231,144.3391389,1.402170997,1.440600434,0.1520876707,0.06650555067,0.04076978307,0.0177229855,,0.000532061128,7959.861558,1.157430659,0.5707502827,-0.02009503538,-1.439710598,3.203841765,1.499514496,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p925_seed1,144,40,22,0.925,0.075,1,0.2855993321,17.27141453,2.404288218,17.27141453,134.3237559,1.648801346,2.095410676,0.1879163264,0.06509117689,0.03770827033,0.0150702629,,0.0006928739856,8522.093748,0.3033110356,0.5625697106,-0.1130265825,-1.39495136,3.196299588,1.500696856,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p925_seed2,144,40,22,0.925,0.075,2,0.2855993321,12.77783941,2.311329639,12.77783941,135.5163089,1.728467303,1.520845,0.2312029772,0.06033113185,0.03433494828,0.0131486371,4148.128863,0.0008995005749,4710.902568,1.140821362,0.3540135485,-0.1167331845,-1.395728206,3.202136273,1.499028758,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p925_seed3,144,40,22,0.925,0.075,3,0.2855993321,15.63717244,2.542495584,15.63717244,135.1766257,1.687825499,1.5782589,0.1753929308,0.06243247587,0.03690559254,0.01485967045,6019.832456,0.0007240147724,6619.204239,1.197824997,0.4935963236,-0.3836356719,-1.394314698,3.194375375,1.499967969,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p925_seed4,144,40,22,0.925,0.075,4,0.2855993321,21.24315771,4.668470229,21.24315771,135.6744884,1.53456471,1.582613668,0.2705059076,0.07062858613,0.04328536508,0.01849741318,3165.527761,0.0005717598617,3157.813201,2.118093564,0.06436486695,-0.6061058917,-1.393633324,3.181864709,1.499533838,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p925_seed5,144,40,22,0.925,0.075,5,0.2855993321,22.98219867,5.901344916,22.98219867,136.3388039,1.581128736,2.079918429,0.3360088471,0.07114944773,0.0434705813,0.01877545363,5294.074683,0.0005995455037,5729.018454,1.0114641,0.435180094,-0.5412184621,-1.395483508,3.209587302,1.499061513,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p925_seed6,144,40,22,0.925,0.075,6,0.2855993321,18.43123925,3.364906314,18.43123925,134.8250302,1.43546288,1.370638587,0.1957036909,0.06334536448,0.03750684586,0.01553025763,,0.0006175303689,19088.11318,0.2193108654,0.6564191177,-0.1058881513,-1.394544407,3.188040173,1.499541233,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p925_seed7,144,40,22,0.925,0.075,7,0.2855993321,19.4020956,5.675000955,19.4020956,135.9198183,2.091504314,1.322397253,0.4147456218,0.07668528758,0.04714187589,0.01974489109,4270.414738,0.0006361302718,4260.3038,0.8451769851,0.3547831605,1.011059216,-1.398218994,3.204284455,1.499858265,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p925_seed8,144,40,22,0.925,0.075,8,0.2855993321,14.44108492,1.383135545,14.44108492,135.4192785,2.07374636,1.240673154,0.1350894059,0.06628922244,0.03879722646,0.01524032114,2470.519713,0.0008403961128,2495.024248,1.10448778,0.1476160901,0.1361885908,-1.395872558,3.203700106,1.500718124,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p9_seed1,144,40,22,0.9,0.1,1,0.2855993321,24.62495878,2.119766681,24.62495878,127.6832882,1.322231406,1.768925011,0.06892366323,0.0829565382,0.05226698974,0.02281027013,,0.0005098166348,913853.6367,0.1218723789,0.7996245414,0.252400248,-1.352236842,3.217233888,1.498932268,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p9_seed2,144,40,22,0.9,0.1,2,0.2855993321,28.2638,3.127159096,28.2638,126.3355499,1.280617473,1.170253215,0.09849131056,0.08117558691,0.05162762172,0.02323474967,,0.0004226950254,12247.61294,1.186982848,0.699629377,0.05293455708,-1.352790572,3.200450689,1.501252296,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p9_seed3,144,40,22,0.9,0.1,3,0.2855993321,26.31440704,4.569555026,26.31440704,126.7062066,1.37793991,1.168959347,0.1714138208,0.07692801786,0.0488310996,0.0218483163,,0.0004636277932,46412.5267,0.5519943625,0.7641650052,0.5994169139,-1.351323788,3.211003949,1.500454788,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p9_seed4,144,40,22,0.9,0.1,4,0.2855993321,34.99891212,3.997649433,34.99891212,125.863272,1.554085973,2.021858869,0.08399975138,0.08792055575,0.05760740019,0.02703947722,,0.0003749266403,7699.078684,0.9960854286,0.5432084234,0.3979276347,-1.351761336,3.192719283,1.500506883,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p9_seed5,144,40,22,0.9,0.1,5,0.2855993321,38.65166364,6.260309314,38.65166364,126.7867279,1.459721978,1.969181376,0.1392693014,0.08871076202,0.05847131887,0.02811873609,,0.0003018289623,7622.111772,1.867760802,0.6446726139,-0.02511297572,-1.356626687,3.213263809,1.501675359,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p9_seed6,144,40,22,0.9,0.1,6,0.2855993321,29.45124581,4.967464446,29.45124581,126.6002759,1.443314409,1.946734573,0.1963868162,0.08269194334,0.05315142672,0.02412823563,,0.0003958259515,7074.822616,1.206187634,0.5365199224,-0.3568409457,-1.350972898,3.197772955,1.502495847,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p9_seed7,144,40,22,0.9,0.1,7,0.2855993321,30.49175609,4.691091713,30.49175609,128.2534797,1.517918472,1.704504364,0.1489017122,0.08763786791,0.05579121931,0.02495523409,5938.072599,0.0004201475122,6400.965559,1.581869781,0.5164749135,0.3660857434,-1.356944159,3.196384578,1.499655936,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p9_seed8,144,40,22,0.9,0.1,8,0.2855993321,41.37022092,4.904925321,41.37022092,126.7381203,1.579829174,1.865517066,0.0843861084,0.08973118376,0.05914753411,0.02864248276,,0.000313865157,7403.209932,1.147094925,0.5457127072,0.3424836231,-1.351747248,3.188416247,1.498965766,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p875_seed1,144,40,22,0.875,0.125,1,0.2855993321,25.1159581,4.831701552,25.1159581,118.294928,1.713537466,1.375468019,0.2220929253,0.08959941431,0.05619136985,0.02397575503,5358.672323,0.0005892284973,5345.704272,0.9972058426,0.4173613545,0.3099210396,-1.312876005,3.225862185,1.499071275,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p875_seed2,144,40,22,0.875,0.125,2,0.2855993321,62.00271764,6.457857701,62.00271764,119.3371542,1.358158463,1.394808239,0.07148412464,0.1077841694,0.07564075228,0.03972265429,,0.0002086194566,19695.53877,1.092058619,0.7963297803,0.09721891187,-1.312432681,3.218246851,1.50047508,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p875_seed3,144,40,22,0.875,0.125,3,0.2855993321,19.87630885,2.115269272,19.87630885,117.8629785,1.333950635,1.489647861,0.09797105625,0.08006271318,0.04975488952,0.02076339916,5531.187713,0.0006168255873,5393.153809,0.9128505775,0.4226100508,0.03304097266,-1.309788665,3.201894929,1.499669245,12500
M0144_N40_kappa0p5_pi0p990_epsAB0p875_seed4,144,40,22,0.875,0.125,4,0.2855993321,40.92304404,3.310129914,40.92304404,118.3954365,1.301925853,1.350314452,0.05726354855,0.09883921268,0.06624905362,0.03176150342,,0.0003406172194,8138.469635,1.217747756,0.5899546203,-0.2169206611,-1.311884299,3.197451805,1.501285215,12500
