n_chains,eps_AB,delta_eps,shell_q,S_psi_mean,S_psi_sem
144,1,0,0.2855993321,7.1882329,0.5221059603
144,1,0,0.4038984489,5.791492154,0.2161687401
144,1,0,0.4946725539,4.738251215,0.1169540216
144,1,0,0.5711986643,4.329755451,0.1846224767
144,1,0,0.638619521,3.865756092,0.07273206113
144,1,0,0.6995726346,3.506367963,0.03724748623
144,1,0,0.8077968978,2.881602221,0.04261260742
144,1,0,0.8567979964,2.654338062,0.04185448141
144,1,0,0.9031443878,2.46368634,0.03587659289
144,1,0,0.9472258251,2.346068758,0.03441685433
144,1,0,0.9893451078,2.158651335,0.02944562808
144,1,0,1.029743036,2.106962336,0.02528832183
144,1,0,1.068614851,2.01792909,0.02112319318
144,1,0,1.142397329,1.827809957,0.02952781363
144,1,0,1.177556213,1.792799092,0.01749747108
144,1,0,1.211695347,1.736819935,0.01898529387
144,1,0,1.244898627,1.672493513,0.01608854237
144,1,0,1.277239042,1.639964616,0.01797603461
144,1,0,1.308780558,1.602300105,0.01554990632
144,1,0,1.339579608,1.547955782,0.01341099142
144,1,0,1.399145269,1.486627471,0.01135045931
144,1,0,1.427996661,1.468073773,0.01224191012
144,1,0,1.456276568,1.440258224,0.01422139389
144,1,0,1.484017662,1.40974545,0.0124025965
144,0.975,0.025,0.2855993321,8.70259351,1.041461765
144,0.975,0.025,0.4038984489,7.207389018,0.3844060109
144,0.975,0.025,0.4946725539,5.712468619,0.2274894669
144,0.975,0.025,0.5711986643,4.596705512,0.1744625901
144,0.975,0.025,0.638619521,4.227319437,0.1051504796
144,0.975,0.025,0.6995726346,3.647188191,0.101816596
144,0.975,0.025,0.8077968978,3.010088994,0.03505962703
144,0.975,0.025,0.8567979964,2.757173046,0.05211342566
144,0.975,0.025,0.9031443878,2.6053218,0.04811224718
144,0.975,0.025,0.9472258251,2.464551013,0.04238445584
144,0.975,0.025,0.9893451078,2.257296356,0.0314564232
144,0.975,0.025,1.029743036,2.190419718,0.02658500001
144,0.975,0.025,1.068614851,2.081448281,0.02920512209
144,0.975,0.025,1.142397329,1.882667117,0.03295253347
144,0.975,0.025,1.177556213,1.841598678,0.02164791174
144,0.975,0.025,1.211695347,1.784334083,0.02155400404
144,0.975,0.025,1.244898627,1.719484794,0.02007806046
144,0.975,0.025,1.277239042,1.674851284,0.02343622389
144,0.975,0.025,1.308780558,1.618331813,0.01917483919
144,0.975,0.025,1.339579608,1.583232182,0.01490985664
144,0.975,0.025,1.399145269,1.4988743,0.02234711661
144,0.975,0.025,1.427996661,1.484277104,0.01782017767
144,0.975,0.025,1.456276568,1.446936669,0.0144475598
144,0.975,0.025,1.484017662,1.419947436,0.01288102462
144,0.95,0.05,0.2855993321,13.7780107,1.862545174
144,0.95,0.05,0.4038984489,9.476429096,0.4341684108
144,0.95,0.05,0.4946725539,6.965350547,0.3283278911
144,0.95,0.05,0.5711986643,5.459061465,0.1949146335
144,0.95,0.05,0.638619521,4.571215882,0.07397585054
144,0.95,0.05,0.6995726346,3.984001453,0.08933940212
144,0.95,0.05,0.8077968978,3.234023438,0.04602558021
