n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,1,0,0.2855993321,1457.726207,149.0789273
144,1,0,0.4038984489,580.7327107,16.9062953
144,1,0,0.4946725539,343.8238753,17.17758667
144,1,0,0.5711986643,222.8973353,12.14029999
144,1,0,0.638619521,153.0736066,2.88975863
144,1,0,0.6995726346,113.5825578,2.090566009
144,1,0,0.8077968978,66.71844531,1.978277804
144,1,0,0.8567979964,54.04627085,0.5297025124
144,1,0,0.9031443878,45.27277057,1.294148615
144,1,0,0.9472258251,37.17028598,0.5667727589
144,1,0,0.9893451078,31.46591771,0.8143462774
144,1,0,1.029743036,27.01734839,0.426716162
144,1,0,1.068614851,22.67674295,0.1639521383
144,1,0,1.142397329,17.5313316,0.4503201774
144,1,0,1.177556213,15.30355893,0.1587386576
144,1,0,1.211695347,13.68902845,0.08506168731
144,1,0,1.244898627,12.26624396,0.180004307
144,1,0,1.277239042,11.29112324,0.07523120943
144,1,0,1.308780558,10.13988815,0.09703694416
144,1,0,1.339579608,9.231671185,0.09641998864
144,1,0,1.399145269,7.779550195,0.06270073101
144,1,0,1.427996661,7.190500554,0.07298846827
144,1,0,1.456276568,6.718437691,0.03599861611
144,1,0,1.484017662,6.233875384,0.04531453531
144,0.975,0.025,0.2855993321,1797.012754,346.2448266
144,0.975,0.025,0.4038984489,611.456435,19.88867731
144,0.975,0.025,0.4946725539,338.9059884,10.10623915
144,0.975,0.025,0.5711986643,275.2587498,14.92929436
144,0.975,0.025,0.638619521,175.559322,3.191001906
144,0.975,0.025,0.6995726346,121.3583544,2.770770569
144,0.975,0.025,0.8077968978,70.74092305,2.352178788
144,0.975,0.025,0.8567979964,56.13695591,0.7430330689
144,0.975,0.025,0.9031443878,45.28570654,0.6484264415
144,0.975,0.025,0.9472258251,37.65574121,0.6260179101
144,0.975,0.025,0.9893451078,30.62254842,0.6652129936
144,0.975,0.025,1.029743036,26.50491047,0.2448923685
144,0.975,0.025,1.068614851,22.77816176,0.1942291356
144,0.975,0.025,1.142397329,18.00066853,0.402725887
144,0.975,0.025,1.177556213,15.43832318,0.1607037159
144,0.975,0.025,1.211695347,13.88522655,0.1122981575
144,0.975,0.025,1.244898627,12.16831481,0.1180479606
144,0.975,0.025,1.277239042,10.94386456,0.1374889524
144,0.975,0.025,1.308780558,10.09020676,0.04121475775
144,0.975,0.025,1.339579608,9.244155582,0.09009197695
144,0.975,0.025,1.399145269,7.800582479,0.05219248253
144,0.975,0.025,1.427996661,7.09546067,0.06107205273
144,0.975,0.025,1.456276568,6.627259612,0.04543204782
144,0.975,0.025,1.484017662,6.185874401,0.05001843248
144,0.95,0.05,0.2855993321,1672.631844,186.6952668
144,0.95,0.05,0.4038984489,728.1213576,48.69138295
144,0.95,0.05,0.4946725539,410.9323772,14.68185829
144,0.95,0.05,0.5711986643,246.5892277,10.81452918
144,0.95,0.05,0.638619521,172.4088633,3.985827946
144,0.95,0.05,0.6995726346,125.2105266,3.503951086
144,0.95,0.05,0.8077968978,70.30186729,1.416234686
144,0.95,0.05,0.8567979964,56.95723092,0.8401201293
144,0.95,0.05,0.9031443878,45.96807747,0.8680315066
144,0.95,0.05,0.9472258251,38.58712402,0.4745392725
