n_chains,eps_AB,delta_eps,shell_q,S_psi_mean,S_psi_sem
144,1,0,0.2855993321,4.898112757,1.684170631
144,1,0,0.4038984489,4.440979892,0.604145576
144,1,0,0.4946725539,2.831167658,0.3249333882
144,1,0,0.5711986643,2.786012232,1.130591302
144,1,0,0.638619521,3.63270029,0.4914246202
144,1,0,0.6995726346,3.041195093,0.6964241486
144,1,0,0.8077968978,3.031531395,0.5381911199
144,1,0,0.8567979964,3.022700125,0.1711292902
144,1,0,0.9031443878,2.404520134,0.1456839007
144,1,0,0.9472258251,2.270693765,0.1986791635
144,1,0,0.9893451078,3.409801381,0.2839579623
144,1,0,1.029743036,2.44145451,0.08897738082
144,1,0,1.068614851,2.278323424,0.07528900096
144,1,0,1.142397329,2.100156994,0.1700336244
144,1,0,1.177556213,1.966699025,0.1055264645
144,1,0,1.211695347,1.950601283,0.08008758999
144,1,0,1.244898627,1.68701035,0.210419282
144,1,0,1.277239042,1.821321373,0.04111978361
144,1,0,1.308780558,1.758306953,0.03455980241
144,1,0,1.339579608,1.627415942,0.07902046903
144,1,0,1.399145269,1.678612836,0.168017768
144,1,0,1.427996661,1.487262392,0.07123932334
144,1,0,1.456276568,1.523022861,0.06978150011
144,1,0,1.484017662,1.530478192,0.1242902638
144,0.975,0.025,0.2855993321,8.526700267,4.086264628
144,0.975,0.025,0.4038984489,6.467663398,1.146566096
144,0.975,0.025,0.4946725539,3.895733616,1.492080711
144,0.975,0.025,0.5711986643,8.678956576,2.326604886
144,0.975,0.025,0.638619521,4.940619932,0.642386848
144,0.975,0.025,0.6995726346,4.516927498,0.7105462944
144,0.975,0.025,0.8077968978,3.591211727,0.5040260712
144,0.975,0.025,0.8567979964,3.81307195,0.5729220864
144,0.975,0.025,0.9031443878,2.96436266,0.3829764193
144,0.975,0.025,0.9472258251,2.714488947,0.319618508
144,0.975,0.025,0.9893451078,2.448006688,0.3691096486
144,0.975,0.025,1.029743036,2.316151483,0.2163665137
144,0.975,0.025,1.068614851,2.324391033,0.1178008589
144,0.975,0.025,1.142397329,2.181736442,0.6162478215
144,0.975,0.025,1.177556213,2.071611434,0.1462170649
144,0.975,0.025,1.211695347,2.113720189,0.1739494973
144,0.975,0.025,1.244898627,1.751177065,0.0595492482
144,0.975,0.025,1.277239042,1.950862379,0.1497789812
144,0.975,0.025,1.308780558,1.663534275,0.07103794141
144,0.975,0.025,1.339579608,1.556420269,0.05256656866
144,0.975,0.025,1.399145269,1.682725782,0.09372454529
144,0.975,0.025,1.427996661,1.690940617,0.1115679546
144,0.975,0.025,1.456276568,1.499426229,0.03799807422
144,0.975,0.025,1.484017662,1.572477773,0.07521829472
144,0.95,0.05,0.2855993321,6.767632167,1.416364332
144,0.95,0.05,0.4038984489,8.049685233,0.8266268504
144,0.95,0.05,0.4946725539,5.993432365,2.043804992
144,0.95,0.05,0.5711986643,6.477959245,1.824137283
144,0.95,0.05,0.638619521,5.725482688,0.6134640184
144,0.95,0.05,0.6995726346,5.811385217,0.8938932892
144,0.95,0.05,0.8077968978,4.246111742,0.5378318641
144,0.95,0.05,0.8567979964,4.528958493,0.3861411843
144,0.95,0.05,0.9031443878,3.229335102,0.2054917655
144,0.95,0.05,0.9472258251,2.916060902,0.2743743688
144,0.95,0.05,0.9893451078,4.137588212,0.6205883447
144,0.95,0.05,1.029743036,2.706533725,0.1894617964
144,0.95,0.05,1.068614851,2.821030797,0.07343941255
144,0.95,0.05,1.142397329,2.599127686,0.3091037169
144,0.95,0.05,1.177556213,2.313610951,0.118238421
144,0.95,0.05,1.211695347,1.820381404,0.1167423948
144,0.95,0.05,1.244898627,2.041309371,0.05191042046
144,0.95,0.05,1.277239042,1.873848849,0.1549286632
144,0.95,0.05,1.308780558,1.869279753,0.1154227767
144,0.95,0.05,1.339579608,1.750142851,0.08718634614
144,0.95,0.05,1.399145269,1.602932728,0.07130791841
144,0.95,0.05,1.427996661,1.673548625,0.1380830822
144,0.95,0.05,1.456276568,1.680084068,0.08280774913
144,0.95,0.05,1.484017662,1.573648554,0.0395424741
144,0.925,0.075,0.2855993321,5.191183679,1.442588745
144,0.925,0.075,0.4038984489,6.752946939,1.448357957
144,0.925,0.075,0.4946725539,6.314186044,0.6198420761
144,0.925,0.075,0.5711986643,8.097020928,2.054495139
144,0.925,0.075,0.638619521,5.993748124,0.8190778167
144,0.925,0.075,0.6995726346,6.483855661,0.5034750098
144,0.925,0.075,0.8077968978,4.903235062,0.7137730264
144,0.925,0.075,0.8567979964,4.800863716,0.6482736156
144,0.925,0.075,0.9031443878,4.35105692,0.3318617628
144,0.925,0.075,0.9472258251,4.182193606,0.1543504036
144,0.925,0.075,0.9893451078,3.821774369,0.1934236363
144,0.925,0.075,1.029743036,3.230385999,0.3327542554
144,0.925,0.075,1.068614851,2.89169997,0.2683985626
144,0.925,0.075,1.142397329,3.406898662,0.293785123
144,0.925,0.075,1.177556213,2.854403492,0.120326653
144,0.925,0.075,1.211695347,2.295666623,0.1889386199
144,0.925,0.075,1.244898627,2.322079531,0.1127133902
144,0.925,0.075,1.277239042,2.278591307,0.149261968
144,0.925,0.075,1.308780558,2.032181024,0.09101538321
144,0.925,0.075,1.339579608,2.036178577,0.1659913853
144,0.925,0.075,1.399145269,1.943074013,0.04334746745
144,0.925,0.075,1.427996661,1.82676772,0.08006793564
144,0.925,0.075,1.456276568,1.66535858,0.05915696089
144,0.925,0.075,1.484017662,1.488062412,0.03917442603
144,0.9,0.1,0.2855993321,7.54860895,2.753223986
144,0.9,0.1,0.4038984489,9.424902702,1.557317637
144,0.9,0.1,0.4946725539,13.94103834,2.445501022
144,0.9,0.1,0.5711986643,7.539187412,1.22471376
144,0.9,0.1,0.638619521,10.40989395,1.100263878
144,0.9,0.1,0.6995726346,9.002719531,1.419601918
144,0.9,0.1,0.8077968978,7.695153602,2.172413229
144,0.9,0.1,0.8567979964,5.041388301,0.3813987618
144,0.9,0.1,0.9031443878,4.054084765,0.7070871203
144,0.9,0.1,0.9472258251,3.47699493,0.2289947824
144,0.9,0.1,0.9893451078,5.283388035,0.9070152578
144,0.9,0.1,1.029743036,3.749483501,0.2522432996
144,0.9,0.1,1.068614851,3.055682364,0.2592376852
144,0.9,0.1,1.142397329,3.563388536,0.3503238598
144,0.9,0.1,1.177556213,2.926779931,0.1444448294
144,0.9,0.1,1.211695347,2.360837707,0.03514797942
144,0.9,0.1,1.244898627,2.282187198,0.1505542576
144,0.9,0.1,1.277239042,2.367695156,0.1300865621
144,0.9,0.1,1.308780558,1.94966223,0.1460953506
144,0.9,0.1,1.339579608,1.611532328,0.04628032799
144,0.9,0.1,1.399145269,1.963581646,0.1809371602
144,0.9,0.1,1.427996661,1.866004176,0.09725133238
144,0.9,0.1,1.456276568,1.787322108,0.07991954564
144,0.9,0.1,1.484017662,1.691702204,0.1129512993
144,0.875,0.125,0.2855993321,9.883789476,1.920322125
144,0.875,0.125,0.4038984489,7.964023682,1.873940417
144,0.875,0.125,0.4946725539,11.97794736,2.669282159
144,0.875,0.125,0.5711986643,10.76191565,2.038995122
144,0.875,0.125,0.638619521,9.939417943,1.046373606
144,0.875,0.125,0.6995726346,9.00543146,1.145254891
144,0.875,0.125,0.8077968978,7.935867744,0.696461394
144,0.875,0.125,0.8567979964,6.445253855,0.4566105568
144,0.875,0.125,0.9031443878,6.151695751,1.558055569
144,0.875,0.125,0.9472258251,5.399981393,0.5482225893
144,0.875,0.125,0.9893451078,4.397508441,0.6202203419
144,0.875,0.125,1.029743036,3.900490072,0.3292109468
144,0.875,0.125,1.068614851,3.629104567,0.2583153328
144,0.875,0.125,1.142397329,3.067837485,0.6894876855
144,0.875,0.125,1.177556213,2.89870031,0.2447733592
144,0.875,0.125,1.211695347,2.643745081,0.05812911947
144,0.875,0.125,1.244898627,3.033340477,0.2090921599
144,0.875,0.125,1.277239042,2.466702807,0.1644425449
144,0.875,0.125,1.308780558,2.395914246,0.1291110879
144,0.875,0.125,1.339579608,2.339294675,0.1663255434
144,0.875,0.125,1.399145269,2.014020223,0.1033810946
144,0.875,0.125,1.427996661,1.881532692,0.1025034878
144,0.875,0.125,1.456276568,1.802808949,0.07324997461
144,0.875,0.125,1.484017662,1.715270483,0.05368987177
144,0.85,0.15,0.2855993321,12.2827855,1.73614517
144,0.85,0.15,0.4038984489,10.33597593,0.9054039398
144,0.85,0.15,0.4946725539,20.05705363,3.619524396
144,0.85,0.15,0.5711986643,10.09162606,1.92791981
144,0.85,0.15,0.638619521,12.33826704,1.911481188
144,0.85,0.15,0.6995726346,12.0164159,1.081076153
144,0.85,0.15,0.8077968978,6.669009337,1.291324605
144,0.85,0.15,0.8567979964,5.758464916,0.5289379508
