n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,1,0,0.2855993321,,
144,1,0,0.4038984489,,
144,1,0,0.4946725539,,
144,1,0,0.5711986643,,
144,1,0,0.638619521,,
144,1,0,0.6995726346,,
144,1,0,0.8077968978,,
144,1,0,0.8567979964,,
144,1,0,0.9031443878,,
144,1,0,0.9472258251,299.7587948,
144,1,0,0.9893451078,,
144,1,0,1.029743036,,
144,1,0,1.068614851,,
144,1,0,1.142397329,248.7807734,
144,1,0,1.177556213,,
144,1,0,1.211695347,282.4265861,19.93640002
144,1,0,1.244898627,218.0799475,43.93822649
144,1,0,1.277239042,241.8739203,18.25631439
144,1,0,1.308780558,277.7100606,
144,1,0,1.339579608,191.9157424,22.93416367
144,1,0,1.399145269,188.177989,45.70935716
144,1,0,1.427996661,154.5615928,15.08236501
144,1,0,1.456276568,181.1626511,28.56239993
144,1,0,1.484017662,156.0035808,24.87464215
144,0.975,0.025,0.2855993321,,
144,0.975,0.025,0.4038984489,,
144,0.975,0.025,0.4946725539,,
144,0.975,0.025,0.5711986643,,
144,0.975,0.025,0.638619521,,
144,0.975,0.025,0.6995726346,,
144,0.975,0.025,0.8077968978,,
144,0.975,0.025,0.8567979964,,
144,0.975,0.025,0.9031443878,,
144,0.975,0.025,0.9472258251,,
144,0.975,0.025,0.9893451078,285.4688865,23.86331114
144,0.975,0.025,1.029743036,,
144,0.975,0.025,1.068614851,,
144,0.975,0.025,1.142397329,133.1755181,
144,0.975,0.025,1.177556213,298.626552,
144,0.975,0.025,1.211695347,254.4290006,
144,0.975,0.025,1.244898627,188.8562664,6.411863365
144,0.975,0.025,1.277239042,216.4472929,57.21911151
144,0.975,0.025,1.308780558,196.0077581,27.61863924
144,0.975,0.025,1.339579608,176.6402744,20.52108303
144,0.975,0.025,1.399145269,174.1729201,20.59718286
144,0.975,0.025,1.427996661,210.1776108,31.69900196
144,0.975,0.025,1.456276568,131.9904317,6.945043109
144,0.975,0.025,1.484017662,172.5894659,43.7219783
144,0.95,0.05,0.2855993321,,
144,0.95,0.05,0.4038984489,,
144,0.95,0.05,0.4946725539,,
144,0.95,0.05,0.5711986643,,
144,0.95,0.05,0.638619521,,
144,0.95,0.05,0.6995726346,,
144,0.95,0.05,0.8077968978,,
144,0.95,0.05,0.8567979964,,
144,0.95,0.05,0.9031443878,,
144,0.95,0.05,0.9472258251,296.661211,
144,0.95,0.05,0.9893451078,,
144,0.95,0.05,1.029743036,,
144,0.95,0.05,1.068614851,,
144,0.95,0.05,1.142397329,169.3874853,
144,0.95,0.05,1.177556213,,
144,0.95,0.05,1.211695347,221.9842872,32.79588014
144,0.95,0.05,1.244898627,260.1161539,36.73666626
144,0.95,0.05,1.277239042,184.1900931,20.90287813
144,0.95,0.05,1.308780558,183.5029331,26.31124127
144,0.95,0.05,1.339579608,202.0923632,39.33522778
144,0.95,0.05,1.399145269,150.5582593,16.38412063
144,0.95,0.05,1.427996661,201.8109729,39.06950193
144,0.95,0.05,1.456276568,175.5885382,16.37549193
144,0.95,0.05,1.484017662,163.1229262,31.80593274
144,0.925,0.075,0.2855993321,,
144,0.925,0.075,0.4038984489,,
144,0.925,0.075,0.4946725539,,
144,0.925,0.075,0.5711986643,,
144,0.925,0.075,0.638619521,,
144,0.925,0.075,0.6995726346,,
144,0.925,0.075,0.8077968978,,
144,0.925,0.075,0.8567979964,,
144,0.925,0.075,0.9031443878,,
144,0.925,0.075,0.9472258251,,
144,0.925,0.075,0.9893451078,,
144,0.925,0.075,1.029743036,,
144,0.925,0.075,1.068614851,,
144,0.925,0.075,1.142397329,,
144,0.925,0.075,1.177556213,,
