ensemble,epsilon,tw,tau_kww,beta_kww,r2_kww
correlated,0.0,0,145.92237679828676,0.21942951251638904,0.6497172125188826
correlated,0.0,100,773.7694502307567,0.27542800585896243,0.9029340214142313
correlated,0.0,300,1243.4308050199486,0.31054560498548456,0.9540028805019659
correlated,0.0,1000,1371.3557091028629,0.3627746104811325,0.9724513311780768
correlated,0.0,3000,1479.9676583901555,0.4132529029460382,0.9839416994042155
correlated,0.0,10000,1504.820096752444,0.4256868219636587,0.9848074705029646
correlated,3.0,0,207.64063206541996,0.19510039130256449,0.5968278395861788
correlated,3.0,100,6368.5766330215865,0.2256840418619705,0.8751630445864019
correlated,3.0,300,10126.954569964084,0.2664711395238552,0.9529130738549809
correlated,3.0,1000,11587.273906858924,0.30669406936507215,0.9712639874048792
correlated,3.0,3000,15458.717607864714,0.33756913271223465,0.984313595469626
correlated,3.0,10000,26248.946948542023,0.3386420513122207,0.9893747133717994
correlated,6.0,0,173.77739115685583,0.1940283435872489,0.5856481281989763
correlated,6.0,100,24729.089983470374,0.20136463850071498,0.8923818101407105
correlated,6.0,300,26975.286238979443,0.24798124899528015,0.9494749024024378
correlated,6.0,1000,33653.509724683936,0.2938488792328585,0.9724275628434097
correlated,6.0,3000,46086.59184355102,0.32118545452206204,0.985683367900134
correlated,6.0,10000,105799.37040274967,0.31715809070961476,0.986849213628076
iid,0.0,0,145.92237679828676,0.21942951251638904,0.6497172125188826
iid,0.0,100,773.7694502307567,0.27542800585896243,0.9029340214142313
iid,0.0,300,1243.4308050199486,0.31054560498548456,0.9540028805019659
iid,0.0,1000,1371.3557091028629,0.3627746104811325,0.9724513311780768
iid,0.0,3000,1479.9676583901555,0.4132529029460382,0.9839416994042155
iid,0.0,10000,1504.820096752444,0.4256868219636587,0.9848074705029646
iid,3.0,0,223.83040100892873,0.18311296214946235,0.5443871554168124
iid,3.0,100,12886.861251127251,0.2192392339601122,0.9130558329370239
iid,3.0,300,16190.298709657372,0.26153871331186707,0.9429381044558875
iid,3.0,1000,19914.26016596049,0.3057632280716817,0.9648809342511995
iid,3.0,3000,25706.516077671316,0.3481385895417314,0.9818842079329122
iid,3.0,10000,49715.728955761384,0.36519088275571254,0.992810166613728
iid,6.0,0,601.8307201123642,0.16393758825560553,0.5402843025572581
iid,6.0,100,68874.66797510226,0.20603938837414407,0.8757683297244124
iid,6.0,300,48160.33789307956,0.2515614682476926,0.952340772130593
iid,6.0,1000,52257.7291096361,0.2995981705882733,0.9779594699187483
iid,6.0,3000,83572.62549750197,0.32691441377317654,0.9874431968177009
iid,6.0,10000,168391.8299879349,0.3423746430612506,0.9893221346261935
