ensemble,epsilon,tw,tau_kww,beta_kww,r2_kww
correlated,0.0,0,35.509099470080045,0.2302475999720469,0.6864640397080951
correlated,0.0,100,583.538003825791,0.23844388917208326,0.9210193672357302
correlated,0.0,300,889.1013205913603,0.29141121676845894,0.9646009200289227
correlated,0.0,1000,1204.2864802159197,0.34608265490517237,0.9797539565182645
correlated,0.0,3000,1439.3673376657546,0.4026781183072021,0.988108077659447
correlated,0.0,10000,1432.384932813701,0.4071024844730849,0.9910301303531869
correlated,3.0,0,36.47167318916819,0.19046695780541617,0.6062630474809307
correlated,3.0,100,4913.007543961986,0.17913087876434478,0.8959415973694163
correlated,3.0,300,8373.846873906925,0.24052919403956527,0.9719254115449367
correlated,3.0,1000,12820.536669426083,0.2938591923350092,0.9818086190816014
correlated,3.0,3000,16758.771805231052,0.32112195625612766,0.9888228816806727
correlated,3.0,10000,27534.09142910364,0.3373391419550743,0.9960316990059864
correlated,6.0,0,280.9146762153056,0.17669864680660552,0.6858121594108658
correlated,6.0,100,13303.270359621823,0.174483152633255,0.9012070494493867
correlated,6.0,300,24729.490642226643,0.2206975872169169,0.9483655900315362
correlated,6.0,1000,39296.07626680758,0.2711963701521591,0.9804343098204782
correlated,6.0,3000,53600.72642647131,0.29044464847935025,0.9880105679047683
correlated,6.0,10000,130660.9393764223,0.30089300717852935,0.9896491303633053
iid,0.0,0,35.509099470080045,0.2302475999720469,0.6864640397080951
iid,0.0,100,583.538003825791,0.23844388917208326,0.9210193672357302
iid,0.0,300,889.1013205913603,0.29141121676845894,0.9646009200289227
iid,0.0,1000,1204.2864802159197,0.34608265490517237,0.9797539565182645
iid,0.0,3000,1439.3673376657546,0.4026781183072021,0.988108077659447
iid,0.0,10000,1432.384932813701,0.4071024844730849,0.9910301303531869
iid,3.0,0,59.561519401709724,0.14264631740709535,0.5457516267819158
iid,3.0,100,7440.450223572915,0.18981658714237165,0.8749940247754144
iid,3.0,300,14438.468522715331,0.24102448533480106,0.9599083509762731
iid,3.0,1000,21857.914516014152,0.28329619293700964,0.9795391581802787
iid,3.0,3000,28321.685803570836,0.3270215439790447,0.9876973111907886
iid,3.0,10000,58993.677755225086,0.3474708432907273,0.9952183335354802
iid,6.0,0,402.28001417047955,0.16208273710609808,0.6848447413564593
iid,6.0,100,35231.054722849825,0.1758953990112025,0.9210596509857636
iid,6.0,300,39189.73855630248,0.24658185350658396,0.9521895266080997
iid,6.0,1000,50089.89650723698,0.28220532084086003,0.9838429422705551
iid,6.0,3000,76469.73489623974,0.3159628970231798,0.9859033595225901
iid,6.0,10000,191417.97244171405,0.3295684528894562,0.9930667632138985
