ensemble,epsilon,tw,msd_exponent,msd_r2
correlated,0.0,0,0.7613021095564652,0.9050310808384172
correlated,0.0,100,0.7208259507956114,0.9687624435251203
correlated,0.0,300,0.7136570897497473,0.9849065517624181
correlated,0.0,1000,0.7082670403352449,0.988971565613263
correlated,0.0,3000,0.7014589065307187,0.9913451647449708
correlated,0.0,10000,0.6758272073925885,0.989419293037031
correlated,3.0,0,0.744983493578756,0.9053045033927335
correlated,3.0,100,0.7066981317895522,0.9668689392194919
correlated,3.0,300,0.6957198679585261,0.9823882094774752
correlated,3.0,1000,0.6948035842159159,0.9894165805660884
correlated,3.0,3000,0.679553626657072,0.9899031515777797
correlated,3.0,10000,0.6430051887570811,0.9880769844368028
correlated,6.0,0,0.7507910222677644,0.9035412221492348
correlated,6.0,100,0.7039949524718357,0.9696745834424603
correlated,6.0,300,0.6985643641979407,0.9830283919537636
correlated,6.0,1000,0.6910661344270813,0.9888423385069509
correlated,6.0,3000,0.67697174466298,0.9880886356283815
correlated,6.0,10000,0.6391272337008613,0.9845455392898539
iid,0.0,0,0.7613021095564652,0.9050310808384172
iid,0.0,100,0.7208259507956114,0.9687624435251203
iid,0.0,300,0.7136570897497473,0.9849065517624181
iid,0.0,1000,0.7082670403352449,0.988971565613263
iid,0.0,3000,0.7014589065307187,0.9913451647449708
iid,0.0,10000,0.6758272073925885,0.989419293037031
iid,3.0,0,0.7337668734067014,0.8956632914008312
iid,3.0,100,0.6923190206462267,0.9655902439647452
iid,3.0,300,0.6902674642804211,0.9851602643547732
iid,3.0,1000,0.7048328243239891,0.9914028382496725
iid,3.0,3000,0.6789944584049217,0.9921750303048414
iid,3.0,10000,0.6598693261344348,0.9924907986925199
iid,6.0,0,0.7238504646211125,0.8931732548240546
iid,6.0,100,0.6935100841345974,0.9625507272103183
iid,6.0,300,0.6946924484078889,0.9820267911113648
iid,6.0,1000,0.6938611817419559,0.99294815959225
iid,6.0,3000,0.6890082814678307,0.9939035494923822
iid,6.0,10000,0.6638200810052028,0.9913691069454562
