ensemble,epsilon,tw,t_star,chi4_star,Q0,tau
correlated,0.0,0.0,1.0,0.002890667761357358,0.002907772304323975,16.495878007295218
correlated,0.0,100.0,1.0,0.052818828680897566,0.019157088122605307,303.80779767336685
correlated,0.0,300.0,2.0,0.23416689472723962,0.05288724685276405,692.157838299594
correlated,0.0,1000.0,1.0,0.44679916985951507,0.10580870279146137,894.7845624642902
correlated,0.0,3000.0,1.0,0.27692825214376926,0.15216201423097972,1066.8850445091557
correlated,0.0,10000.0,84.0,0.13076423097974837,0.1664956212370005,1118.2036295179785
correlated,3.0,0.0,1.0,0.0018814997263272666,0.003113026819923325,14.049772729419614
correlated,3.0,100.0,1.0,0.03426039956212366,0.018917624521072735,
correlated,3.0,300.0,6.0,0.15394658821382942,0.051142583470169624,
correlated,3.0,1000.0,2.0,0.43258529465426054,0.10960591133004921,
correlated,3.0,3000.0,1.0,0.3071861886517057,0.15920908593322383,
correlated,3.0,10000.0,5055.0,0.09729064039408881,0.19215243568691842,
correlated,6.0,0.0,1.0,0.003306878306878275,0.003318281335522683,47.97975591808028
correlated,6.0,100.0,1.0,0.08617268746579092,0.020388615216201382,
correlated,6.0,300.0,1.0,0.24937853493887974,0.04953475643130811,
correlated,6.0,1000.0,1.0,0.3656837255975191,0.10036945812807878,
correlated,6.0,3000.0,4.0,0.31740330231709624,0.15233305966064584,
correlated,6.0,10000.0,4.0,0.18346902937420237,0.19020251778872466,
iid,0.0,0.0,1.0,0.002890667761357358,0.002907772304323975,16.495878007295218
iid,0.0,100.0,1.0,0.052818828680897566,0.019157088122605307,303.80779767336685
iid,0.0,300.0,2.0,0.23416689472723962,0.05288724685276405,692.157838299594
iid,0.0,1000.0,1.0,0.44679916985951507,0.10580870279146137,894.7845624642902
iid,0.0,3000.0,1.0,0.27692825214376926,0.15216201423097972,1066.8850445091557
iid,0.0,10000.0,84.0,0.13076423097974837,0.1664956212370005,1118.2036295179785
iid,3.0,0.0,1.0,0.0014481846378397664,0.0029419813902572083,13.399632131735356
iid,3.0,100.0,1.0,0.03780674147053452,0.020696496989600393,
iid,3.0,300.0,4.0,0.1972495894909688,0.05610290093048709,
iid,3.0,1000.0,8.0,0.33452494982667386,0.11022167487684725,
iid,3.0,3000.0,464.0,0.2519100072979384,0.16136425834701693,
iid,3.0,10000.0,235.0,0.25054164386061056,0.1983100711548987,
iid,6.0,0.0,2.0,0.0023262178434591747,0.0029761904761904253,38.12493457739692
iid,6.0,100.0,1.0,0.055772213099799246,0.023159551176792494,
iid,6.0,300.0,1.0,0.2478676336434955,0.058976464148877895,
iid,6.0,1000.0,2.0,0.2779887338076992,0.11559250136836341,
iid,6.0,3000.0,235.0,0.2483237547892719,0.15924329501915704,
iid,6.0,10000.0,464.0,0.2604964878671771,0.19276819923371644,
