n_chains,eps_AB,delta_eps,n_seeds,box_size,S_psi_peak_seed_relative_variance,S_psi_peak_mean,S_psi_peak_sem,S_psi_kmin_mean,S_psi_kmin_sem,S_rho_kmin_mean,S_rho_kmin_sem,non_gaussian_ratio_peak_mean,non_gaussian_ratio_peak_sem,shell_anisotropy_peak_mean,shell_anisotropy_peak_sem,peak_intensity_relative_variance_mean,peak_intensity_relative_variance_sem,cg_variance_1p5_mean,cg_variance_1p5_sem,cg_variance_2_mean,cg_variance_2_sem,cg_variance_3_mean,cg_variance_3_sem,tau_psi_peak_mean,tau_psi_peak_sem,gamma_psi_peak_mean,gamma_psi_peak_sem,kww_tau_peak_mean,kww_tau_peak_sem,kww_beta_peak_mean,kww_beta_peak_sem,plateau_psi_peak_mean,plateau_psi_peak_sem,S_psi_peak_relative_drift_mean,S_psi_peak_relative_drift_sem,energy_per_bead_mean,energy_per_bead_sem,mean_Rg_mean,mean_Rg_sem,q_peak_mean,q_peak_sem
144,1,0,4,22,0.006319057514,1.134552341,0.04509420081,0.8584921189,0.1361027374,162.3674209,0.8715313454,1.839374222,0.1137284322,1.199258626,0.079162308,0.2589431033,0.04713258383,0.01110746028,0.0004546492567,0.004500745763,0.0002469682555,0.001152806847,0.0001027539027,114.134578,79.14568,0.0394871323,0.01697394321,623.6485863,563.8332527,0.3812459749,0.1138281996,0.2089519905,0.1290737838,0.1046220939,0.1223608959,-1.5341733,0.0009302399869,3.203714177,0.01138435406,0.7853981634,0.2141994991
144,0.975,0.025,4,22,0.005562863609,1.120549238,0.04178786228,0.7025663484,0.0467381464,152.5956698,0.2180809445,1.915074621,0.04827447106,1.227849219,0.1150490683,0.1667298581,0.04751994358,0.01158332656,0.0005166807398,0.004712428063,0.0002272991111,0.001196173732,5.677246891e-05,158.775752,64.31169767,0.03371052891,0.009051505007,140.759579,76.64666424,0.5716918012,0.1382099531,0.05173508392,0.03883408639,0.1131916116,0.04613478592,-1.481393825,0.0004764498938,3.236472764,0.01122318702,0.7755769202,0.1010355125
144,0.95,0.05,4,22,0.003933144826,1.224852096,0.03840817071,0.9910079158,0.1624283327,144.2298786,0.4653656099,1.712235644,0.0737017327,1.715808974,0.1873739958,0.1329447263,0.03110504253,0.01199227902,0.0002850715745,0.004977585382,7.852454461e-05,0.001338933797,6.52608523e-05,286.6572332,124.5789143,0.01145449266,0.005224803502,2251.486857,1329.030728,0.5320482469,0.1235088229,0.4420670528,0.1514397728,0.09244269595,0.091254036,-1.432888032,0.001015020662,3.235102826,0.006727620052,0.4413609632,0.099179452
144,0.9,0.1,4,22,0.03290386121,1.307129195,0.1185528371,0.7924673024,0.2608970794,120.2415002,3.533070638,1.911726829,0.04886223015,1.359210193,0.1447918745,0.1087993088,0.01759471395,0.01274195129,0.0006918905471,0.005195980887,0.0003873900264,0.001304500725,0.0001592885803,357.7613811,206.7442056,0.05299487771,0.02612346649,372.1144273,218.1174942,0.6534326003,0.1333082717,0.1296135943,0.08400323872,-0.04704300844,0.0461678937,-1.328280049,0.004294975894,3.226384637,0.002981704738,0.8856537248,0.2545723355
144,0.85,0.15,4,22,0.02944758946,1.51155976,0.1296940944,0.995222434,0.2692750451,95.78553728,3.114767796,1.754785546,0.1088573063,1.591766375,0.1330279737,0.1221175598,0.02013993701,0.01393803115,0.0004430063246,0.005718267346,0.0002446450428,0.001445688289,0.0001543271579,230.0276924,92.61975697,0.01664039106,0.006543124178,12409.31778,12179.98494,0.6099978953,0.1819423002,0.2512357524,0.1803891207,0.06530146191,0.0688937562,-1.22391023,0.004366171812,3.260006834,0.0159790077,0.5566720762,0.1107186498
144,0.8,0.2,4,22,0.02460690468,1.545463553,0.1212152511,1.316347164,0.2342396691,75.72439346,2.805723507,1.676449328,0.150293347,1.551134762,0.05010652271,0.1463299707,0.05248666357,0.01499010143,0.0007926618124,0.006275440601,0.0004172268531,0.001665220302,0.0001617337838,482.2778725,246.8014755,0.009886580376,0.004247311049,2988.264987,1550.369744,0.5718524303,0.1256550482,0.4276342785,0.1364416526,0.02029105745,0.1325094548,-1.126725446,0.004677813534,3.251958539,0.01163279114,0.4261226848,0.08628809073
144,0.7,0.3,4,22,0.03917440248,1.827117856,0.1808163743,1.340141182,0.2590697196,34.89982977,0.1670082975,1.795438802,0.08518194253,1.609619362,0.1622621077,0.1669969521,0.04543886611,0.01658007365,0.001033363119,0.006962460727,0.0006103779798,0.001849068518,0.0002562336583,453.8167172,212.4875751,0.02109736607,0.01383349775,884.1701204,438.4512133,0.6572881339,0.04156428939,0.2859309038,0.1196887689,-0.1929017669,0.2472066072,-0.9340051357,0.002529250733,3.307433853,0.01053278131,0.5858898227,0.168285227
144,0.6,0.4,4,22,0.01736103178,1.73453761,0.1142724376,1.122367924,0.2203489073,2.996332888,0.04838978473,1.875235888,0.04063434622,1.539917173,0.3157252474,0.1639284226,0.04725490936,0.01751970236,0.0008325017582,0.007149253775,0.0003882370456,0.001774727283,0.0001191837518,399.9159107,182.9942039,0.02318098277,0.009612201253,448.260693,206.8513549,0.9778759688,0.2642590262,0.1085229321,0.08335308044,-0.1680606867,0.06069012829,-0.7491777831,0.001502824898,3.342480266,0.006843161772,0.6468721863,0.1298287347
144,0.5,0.5,4,22,0.1902021883,2.241576714,0.4888001893,1.666955178,0.680277075,1.473626488,0.06414972754,1.73098697,0.1726082238,1.352956451,0.04485870678,0.0735062922,0.01040081461,0.0196097408,0.001163130456,0.008195820728,0.0006979139157,0.00218627756,0.0003906823758,179.970065,15.15405072,0.01603506699,0.004739545597,1168.169906,987.8600356,0.985504063,0.2975484384,0.257510089,0.210823212,-0.03387656197,0.06851057601,-0.6428797103,0.002308068752,3.350299497,0.008536937119,0.5656027522,0.0944337253
144,0.3,0.7,4,22,0.01204328328,2.53653102,0.1391818591,1.616191035,0.2406792951,0.8289716166,0.02450923262,1.728925252,0.06042409141,1.735199803,0.1604149441,0.1677031553,0.03725260027,0.02450074346,0.001502365095,0.01042157082,0.0007794199735,0.002726698693,0.000269593272,,,0.007584714293,0.00152744871,2006.507843,804.0463332,0.5197956195,0.237055547,0.5300678536,0.040206848,-0.02886889435,0.1093545525,-0.461029032,0.004189176216,3.364304003,0.009138912201,0.468417029,0.0403925648
