run_id,n_chains,chain_length,box_size,eps_AB,delta_eps,seed,q_peak,S_psi_peak,S_psi_peak_sem_time,S_psi_kmin,S_rho_kmin,non_gaussian_ratio_peak,shell_anisotropy_peak,peak_intensity_relative_variance,cg_variance_1p5,cg_variance_2,cg_variance_3,tau_psi_peak,gamma_psi_peak,kww_tau_peak,kww_beta_peak,plateau_psi_peak,S_psi_peak_relative_drift,energy_per_bead,mean_Rg,T_inst_star,n_frames_window
M0144_N40_kappa1_pi0p990_epsAB1_seed1,144,40,22,1,0,1,0.4038984489,32.94224149,8.049355,27.62088481,161.8193388,1.927540978,2.089313853,0.2683868082,0.1542814847,0.08983128943,0.03443778577,,0.001168255556,1701.938825,1.055314033,0.5779408007,-0.9081327584,-1.531527927,3.1989926,1.498939543,1250
M0144_N40_kappa1_pi0p990_epsAB1_seed2,144,40,22,1,0,2,0.5711986643,15.15491527,2.000312229,10.11197472,161.9240747,1.76542714,1.160825357,0.2155448068,0.110777469,0.05411893934,0.01545071995,560.5433481,0.005032765963,535.784181,1.179070894,0.1263115252,-0.4867816561,-1.532167982,3.169864483,1.498781652,1250
M0144_N40_kappa1_pi0p990_epsAB1_seed3,144,40,22,1,0,3,0.5711986643,25.46543977,2.62765132,21.16329781,162.8194608,1.508365792,1.544587619,0.1508135294,0.1261608624,0.06655600637,0.02238523442,,0.002599412989,2354.1946,0.6585788132,0.5838038449,-0.2661138244,-1.529154893,3.158874259,1.498534229,1250
M0144_N40_kappa1_pi0p990_epsAB1_seed4,144,40,22,1,0,4,0.4946725539,24.43853265,2.898536564,15.35504453,159.7817424,1.487063084,2.026892357,0.1090638023,0.1387877947,0.0761901814,0.02543240571,,0.002206663927,1765.593725,0.8274893109,0.5442589544,-0.29387383,-1.532527338,3.237715902,1.499663188,1250
M0144_N40_kappa1_pi0p990_epsAB0p975_seed1,144,40,22,0.975,0.025,1,0.2855993321,70.91111948,6.781872404,70.91111948,153.6453078,1.299013963,1.9740606,0.05008692228,0.2162191185,0.1367256661,0.06007030755,,0.0003495420903,613587162,0.1016733512,0.9197791278,-0.2793673716,-1.496329306,3.168415661,1.497114292,1250
M0144_N40_kappa1_pi0p990_epsAB0p975_seed2,144,40,22,0.975,0.025,2,0.4038984489,46.8057646,2.076309243,36.74917998,157.4305179,1.50667632,1.698028599,0.0312368042,0.2121055747,0.1280067946,0.04881427774,,0.0009859339484,1648.225624,1.179954715,0.5878341757,-0.1889543316,-1.503728663,3.193985655,1.499142063,1250
M0144_N40_kappa1_pi0p990_epsAB0p975_seed3,144,40,22,0.975,0.025,3,0.2855993321,38.56993836,2.502905816,38.56993836,156.7307557,1.316863555,1.658818476,0.0433914553,0.1899691656,0.1109539964,0.04174747216,,0.0006345557912,1535.901202,1.703092966,0.6346171062,0.1928454103,-1.499266096,3.168900256,1.501474027,1250
M0144_N40_kappa1_pi0p990_epsAB0p975_seed4,144,40,22,0.975,0.025,4,0.2855993321,64.97455096,6.644805531,64.97455096,154.9576456,1.429298118,1.223027818,0.05775999184,0.2003346785,0.1214849385,0.05083514511,,0.0004289218629,2531.404492,1.390910914,0.7623253432,0.2876998137,-1.492187301,3.21178996,1.500375038,1250
M0144_N40_kappa1_pi0p990_epsAB0p95_seed1,144,40,22,0.95,0.05,1,0.2855993321,118.7732497,16.20154152,118.7732497,148.9363695,1.280980577,2.301943771,0.08557239243,0.3328996334,0.2284309406,0.1064355666,,0.000319884493,4862.665588,0.9060695844,0.8034779586,0.4665260799,-1.472594657,3.191882109,1.497056113,1250
M0144_N40_kappa1_pi0p990_epsAB0p95_seed2,144,40,22,0.95,0.05,2,0.2855993321,129.7276299,23.68758384,129.7276299,149.1881214,1.231018536,1.42955799,0.1436903285,0.3396061635,0.2354305073,0.1119949867,,0.0002906714921,3919.280665,1.450958021,0.8682567183,0.6606473067,-1.471263351,3.153497771,1.50192156,1250
M0144_N40_kappa1_pi0p990_epsAB0p95_seed3,144,40,22,0.95,0.05,3,0.2855993321,159.6148621,34.93241756,159.6148621,148.7678916,1.251665556,2.159592483,0.2063866748,0.3530580992,0.2484496491,0.122373986,,0.0001713205647,2726.340482,1.827457939,0.8592475468,0.8253947854,-1.474029984,3.183816321,1.501419032,1250
M0144_N40_kappa1_pi0p990_epsAB0p95_seed4,144,40,22,0.95,0.05,4,0.2855993321,260.9024834,17.54748982,260.9024834,152.7801057,1.086423641,1.059888222,0.02534198025,0.4661046094,0.3486282329,0.1857054261,,7.760590743e-05,8.286509433e+11,0.03563965468,0.9569241431,0.2483404748,-1.485585961,3.171958167,1.501074811,1250
M0144_N40_kappa1_pi0p990_epsAB0p9_seed1,144,40,22,0.9,0.1,1,0.2855993321,426.1312579,31.52898573,426.1312579,146.6099038,1.054688232,1.313230917,0.02417454501,0.6260522178,0.4901860302,0.2779071346,,0.000114358916,2.370950608e+10,0.04243997501,0.9466892497,0.2706158479,-1.467393142,3.178204008,1.498104334,1250
M0144_N40_kappa1_pi0p990_epsAB0p9_seed2,144,40,22,0.9,0.1,2,0.2855993321,214.8260773,33.84015332,214.8260773,143.9490127,1.190007124,2.224546639,0.1120120499,0.5561107156,0.4140950932,0.2077148282,,0.0002602318588,8649.713362,0.8825522916,0.8688596408,0.5476330227,-1.450613557,3.143804765,1.501933163,1250
M0144_N40_kappa1_pi0p990_epsAB0p9_seed3,144,40,22,0.9,0.1,3,0.2855993321,503.8639632,10.23438291,503.8639632,141.4698186,1.153168256,1.897259098,0.003816413213,0.6477321555,0.5137019623,0.3005256665,,6.825258046e-05,4.928103227e+10,0.04052680235,0.9542970351,0.04471087367,-1.458976767,3.151583064,1.499380896,1250
M0144_N40_kappa1_pi0p990_epsAB0p9_seed4,144,40,22,0.9,0.1,4,0.2855993321,429.4754419,43.11485852,429.4754419,144.0751847,1.176719185,1.254168508,0.04430696942,0.6165062447,0.4833298084,0.2755618624,,9.481781067e-05,4.875885378e+13,0.03090183921,0.9607634198,0.3265858953,-1.463583535,3.144965407,1.498794263,1250
M0144_N40_kappa1_pi0p990_epsAB0p85_seed1,144,40,22,0.85,0.15,1,0.2855993321,611.9746734,31.544701,611.9746734,141.8083617,1.077844972,1.378631805,0.01202522602,0.7351591669,0.5957669235,0.3582667453,,5.816285449e-05,7.027691454e+12,0.0327963634,0.959501507,0.1892656575,-1.46497482,3.166672493,1.500118023,1250
M0144_N40_kappa1_pi0p990_epsAB0p85_seed2,144,40,22,0.85,0.15,2,0.2855993321,664.5955699,23.33502673,664.5955699,125.0726713,1.284365549,2.548220127,0.00576736537,0.7397423087,0.6038826625,0.3699697695,,5.063850195e-05,2.565780728e+15,0.02617204724,0.9683904589,0.1105943852,-1.437772884,3.169322321,1.500197078,1250
M0144_N40_kappa1_pi0p990_epsAB0p85_seed3,144,40,22,0.85,0.15,3,0.2855993321,579.311729,39.62863212,579.311729,134.8773762,1.370887053,1.949697949,0.0206748737,0.7170934963,0.5751734357,0.3411723044,,3.829089524e-05,1.695443909e+13,0.03151300415,0.9628700356,0.2456840117,-1.448390038,3.186584007,1.501454802,1250
M0144_N40_kappa1_pi0p990_epsAB0p85_seed4,144,40,22,0.85,0.15,4,0.2855993321,721.7514161,7.033053562,721.7514161,138.5150966,1.034997063,1.722294587,0.001285371969,0.7654311036,0.6290649268,0.3907804336,,7.290980837e-05,,,0.9820354704,0.04267271761,-1.462597118,3.194896233,1.498754544,1250
M0144_N40_kappa1_pi0p990_epsAB0p8_seed1,144,40,22,0.8,0.2,1,0.2855993321,748.6673597,16.0557473,748.6673597,128.5654607,1.0746835,1.574588839,0.0026417058,0.7837049368,0.645950873,0.4028685612,,4.018437988e-05,8.972635987e+19,0.02016224576,0.9761136883,0.05451680422,-1.445314664,3.184178577,1.495323352,1250
M0144_N40_kappa1_pi0p990_epsAB0p8_seed2,144,40,22,0.8,0.2,2,0.2855993321,731.6450581,22.7926592,731.6450581,134.1889559,1.042235483,1.632931743,0.004576063061,0.7793647046,0.6403663695,0.3971356385,,4.796166356e-05,2.208463478e+11,0.03877037298,0.9553250236,0.05384856272,-1.447243722,3.208612504,1.500701692,1250
M0144_N40_kappa1_pi0p990_epsAB0p8_seed3,144,40,22,0.8,0.2,3,0.2855993321,743.8946249,13.1196499,743.8946249,113.1454645,1.021082701,2.069711122,0.001593535371,0.7806627535,0.6414357073,0.3986399775,,7.234630609e-05,6910.764049,1.419199188,0.9392929576,0.06184316022,-1.425277739,3.224869427,1.501883961,1250
M0144_N40_kappa1_pi0p990_epsAB0p8_seed4,144,40,22,0.8,0.2,4,0.2855993321,749.5071919,7.889275942,749.5071919,125.895294,1.063867002,2.229840904,0.001112003296,0.7873772822,0.6471867271,0.4025598743,,7.223020776e-05,2.96432717e+14,0.0284651048,0.9634796837,-0.006876471178,-1.447194927,3.185230833,1.50152289,1250
M0144_N40_kappa1_pi0p990_epsAB0p7_seed1,144,40,22,0.7,0.3,1,0.2855993321,800.167797,2.575547543,800.167797,118.7626766,1.039641223,1.370458873,0.0004071978562,0.8278221965,0.6857503977,0.4298917942,,5.853426502e-05,6.165655103e+18,0.02140461054,0.9735420919,-0.001201987694,-1.425503586,3.17691655,1.499528137,1250
M0144_N40_kappa1_pi0p990_epsAB0p7_seed2,144,40,22,0.7,0.3,2,0.2855993321,809.3267475,4.121609483,809.3267475,119.2719907,1.030789297,1.47335815,0.0005209003493,0.8332478483,0.6905740429,0.4332543428,,5.567762127e-05,1.065437911e+12,0.0351547188,0.9565929984,-0.002042742346,-1.427491286,3.181584197,1.499567019,1250
M0144_N40_kappa1_pi0p990_epsAB0p7_seed3,144,40,22,0.7,0.3,3,0.2855993321,779.5551002,8.014518821,779.5551002,98.54182841,1.060497055,1.350007236,0.001029069809,0.8179388183,0.6736624339,0.4189581924,,6.849043275e-05,1.011674633e+11,0.04123449354,0.9501641647,0.03450137818,-1.406662082,3.199542762,1.498704458,1250
M0144_N40_kappa1_pi0p990_epsAB0p7_seed4,144,40,22,0.7,0.3,4,0.2855993321,815.6246204,3.439637705,815.6246204,116.4047677,1.058064135,1.574448512,0.0004314572771,0.8380044892,0.6945999115,0.4360577226,,5.370018266e-05,4.312703788e+16,0.02506274987,0.9687916359,-0.002035472552,-1.432600327,3.208043652,1.499790726,1250
M0144_N40_kappa1_pi0p990_epsAB0p6_seed1,144,40,22,0.6,0.4,1,0.2855993321,895.422972,4.532863468,895.422972,77.79506353,1.085284633,2.729942303,0.0003540800691,0.8653003957,0.7255311083,0.4643350558,,6.091613948e-05,,,0.9822028889,0.01734798671,-1.388089409,3.249805318,1.500054582,1250
M0144_N40_kappa1_pi0p990_epsAB0p6_seed2,144,40,22,0.6,0.4,2,0.2855993321,855.8160554,3.794084391,855.8160554,98.31248935,1.024972173,1.442606894,0.0003255742946,0.8587569769,0.7152236077,0.4522983664,,5.519314528e-05,4.749442455e+18,0.02195581329,0.972464592,0.01864138718,-1.408343017,3.236489691,1.500535469,1250
M0144_N40_kappa1_pi0p990_epsAB0p6_seed3,144,40,22,0.6,0.4,3,0.2855993321,856.8446173,4.700389139,856.8446173,78.10053274,1.022145139,2.013070614,0.000468045463,0.8544853691,0.7106308062,0.4492127154,,5.947729051e-05,1.843610201e+11,0.03849695781,0.9537075137,-0.01017089777,-1.392675153,3.226941726,1.502434286,1250
M0144_N40_kappa1_pi0p990_epsAB0p6_seed4,144,40,22,0.6,0.4,4,0.2855993321,900.3012926,6.996684913,900.3012926,81.80807987,1.216111195,2.803317357,0.0005058340851,0.8765894892,0.7348821583,0.4696223823,,5.582307008e-05,2.144845992e+14,0.02869483828,0.9661729717,0.0244976346,-1.40002633,3.21506233,1.500850627,1250
M0144_N40_kappa1_pi0p990_epsAB0p5_seed1,144,40,22,0.5,0.5,1,0.2855993321,871.7088114,6.13376354,871.7088114,82.36501059,1.041500959,1.397224359,0.0004505315981,0.8747332434,0.7293161362,0.4613307149,,5.643697414e-05,3.002819608e+17,0.02399817848,0.9686845366,-0.007492427074,-1.39271432,3.194825567,1.501353078,1250
M0144_N40_kappa1_pi0p990_epsAB0p5_seed2,144,40,22,0.5,0.5,2,0.2855993321,931.1814373,2.317796496,931.1814373,62.92589799,1.169468971,2.698651117,0.000215258798,0.8877429541,0.7469129577,0.4800447567,,6.604261073e-05,,,0.9756467542,0.009177612706,-1.373667678,3.255191479,1.502097276,1250
M0144_N40_kappa1_pi0p990_epsAB0p5_seed3,144,40,22,0.5,0.5,3,0.2855993321,921.1462695,7.015619008,921.1462695,50.84507991,1.16130738,2.346140052,0.0004429959542,0.8827713926,0.7407244087,0.4745467367,,5.456437141e-05,3.858982948e+18,0.02182514705,0.9723565243,0.02521236891,-1.37180197,3.220747993,1.499624704,1250
M0144_N40_kappa1_pi0p990_epsAB0p5_seed4,144,40,22,0.5,0.5,4,0.2855993321,887.1121754,1.631932861,887.1121754,81.34261353,1.02787784,1.663285287,0.0002147086555,0.8851795986,0.738732569,0.4679729709,,6.727223829e-05,1.159862819e+13,0.03159661208,0.9609545844,0.002631714461,-1.396894745,3.177738438,1.501534136,1250
M0144_N40_kappa1_pi0p990_epsAB0p3_seed1,144,40,22,0.3,0.7,1,0.2855993321,984.2550834,0.9068164976,984.2550834,39.47588457,1.075358926,2.843743023,0.0001759895934,0.9167175973,0.7771676392,0.5042492769,,5.046905804e-05,4.73624996e+23,0.01693452729,0.9777762845,0.002309022387,-1.356865899,3.254209017,1.49985682,1250
M0144_N40_kappa1_pi0p990_epsAB0p3_seed2,144,40,22,0.3,0.7,2,0.2855993321,955.4953713,13.10174905,955.4953713,19.76597854,1.131675397,2.275059569,0.0009439698529,0.9036772835,0.7614013214,0.4901058174,,5.997719091e-05,18548.4735,0.9205758785,0.940468966,0.04931745155,-1.349735017,3.253670254,1.499815843,1250
M0144_N40_kappa1_pi0p990_epsAB0p3_seed3,144,40,22,0.3,0.7,3,0.2855993321,990.9944337,3.059856655,990.9944337,37.70124101,1.091810408,2.864829948,0.0002443624724,0.9221744661,0.7821677027,0.5076473321,,4.534914387e-05,4401.59003,1.825543798,0.938255924,-0.003480694539,-1.362222819,3.251247431,1.499939987,1250
M0144_N40_kappa1_pi0p990_epsAB0p3_seed4,144,40,22,0.3,0.7,4,0.2855993321,989.8976798,3.311530716,989.8976798,36.76979907,1.316721463,2.793956398,0.0001982271686,0.9236148098,0.7823561791,0.5070589252,,5.662569833e-05,5.424764482e+17,0.0227188251,0.9717455128,0.01078021759,-1.364338303,3.221967098,1.501149063,1250
M0144_N40_kappa1_pi0p990_epsAB0p1_seed1,144,40,22,0.1,0.9,1,0.2855993321,1033.055078,5.526343927,1033.055078,13.72864442,1.823762726,2.952467556,0.0002907458172,0.932675519,0.7964761643,0.5223150577,,4.37741841e-05,,,0.9800829548,0.009232517775,-1.335212979,3.247959976,1.49967833,1250
M0144_N40_kappa1_pi0p990_epsAB0p1_seed2,144,40,22,0.1,0.9,2,0.2855993321,1035.82193,5.275248374,1035.82193,8.091672591,2.024547792,2.941036375,0.0002346572214,0.9323500582,0.7964966814,0.5227652413,,5.047181882e-05,3657503622,0.04676284522,0.9424973691,0.01552818608,-1.331161207,3.285982266,1.499887552,1250
M0144_N40_kappa1_pi0p990_epsAB0p1_seed3,144,40,22,0.1,0.9,3,0.2855993321,1047.993309,1.58498771,1047.993309,5.202511656,1.564841831,2.98814735,0.0001505954282,0.939535248,0.8040502668,0.528628214,,5.572812023e-05,275.9035068,0.001613929935,0.9927026031,0.001445658358,-1.338080368,3.254966956,1.499705219,1250
