n_chains,eps_AB,delta_eps,shell_q,S_psi_mean,S_psi_sem
144,1,0,0.2855993321,18.56280047,3.769589195
144,1,0,0.4038984489,20.48921136,4.844016691
144,1,0,0.4946725539,15.7048874,2.924364184
144,1,0,0.5711986643,18.51146556,2.358071054
144,1,0,0.638619521,11.32655804,0.41764473
144,1,0,0.6995726346,10.66172071,0.3944744204
144,1,0,0.8077968978,8.255396783,0.1681894391
144,1,0,0.8567979964,7.786139035,0.2320258666
144,1,0,0.9031443878,7.058877368,0.3325504651
144,1,0,0.9472258251,6.435321942,0.312684093
144,1,0,0.9893451078,6.164635827,0.2542901418
144,1,0,1.029743036,5.478136707,0.2305292756
144,1,0,1.068614851,4.985898868,0.08264854712
144,1,0,1.142397329,4.573770724,0.1876402817
144,1,0,1.177556213,4.246314891,0.04996869969
144,1,0,1.211695347,4.013857396,0.04785280381
144,1,0,1.244898627,3.795803369,0.03865083472
144,1,0,1.277239042,3.654804081,0.06252358285
144,1,0,1.308780558,3.477012048,0.04081260838
144,1,0,1.339579608,3.225026491,0.0580818886
144,1,0,1.399145269,2.984066434,0.0959516517
144,1,0,1.427996661,2.929881498,0.06641753404
144,1,0,1.456276568,2.748221565,0.03937266081
144,1,0,1.484017662,2.646353976,0.03699220239
144,0.975,0.025,0.2855993321,52.80119719,8.833439364
144,0.975,0.025,0.4038984489,34.01095075,5.404797968
144,0.975,0.025,0.4946725539,24.56425672,1.935515965
144,0.975,0.025,0.5711986643,22.55153813,1.361390018
144,0.975,0.025,0.638619521,17.31472985,1.086162989
144,0.975,0.025,0.6995726346,12.76863352,0.548071561
144,0.975,0.025,0.8077968978,8.608800938,0.3631647384
144,0.975,0.025,0.8567979964,8.458143657,0.2542223767
144,0.975,0.025,0.9031443878,7.559140122,0.2551244022
144,0.975,0.025,0.9472258251,6.772017884,0.07936170512
144,0.975,0.025,0.9893451078,5.973656352,0.09927699122
144,0.975,0.025,1.029743036,5.272020228,0.1351226245
144,0.975,0.025,1.068614851,5.098820061,0.04224069617
144,0.975,0.025,1.142397329,4.383278788,0.07755519396
144,0.975,0.025,1.177556213,3.976043969,0.06088681859
144,0.975,0.025,1.211695347,3.760393924,0.06762089789
144,0.975,0.025,1.244898627,3.617889284,0.1550017165
144,0.975,0.025,1.277239042,3.337628972,0.06636675318
144,0.975,0.025,1.308780558,3.143811154,0.01451001408
144,0.975,0.025,1.339579608,2.973613667,0.1310485134
144,0.975,0.025,1.399145269,2.716871718,0.0467708627
144,0.975,0.025,1.427996661,2.577711336,0.03909818663
144,0.975,0.025,1.456276568,2.509789269,0.03467745709
144,0.975,0.025,1.484017662,2.390397906,0.04465517473
144,0.95,0.05,0.2855993321,167.2545563,32.38699131
144,0.95,0.05,0.4038984489,80.88794052,5.456728183
144,0.95,0.05,0.4946725539,31.07264844,3.340660723
144,0.95,0.05,0.5711986643,37.80017419,7.210929232
144,0.95,0.05,0.638619521,15.39293626,1.024481076
144,0.95,0.05,0.6995726346,11.42348802,0.8315794727
144,0.95,0.05,0.8077968978,8.12447428,0.4795350137
144,0.95,0.05,0.8567979964,6.65037664,0.3301404199
144,0.95,0.05,0.9031443878,6.044312236,0.391614865
144,0.95,0.05,0.9472258251,5.014081477,0.1230324851
144,0.95,0.05,0.9893451078,4.5853255,0.2717630096
144,0.95,0.05,1.029743036,4.258592786,0.1888671721
144,0.95,0.05,1.068614851,3.884429184,0.1410612785
144,0.95,0.05,1.142397329,3.292626669,0.1130251571
144,0.95,0.05,1.177556213,3.234822257,0.1595617223
144,0.95,0.05,1.211695347,2.974552078,0.1292842865
144,0.95,0.05,1.244898627,2.738722705,0.1513418974
144,0.95,0.05,1.277239042,2.55086105,0.1251000496
144,0.95,0.05,1.308780558,2.477796611,0.08590853947
144,0.95,0.05,1.339579608,2.335991971,0.1130945437
144,0.95,0.05,1.399145269,2.161462235,0.1259010114
144,0.95,0.05,1.427996661,2.025223218,0.08621268586
144,0.95,0.05,1.456276568,1.959423238,0.08365474771
144,0.95,0.05,1.484017662,1.915648773,0.09313178288
144,0.9,0.1,0.2855993321,393.5741851,62.22511847
144,0.9,0.1,0.4038984489,125.6142863,22.90541481
144,0.9,0.1,0.4946725539,35.23731743,1.831054262
144,0.9,0.1,0.5711986643,22.29597714,3.690476842
144,0.9,0.1,0.638619521,11.49046566,0.2907335749
144,0.9,0.1,0.6995726346,8.526383964,0.2262020455
144,0.9,0.1,0.8077968978,6.657311775,0.7238090966
144,0.9,0.1,0.8567979964,4.824415993,0.3271050873
144,0.9,0.1,0.9031443878,4.362468416,0.1156886174
144,0.9,0.1,0.9472258251,3.745423358,0.2113342209
144,0.9,0.1,0.9893451078,3.150462709,0.2879904431
144,0.9,0.1,1.029743036,2.962831856,0.1253056315
144,0.9,0.1,1.068614851,2.685374624,0.1273868797
144,0.9,0.1,1.142397329,2.356443402,0.228198395
144,0.9,0.1,1.177556213,2.053170864,0.08752327705
144,0.9,0.1,1.211695347,1.8976296,0.06492409548
144,0.9,0.1,1.244898627,1.792531313,0.02751930947
144,0.9,0.1,1.277239042,1.688687456,0.04390094217
144,0.9,0.1,1.308780558,1.620300593,0.05459093584
144,0.9,0.1,1.339579608,1.502807359,0.0525782669
144,0.9,0.1,1.399145269,1.40149893,0.04736939532
144,0.9,0.1,1.427996661,1.319092602,0.04199907077
144,0.9,0.1,1.456276568,1.264938534,0.03323901177
144,0.9,0.1,1.484017662,1.20177604,0.02409481553
144,0.85,0.15,0.2855993321,644.4083471,31.19693784
144,0.85,0.15,0.4038984489,75.08721842,11.17848294
144,0.85,0.15,0.4946725539,29.14982458,3.489334238
144,0.85,0.15,0.5711986643,17.28081804,5.022612239
144,0.85,0.15,0.638619521,9.705437116,1.210962052
144,0.85,0.15,0.6995726346,6.261535025,0.3579220969
144,0.85,0.15,0.8077968978,4.484037795,0.2381408565
