n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,1,0,0.2855993321,713.137213,
144,1,0,0.4038984489,587.0531171,32.40311059
144,1,0,0.4946725539,605.7557658,56.47659143
144,1,0,0.5711986643,576.4873247,15.94397662
144,1,0,0.638619521,357.6142923,37.91590994
144,1,0,0.6995726346,272.6798604,29.97668376
144,1,0,0.8077968978,209.1097115,26.13367443
144,1,0,0.8567979964,167.6436211,9.223224927
144,1,0,0.9031443878,146.2360726,12.38791268
144,1,0,0.9472258251,108.6781333,7.689142833
144,1,0,0.9893451078,106.7419549,12.75990775
144,1,0,1.029743036,84.44851134,5.715917507
144,1,0,1.068614851,64.55060198,2.833742682
144,1,0,1.142397329,55.714738,7.156221286
144,1,0,1.177556213,49.12166562,2.01559381
144,1,0,1.211695347,42.88433359,1.167243402
144,1,0,1.244898627,39.84023013,1.128977785
144,1,0,1.277239042,36.4577929,1.495649036
144,1,0,1.308780558,34.00395889,1.143622849
144,1,0,1.339579608,29.52840732,0.6799474005
144,1,0,1.399145269,25.20315071,1.428208086
144,1,0,1.427996661,23.91340901,1.068212022
144,1,0,1.456276568,21.65736597,0.5063289623
144,1,0,1.484017662,19.40351746,0.404484908
144,0.975,0.025,0.2855993321,,
144,0.975,0.025,0.4038984489,991.912108,117.3900161
144,0.975,0.025,0.4946725539,906.481989,295.0521359
144,0.975,0.025,0.5711986643,916.6541293,131.092936
144,0.975,0.025,0.638619521,646.8523483,112.2426567
144,0.975,0.025,0.6995726346,336.9657763,53.16835813
144,0.975,0.025,0.8077968978,179.4865218,16.27128716
144,0.975,0.025,0.8567979964,185.0549452,17.03919717
144,0.975,0.025,0.9031443878,150.230145,7.740152041
144,0.975,0.025,0.9472258251,117.2239348,5.990819049
144,0.975,0.025,0.9893451078,96.08528432,8.056427496
144,0.975,0.025,1.029743036,75.30980359,2.698558414
144,0.975,0.025,1.068614851,74.48225169,2.436342606
144,0.975,0.025,1.142397329,62.25131972,5.535924524
144,0.975,0.025,1.177556213,48.20821602,0.922786181
144,0.975,0.025,1.211695347,43.7309188,1.73572896
144,0.975,0.025,1.244898627,42.08698552,4.394884992
144,0.975,0.025,1.277239042,34.65083419,0.8927624439
144,0.975,0.025,1.308780558,31.3313044,0.3893316594
144,0.975,0.025,1.339579608,27.65347067,2.344231163
144,0.975,0.025,1.399145269,24.15686877,1.228639621
144,0.975,0.025,1.427996661,21.12842451,0.6884294479
144,0.975,0.025,1.456276568,20.72653085,0.7721243432
144,0.975,0.025,1.484017662,18.84063616,0.5963077695
144,0.95,0.05,0.2855993321,,
144,0.95,0.05,0.4038984489,,
144,0.95,0.05,0.4946725539,633.6074714,87.24175601
144,0.95,0.05,0.5711986643,586.8594404,
144,0.95,0.05,0.638619521,702.86023,100.3741001
144,0.95,0.05,0.6995726346,382.2711377,49.48955674
144,0.95,0.05,0.8077968978,240.6474217,35.6210723
144,0.95,0.05,0.8567979964,160.6578562,9.924999607
144,0.95,0.05,0.9031443878,129.3427309,9.702379962
144,0.95,0.05,0.9472258251,98.02394483,9.574812059
144,0.95,0.05,0.9893451078,86.5010935,6.857917475
144,0.95,0.05,1.029743036,69.62865286,2.693003429
144,0.95,0.05,1.068614851,58.33563909,2.539248228
144,0.95,0.05,1.142397329,47.84393978,3.186649982
144,0.95,0.05,1.177556213,46.28088376,2.296164571
144,0.95,0.05,1.211695347,40.44703367,1.593907154
144,0.95,0.05,1.244898627,33.29061271,2.008322646
144,0.95,0.05,1.277239042,29.95102165,1.113701652
144,0.95,0.05,1.308780558,28.25214685,0.6402363044
144,0.95,0.05,1.339579608,25.57273834,1.23180337
144,0.95,0.05,1.399145269,21.52666905,1.285090985
144,0.95,0.05,1.427996661,19.31554235,0.4262868137
144,0.95,0.05,1.456276568,18.37703237,0.5881674672
144,0.95,0.05,1.484017662,17.88006581,0.75524542
