epsilon,tw,t_star_iid,t_star_corr,delta_t_star_rel,chi4_star_iid,chi4_star_corr,delta_chi4_star_rel
3.0,100,1,1,0.0,0.04860491071428565,0.05917872536945808,-0.17867594459257366
3.0,300,1,1,0.0,0.19284367302955666,0.23563923953201965,-0.18161477089917255
3.0,1000,22,6,2.6666666666666665,0.39090016933497507,0.4202413023399013,-0.06981972700340251
3.0,3000,1,119,-0.9915966386554622,0.4107643165024629,0.3223348983990147,0.27434019258436754
3.0,10000,330,653,-0.4946401225114854,0.2831377001231523,0.20577278325123144,0.3759725443255766
6.0,100,1,1,0.0,0.061216517857142806,0.040503771551724084,0.5113782127416987
6.0,300,1,1,0.0,0.225450277093596,0.1913350523399014,0.17830096647994148
6.0,1000,2,1,1.0,0.3539043257389164,0.39203740763546824,-0.09726898799414949
6.0,3000,84,1,83.0,0.3046220751231533,0.2955626539408868,0.03065144077397003
6.0,10000,2555,918,1.7832244008714597,0.29468134236453225,0.2047625461822658,0.43913693133228965
