ensemble,epsilon,tw,t_star,chi4_star,chi4_star_std,tau_alpha
correlated,0.0,0,1,0.002528479064039365,0.0019503393955208393,30.0
correlated,0.0,100,1,0.05902863300492607,0.03828029850255106,653.0
correlated,0.0,300,1,0.21833820812807883,0.1090834800441937,918.0
correlated,0.0,1000,2,0.3865090055418722,0.19619779696532347,1292.0
correlated,0.0,3000,3,0.31227101293103515,0.14323774773477269,1292.0
correlated,0.0,10000,330,0.1068676878078818,0.06424983143452233,1292.0
correlated,3.0,0,1,0.002001231527093555,0.0015847216831809308,30.0
correlated,3.0,100,1,0.05917872536945808,0.058322300107370786,
correlated,3.0,300,1,0.23563923953201965,0.14569142213271677,
correlated,3.0,1000,6,0.4202413023399013,0.27661235045535254,
correlated,3.0,3000,119,0.3223348983990147,0.16082603292742714,
correlated,3.0,10000,653,0.20577278325123144,0.15095641176138083,
correlated,6.0,0,1,0.003111530172413745,0.001800025814489931,43.0
correlated,6.0,100,1,0.040503771551724084,0.03801263318114307,
correlated,6.0,300,1,0.1913350523399014,0.13310800590181124,
correlated,6.0,1000,1,0.39203740763546824,0.20750126020472381,
correlated,6.0,3000,1,0.2955626539408868,0.1528515450359211,
correlated,6.0,10000,918,0.2047625461822658,0.12047208801726227,
iid,0.0,0,1,0.002528479064039365,0.0019503393955208393,30.0
iid,0.0,100,1,0.05902863300492607,0.03828029850255106,653.0
iid,0.0,300,1,0.21833820812807883,0.1090834800441937,918.0
iid,0.0,1000,2,0.3865090055418722,0.19619779696532347,1292.0
iid,0.0,3000,3,0.31227101293103515,0.14323774773477269,1292.0
iid,0.0,10000,330,0.1068676878078818,0.06424983143452233,1292.0
iid,3.0,0,1,0.002495766625615715,0.0015549410771820355,30.0
iid,3.0,100,1,0.04860491071428565,0.055560990252491275,
iid,3.0,300,1,0.19284367302955666,0.11995454648445471,
iid,3.0,1000,22,0.39090016933497507,0.16561479299742485,
iid,3.0,3000,1,0.4107643165024629,0.15335230896339042,
iid,3.0,10000,330,0.2831377001231523,0.1610066975575211,
iid,6.0,0,1,0.002403402093596015,0.0015649952564429292,30.0
iid,6.0,100,1,0.061216517857142806,0.02712116639170389,
iid,6.0,300,1,0.225450277093596,0.10951837491188066,
iid,6.0,1000,2,0.3539043257389164,0.1677425853373094,
iid,6.0,3000,84,0.3046220751231533,0.1456339755083337,
iid,6.0,10000,2555,0.29468134236453225,0.14442333147415198,
