ensemble,epsilon,tw,t_star,chi4_star,Q0,tau
correlated,0.0,0.0,1.0,0.002528479064039365,,
correlated,0.0,100.0,1.0,0.05902863300492607,,
correlated,0.0,300.0,1.0,0.21833820812807883,,
correlated,0.0,1000.0,2.0,0.3865090055418722,,
correlated,0.0,3000.0,3.0,0.31227101293103515,,
correlated,0.0,10000.0,330.0,0.1068676878078818,,
correlated,3.0,0.0,1.0,0.002001231527093555,,
correlated,3.0,100.0,1.0,0.05917872536945808,,
correlated,3.0,300.0,1.0,0.23563923953201965,,
correlated,3.0,1000.0,6.0,0.4202413023399013,,
correlated,3.0,3000.0,119.0,0.3223348983990147,,
correlated,3.0,10000.0,653.0,0.20577278325123144,,
correlated,6.0,0.0,1.0,0.003111530172413745,,
correlated,6.0,100.0,1.0,0.040503771551724084,,
correlated,6.0,300.0,1.0,0.1913350523399014,,
correlated,6.0,1000.0,1.0,0.39203740763546824,,
correlated,6.0,3000.0,1.0,0.2955626539408868,,
correlated,6.0,10000.0,918.0,0.2047625461822658,,
iid,0.0,0.0,1.0,0.002528479064039365,,
iid,0.0,100.0,1.0,0.05902863300492607,,
iid,0.0,300.0,1.0,0.21833820812807883,,
iid,0.0,1000.0,2.0,0.3865090055418722,,
iid,0.0,3000.0,3.0,0.31227101293103515,,
iid,0.0,10000.0,330.0,0.1068676878078818,,
iid,3.0,0.0,1.0,0.002495766625615715,,
iid,3.0,100.0,1.0,0.04860491071428565,,
iid,3.0,300.0,1.0,0.19284367302955666,,
iid,3.0,1000.0,22.0,0.39090016933497507,,
iid,3.0,3000.0,1.0,0.4107643165024629,,
iid,3.0,10000.0,330.0,0.2831377001231523,,
iid,6.0,0.0,1.0,0.002403402093596015,,
iid,6.0,100.0,1.0,0.061216517857142806,,
iid,6.0,300.0,1.0,0.225450277093596,,
iid,6.0,1000.0,2.0,0.3539043257389164,,
iid,6.0,3000.0,84.0,0.3046220751231533,,
iid,6.0,10000.0,2555.0,0.29468134236453225,,
