fA,seed,contrast,SAA,k_star,E
0.2,1,0.005436999796462927,0.003561207809011644,0.9995976625058433,-26601.25172662735
0.2,2,0.0029961499191909022,0.0030605850750277043,0.9995976625058433,-26826.775390625
0.2,3,0.0044843862612619,0.003919351572981787,0.9995976625058433,-26421.268310546875
0.2,4,0.0034717726905111675,0.003669962299147185,0.9995976625058433,-27089.572372436523
0.2,5,0.004364456455147013,0.002934187103422582,0.9995976625058433,-26570.977935791016
0.3,1,0.0079160978129973,0.0064332332078491025,0.9995976625058433,-25472.46324157715
0.3,2,0.006215189092635021,0.005265899166672268,0.9995976625058433,-25924.05079650879
0.3,3,0.008100467592521495,0.008363424308294135,0.9995976625058433,-25187.96590423584
0.3,4,0.006380870742418383,0.005235739109522786,0.9995976625058433,-25046.61256408691
0.3,5,0.007557285727818237,0.006994286745707398,0.9995976625058433,-25146.36418914795
0.4,1,0.011899823315125346,0.012740525124449334,0.9995976625058433,-24450.372497558594
0.4,2,0.00971972066826883,0.008925403391898606,0.9995976625058433,-24331.91928100586
0.4,3,0.01047099324464966,0.011011524946709846,0.9995976625058433,-24429.103225708008
0.4,4,0.009588081434439677,0.008777717240203809,0.9995976625058433,-24350.76745223999
0.4,5,0.008619206903645434,0.009895243848165761,0.9995976625058433,-24239.446113586426
0.5,1,0.008047626114462863,0.012505199328814142,0.9995976625058433,-23912.403091430664
0.5,2,0.01146532692400153,0.012521501158379106,0.9995976625058433,-23878.738483428955
0.5,3,0.01173009717985778,0.016241747895080354,0.7139983303613167,-23849.37828063965
0.5,4,0.013745900635380873,0.018293685934054015,0.7139983303613167,-23861.764373779297
0.5,5,0.011233782123827758,0.014567709764927739,0.9995976625058433,-23515.38777351379
0.6,1,0.01341359369495282,0.015334401213557874,0.7139983303613167,-24404.225296020508
0.6,2,0.021302656376844274,0.02244014134126282,0.7139983303613167,-24630.330764770508
0.6,3,0.02311813449649177,0.022230551259875993,0.7139983303613167,-24714.849090576172
0.6,4,0.01987765921351692,0.026013911224932223,0.7139983303613167,-24605.39588546753
0.6,5,0.02070526273820385,0.02440498497138891,0.7139983303613167,-24096.53793334961
0.7,1,0.02119695554029965,0.025076381741218633,0.7139983303613167,-25121.015953063965
0.7,2,0.027579588523901313,0.027631861576653205,0.7139983303613167,-26320.119331359863
0.7,3,0.02103505275980818,0.022471303562249273,0.7139983303613167,-24763.425632476807
0.7,4,0.020780532849122256,0.025079595553088013,0.7139983303613167,-25327.985511779785
0.7,5,0.02272800937972247,0.02669759129985072,0.7139983303613167,-24941.88535308838
0.8,1,0.022928232436363008,0.026421908745590424,0.7139983303613167,-26819.845859527588
0.8,2,0.026069545947143426,0.027827937116047606,0.7139983303613167,-27275.443965911865
0.8,3,0.02960816373200554,0.03145616546015364,0.7139983303613167,-26285.256412506104
0.8,4,0.028666772714002812,0.032425680705857524,0.7139983303613167,-27177.08293914795
0.8,5,0.03504029322768076,0.03760503576063265,0.7139983303613167,-26582.111770629883
