L,kappa,seed,contrast,SAA,E
18.0,0.0,1,0.0024211899889101524,0.0023649337618291454,-24404.591690063477
18.0,0.0,2,0.0026200876913012204,0.0023599750021353815,-24678.878227233887
18.0,0.0,3,0.0028030671713958136,0.0014656770927052823,-24701.30558013916
18.0,0.0,4,0.002582392614002356,0.0013633014071839256,-24769.58073425293
18.0,0.3,1,0.0030068532633047455,0.0017718392216010469,-25091.60076904297
18.0,0.3,2,0.003149192435259487,0.002054788981378538,-24984.70442199707
18.0,0.3,3,0.003503247564628155,0.0018534376356432309,-25123.45906829834
18.0,0.3,4,0.0028498379907742114,0.0016111639285698442,-24641.41831207275
18.0,0.5,1,0.004009268590244886,0.0024161748091158135,-25466.557495117188
18.0,0.5,2,0.003502834520084757,0.002096246587300246,-25204.52590560913
18.0,0.5,3,0.004259546221053731,0.0022498366257175527,-25603.283409118652
18.0,0.5,4,0.003718559504942177,0.0022297271349059045,-25672.94303894043
18.0,0.7,1,0.005045040535905978,0.002824545660763054,-25736.51537322998
18.0,0.7,2,0.004845844343195096,0.0029551921595575388,-25998.561317443848
18.0,0.7,3,0.005794977761855028,0.003125358988534764,-26134.42571258545
18.0,0.7,4,0.0069542607266254546,0.003809585553963836,-26491.165504455566
18.0,0.9,1,0.008780083605676897,0.004635443268619049,-26387.943031311035
18.0,0.9,2,0.0067263203609691305,0.0043177385995386295,-26378.18287658691
18.0,0.9,3,0.007975282688922052,0.004408951626413868,-26636.13929748535
18.0,0.9,4,0.010498422456867228,0.0055308693136960265,-27092.75072479248
18.0,1.0,1,0.008886190544750674,0.00483495840149643,-26998.827667236328
18.0,1.0,2,0.011046375885916454,0.0058724648161297376,-27234.619018554688
18.0,1.0,3,0.010437772084735068,0.005970855664706567,-27444.602687835693
18.0,1.0,4,0.01040812783651925,0.005449489839665424,-27267.62760925293
20.0,0.0,1,0.0037083358640421665,0.004334480508924978,-23265.996910095215
20.0,0.0,2,0.0007207455111727563,0.030719090396084815,
