L,rho,kappa,eps,seed,contrast,SAA,k_star_c,E,Rg
22.0,0.540946656649136,0.0,0.005,1,0.00226489546159806,0.014987893375636427,1.28519699465037,-22865.597021102905,2.4585939108030908
22.0,0.540946656649136,0.0,0.005,2,0.0028915419512038506,0.015790762422209746,1.28519699465037,-22473.77226257324,2.494356963326653
22.0,0.540946656649136,0.0,0.005,3,0.002951177992556041,0.017861470978597933,1.28519699465037,-22415.007778167725,2.483997825018653
22.0,0.540946656649136,0.0,0.02,1,0.004347198766867115,0.010543119747519999,1.28519699465037,-21968.150199890137,2.6123773892140245
22.0,0.540946656649136,0.0,0.02,2,0.004181803038115051,0.013616924434693206,1.28519699465037,-21555.42364120483,2.5697572198912813
22.0,0.540946656649136,0.0,0.02,3,0.004206712861291366,0.012090701725651003,1.28519699465037,-21724.97077178955,2.566793103338927
22.0,0.540946656649136,0.0,0.05,1,0.004985418876626425,0.007230646064966496,1.28519699465037,-22394.655632019043,2.64167987072728
22.0,0.540946656649136,0.0,0.05,2,0.005134887531208589,0.012145421634874852,1.28519699465037,-21803.872314453125,2.624508874547936
22.0,0.540946656649136,0.0,0.05,3,0.004535805828672154,0.011343358793899949,1.5707963267948966,-21974.182174682617,2.6004960831110093
22.0,0.540946656649136,0.0,0.1,1,0.005222558828824744,0.008131785241109437,1.28519699465037,-22566.2619972229,2.6747404562485064
22.0,0.540946656649136,0.0,0.1,2,0.005029449282698474,0.010927421170443088,1.28519699465037,-22436.08388900757,2.62262346176122
22.0,0.540946656649136,0.0,0.1,3,0.004655515349460248,0.011270871454998457,1.28519699465037,-21887.386924743652,2.5962085956045797
22.0,0.540946656649136,0.0,0.2,1,0.004389986296591509,0.008487610756712605,1.28519699465037,-23207.191345214844,2.6884857111154212
22.0,0.540946656649136,0.0,0.2,2,0.0038015630886607593,0.009466369627571697,1.28519699465037,-22747.56476211548,2.6327476233404874
22.0,0.540946656649136,0.0,0.2,3,0.004589220951366253,0.010014254378393865,1.28519699465037,-22859.039154052734,2.58935145225043
22.0,0.540946656649136,0.5,0.005,1,0.005192471097413023,0.016476025990074937,0.7139983303613167,-23058.04299736023,2.514681471014786
