N,bl,frac,seed,contrast,SAA,k_star_c,E,Rg
100,12,0.12,1,0.12046369530744758,0.2098904930238726,0.9224905018697598,-60734.32107543945,4.230533102490885
100,12,0.12,2,0.12395326605860034,0.22428563767464502,0.9224905018697598,-61299.12432861328,4.048100780074353
100,12,0.12,3,0.1396950890967245,0.24111576692432007,0.9224905018697598,-61561.69802856445,4.101480923581366
100,12,0.12,4,0.12255189669807097,0.20498139807046073,0.9224905018697598,-61173.35046386719,4.217240277480176
100,25,0.25,1,0.1959130580178024,0.25981211801364185,0.7174926125653688,-64034.48564147949,4.201918602737624
100,25,0.25,2,0.21349602844383908,0.30506207915152245,0.7174926125653688,-64073.28038024902,4.010799798490524
100,25,0.25,3,0.2786819689777965,0.2746654063719579,0.7174926125653688,-65278.25924682617,4.055975533344659
100,25,0.25,4,0.19167573163952698,0.23470449105097774,0.7174926125653688,-63854.35614013672,4.1933757221787715
100,50,0.5,1,0.37590397956665256,0.372789172297697,0.5124947232609777,-66719.64918518066,4.132850550235527
100,50,0.5,2,0.4408844023243622,0.4464452351682334,0.5124947232609777,-66746.15914916992,3.973461817393851
100,50,0.5,3,0.3216882022498586,0.3230100005509522,0.7174926125653688,-66979.81231689453,3.9753774173711216
100,50,0.5,4,0.3578916446614019,0.32711991932889767,0.5124947232609777,-67008.8038482666,4.117095146652833
120,15,0.125,1,0.222787445601466,0.16712685380356865,0.8681097292695161,-75066.60269165039,4.495262210653426
120,15,0.125,2,0.21831228887311857,0.15121725623769527,0.8681097292695161,-74879.3430480957,4.375805453278488
120,15,0.125,3,0.008928424479060412,0.009364864985325433,0.6751964560985124,3.566422809247773e+20,14314976.476631155
120,30,0.25,1,0.3976539982428483,0.278208512096139,0.6751964560985124,-78686.04992675781,4.475027067314629
120,30,0.25,2,0.40514352792440006,0.2980931965434609,0.6751964560985124,-77757.8403930664,4.327928074520482
120,30,0.25,3,0.38726615695931177,0.29295151484710386,0.6751964560985124,-78226.64590454102,4.453176605299735
120,60,0.5,1,0.43869087480112223,0.29935173496430545,0.6751964560985124,-79968.60317993164,4.400673398450315
120,60,0.5,2,0.42135974026349154,0.28256031554030825,0.6751964560985124,-80728.26872253418,4.272504100512354
120,60,0.5,3,0.4811109404409335,0.32891287671497466,0.6751964560985124,-80895.40090942383,4.37843818606576
160,20,0.125,1,0.41824132373289913,0.36658117793775674,0.788684348181538,-100802.88537597656,5.162345411693241
160,20,0.125,2,0.4107854766797612,0.30195214540960724,0.788684348181538,-101272.01440429688,5.00101964948644
160,20,0.125,3,0.017826148105226657,0.01743060138418196,0.6134211596967518,1.1777172055124494e+19,16436445.63875768
160,20,0.125,4,0.3765397723551364,0.4048893056241054,0.788684348181538,-101671.1216430664,5.128041996420731
160,40,0.25,1,0.6061209448440046,0.5150748798822493,0.6134211596967518,-105296.306640625,5.172848500531826
160,40,0.25,2,0.6371946149503998,0.5451399547891889,0.6134211596967518,-104088.09671020508,5.032130482519798
160,40,0.25,3,0.01716093471482802,0.01698658558204106,0.788684348181538,1.1923559622620314e+19,16123893.962587796
160,40,0.25,4,0.6833205428274806,0.5652762333632266,0.6134211596967518,-105561.90454101562,5.111583931262531
160,80,0.5,1,0.9296215003621286,0.6805361903751252,0.6134211596967518,-108642.22161865234,5.115335644283351
160,80,0.5,2,0.8079963122327884,0.5419433556809491,0.6134211596967518,-109340.43786621094,4.944073183522041
160,80,0.5,3,0.017836895346268995,0.01690942720738179,0.788684348181538,1.7269944069772665e+21,16406182.22376931
160,80,0.5,4,0.8732292861527714,0.6455487001870166,0.6134211596967518,-108913.7582397461,5.030817829393312
40,10,0.25,1,0.0208523522758566,0.022995635158922487,0.9739215489428057,-24714.25527191162,2.7031971421636625
40,10,0.25,2,0.01881500709300357,0.020106216646357568,0.9739215489428057,-24916.99343490601,2.676454654810929
40,10,0.25,3,0.024617488624273653,0.027585900574895815,0.6956582492448613,-25228.773921966553,2.6797452840855067
40,10,0.25,4,0.023356408587181715,0.018657051603405535,0.9739215489428057,-25377.049560546875,2.772618689709498
40,20,0.5,1,0.034370936600954693,0.0290234879427831,0.6956582492448613,-25655.11302947998,2.649378487127646
40,20,0.5,2,0.03609839320204985,0.03054473271328752,0.6956582492448613,-25613.64950561523,2.7116902187964027
40,20,0.5,3,0.03136599152184852,0.029577043005180697,0.6956582492448613,-25550.44428253174,2.651255574983833
40,20,0.5,4,0.04331922282135089,0.032729334057007085,0.6956582492448613,-25713.44857788086,2.747665484211624
40,5,0.125,1,0.011656751343309284,0.012358431751506188,1.2521848486407503,-23693.32145690918,2.6381749256319313
40,5,0.125,2,0.011528276541506711,0.017377197606599715,1.2521848486407503,-23419.780479431152,2.643509463914118
40,5,0.125,3,0.01334150759347482,0.01962928161880174,1.2521848486407503,-23441.007789611816,2.594274797666843
40,5,0.125,4,0.012781152907294951,0.013522176303341554,0.9739215489428057,-23523.768615722656,2.7536493459050577
60,15,0.25,1,0.048406565954487044,0.05733025266615691,0.85072141489859,-37333.23631286621,3.2771477070439285
