N,kappa,pi,seed,contrast,SAA,k_star_c,E,Rg
128,0.0,0.99,1,0.041203587823861104,0.08116819713208712,1.2667712312862067,-70554.88543701172,4.555097343607765
128,0.0,0.99,2,0.045773260141098254,0.10581693619066017,1.2667712312862067,-71077.50540161133,4.5411451937396174
128,0.0,0.99,3,0.04197300734240671,0.10001446122602878,1.4616591130225463,-70759.42987060547,4.594160829210064
128,0.0,0.99,4,0.04271651733923667,0.1187082294959427,1.2667712312862067,-70353.85598754883,4.572801506076665
128,0.0,0.9,1,0.045713433928747126,0.08664850804676737,1.2667712312862067,-70899.23419189453,4.558186811788719
128,0.0,0.9,2,0.045507652295262796,0.0942156970324582,1.2667712312862067,-71093.71957397461,4.53320042890056
128,0.0,0.9,3,0.04564756849013479,0.09772205380722165,1.0718833495498672,-70683.6344909668,4.599003721983691
128,0.0,0.9,4,0.04631316455636576,0.12013381066516518,1.2667712312862067,-70478.83901977539,4.586404249593809
128,0.3,0.99,1,0.06094339431733267,0.11368347855069709,0.6821075860771882,-72842.52416992188,4.5475551845941675
128,0.3,0.99,2,0.059390858892997694,0.1125806543569277,1.0718833495498672,-72748.43789672852,4.549935797589253
128,0.3,0.99,3,0.009918352190130084,0.009720635280974574,1.2667712312862067,1.2226528729125474e+19,15626810.606552942
128,0.3,0.99,4,0.05341990086720526,0.131648058934147,1.2667712312862067,-71721.63537597656,4.563716628066157
128,0.3,0.9,1,0.0548735795138756,0.09943685730626015,1.2667712312862067,-72000.9418334961,4.5122249215577686
128,0.3,0.9,2,0.048946238240710184,0.09849850954736825,1.0718833495498672,-71875.42294311523,4.548011498349511
128,0.3,0.9,3,0.010006052420736714,0.010026560426014516,0.6821075860771882,9.87493175187512e+18,14322834.72065404
128,0.3,0.9,4,0.05436583070331735,0.12693466999315714,1.2667712312862067,-70829.17190551758,4.550047451435583
128,0.6,0.99,1,0.17304422378707723,0.16384454879749985,0.6821075860771882,-77043.07723999023,4.505389159788752
128,0.6,0.99,2,0.1451387773283378,0.15700206277298473,0.6821075860771882,-77507.33969116211,4.515558971529835
128,0.6,0.99,3,0.01005996395780051,0.010138988555038864,0.6821075860771882,1.36859646601352e+19,14992794.370702902
128,0.6,0.99,4,0.12319155278203979,0.16566686255751642,0.6821075860771882,-76666.0121307373,4.500219350759471
128,0.6,0.9,1,0.08892938562473267,0.1130443341827112,0.8769954678135278,-74507.05108642578,4.551943221378029
128,0.6,0.9,2,0.08525162496889117,0.13254207930222872,1.0718833495498672,-75207.83709716797,4.573947798455094
128,0.6,0.9,3,0.011275916455188266,0.010713043165270723,0.6821075860771882,1.1142807112165536e+19,14334466.68829312
128,0.6,0.9,4,0.08184753439833839,0.1267420339083604,1.0718833495498672,-73665.49002075195,4.5766521862217
128,0.9,0.99,1,0.3718147790287341,0.25860881848728506,0.6821075860771882,-84205.58380126953,4.481519255031245
128,0.9,0.99,2,0.3779014634290388,0.268199699507375,0.6821075860771882,-84360.41149902344,4.538620029227949
128,0.9,0.99,3,0.00996520779512322,0.010073897147522175,1.0718833495498672,5.097820119179395e+20,14964684.5691747
128,0.9,0.99,4,0.3066711333104296,0.2521250754522547,0.6821075860771882,-83928.12149047852,4.475464420149324
128,0.9,0.9,1,0.1624058689612603,0.14776873142673283,0.8769954678135278,-78512.47189331055,4.555676559860607
128,0.9,0.9,2,0.17255576377858617,0.16768393822672928,0.8769954678135278,-78709.86517333984,4.573953494712056
128,0.9,0.9,3,0.009554373859181117,0.009824914620647347,1.0718833495498672,9.863377049782594e+18,15365830.11604146
128,0.9,0.9,4,0.1930914096457927,0.1761205565068222,0.8769954678135278,-79087.53973388672,4.576334906436621
128,1.0,0.99,1,0.48339482262695793,0.3165518162595604,0.6821075860771882,-87704.82522583008,4.564358155954675
128,1.0,0.99,2,0.45794538734413526,0.34504899188469923,0.6821075860771882,-88425.53085327148,4.406544663905096
128,1.0,0.99,3,0.5452388675982232,0.3795547752191316,0.6821075860771882,-87772.72485351562,4.354643754627054
128,1.0,0.99,4,0.47299679428196695,0.3254160741383964,0.6821075860771882,-88831.00344848633,4.496969661603695
128,1.0,0.9,1,0.23482530770697888,0.19834817569188173,0.8769954678135278,-81145.31958007812,4.619167975525965
128,1.0,0.9,2,0.2756004004848473,0.22071652484220353,0.6821075860771882,-81291.31814575195,4.511979040103745
128,1.0,0.9,3,0.2352992047457213,0.22614234848831005,0.6821075860771882,-80520.8002319336,4.515414943658549
128,1.0,0.9,4,0.22283745446896935,0.19052579462416286,0.6821075860771882,-80182.3805847168,4.609141138753617
160,0.0,0.99,1,0.06600218655437193,0.18761905107604493,1.1759488769555806,-88212.93115234375,5.071649489513987
160,0.0,0.99,2,0.07930382468644134,0.22105132876615965,1.1759488769555806,-88174.30889892578,5.042308662665131
160,0.0,0.99,3,0.06824593217091429,0.22415568936882072,1.3568640887949006,-88685.17544555664,5.047071054009876
