run_index,run_id,n_chains,chain_length,n_beads,box_size,bead_density,kappa,pi,seed,realized_f_A,sequence_balance_attempts,n_early_frames,n_final_frames,early_first_step,early_last_step,final_first_step,final_last_step,secondary_per_seed_max_metric,secondary_per_seed_max_k_star,secondary_per_seed_max_k_star_units,secondary_per_seed_max_amplitude,secondary_per_seed_max_boundary,secondary_per_seed_max_early_to_final_change,secondary_per_seed_max_final_window_slope_per_step,diagnostic_AA_minus_AB_at_secondary_per_seed_max_k_star,diagnostic_AA_minus_AB_k_star,diagnostic_AA_minus_AB_peak_amplitude,primary_condition_selected_shell_index,primary_condition_selected_k_star,primary_condition_selected_k_star_units,primary_condition_selected_boundary,primary_at_condition_selected_shell_final,primary_at_condition_selected_shell_early,primary_at_condition_selected_shell_early_to_final_change,primary_at_condition_selected_shell_final_window_slope_per_step
0,M0144_N40_kappa0_pi0p990_seed1,144,40,5760,22,0.54094665664913599,0,0.98999999999999999,1,0.5,3,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.0297430362853615,nm^-1,8.225891398257172,none,0.49402054734099554,-6.2044395908744717e-05,8.7229546801858966,1.0297430362853615,8.7229546801858966,11,1.0297430362853615,nm^-1,none,8.225891398257172,7.7318708509161764,0.49402054734099554,-6.2044395908744717e-05
1,M0144_N40_kappa0_pi0p990_seed2,144,40,5760,22,0.54094665664913599,0,0.98999999999999999,2,0.5,190,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.98934510776411877,nm^-1,9.0931500794103517,none,0.35959083677259862,9.0858980505280121e-05,8.6633526803872734,0.98934510776411877,8.6633526803872734,11,1.0297430362853615,nm^-1,none,6.1927400501140912,5.9127960018182115,0.27994404829587971,0.0001250103963636675
2,M0144_N40_kappa0_pi0p990_seed3,144,40,5760,22,0.54094665664913599,0,0.98999999999999999,3,0.5,35,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.1423973285781066,nm^-1,7.1044235289961764,none,-0.98861916742452305,-0.00014902194915269738,7.3344378169962994,1.1423973285781066,7.3344378169962994,11,1.0297430362853615,nm^-1,none,2.9391730876335109,3.1780837485905957,-0.2389106609570848,-2.8511504282278521e-05
3,M0144_N40_kappa0_pi0p990_seed4,144,40,5760,22,0.54094665664913599,0,0.98999999999999999,4,0.5,58,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.1423973285781066,nm^-1,8.282140217812513,none,0.39190066473516083,-0.00014658125652092975,8.1624717481778752,1.1423973285781066,8.1624717481778752,11,1.0297430362853615,nm^-1,none,6.1443853873462562,6.4531422294402034,-0.30875684209394727,-0.00015789413238573915
4,M0144_N40_kappa0_pi0p990_seed5,144,40,5760,22,0.54094665664913599,0,0.98999999999999999,5,0.5,75,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.94722582509948294,nm^-1,9.2479036111232649,none,-0.45552172481083275,-2.3316798914242098e-06,9.2651201410511721,0.94722582509948294,9.2651201410511721,11,1.0297430362853615,nm^-1,none,7.1238345132947627,6.6093586936563229,0.5144758196384398,-6.7545586763091245e-05
5,M0144_N40_kappa1_pi0p990_seed1,144,40,5760,22,0.54094665664913599,1,0.98999999999999999,1,0.5,614,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.28559933214452665,nm^-1,557.64152843282466,q_min,6.5589565730618915,0.0011525860297041479,560.54403215407569,0.28559933214452665,560.54403215407569,0,0.28559933214452665,nm^-1,q_min,557.64152843282466,551.08257185976277,6.5589565730618915,0.0011525860297041479
6,M0144_N40_kappa1_pi0p990_seed2,144,40,5760,22,0.54094665664913599,1,0.98999999999999999,2,0.5,256,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.28559933214452665,nm^-1,494.74015819263661,q_min,4.0952255714602188,0.0010529151859378907,476.92686892808035,0.28559933214452665,476.92686892808035,0,0.28559933214452665,nm^-1,q_min,494.74015819263661,490.64493262117639,4.0952255714602188,0.0010529151859378907
7,M0144_N40_kappa1_pi0p990_seed3,144,40,5760,22,0.54094665664913599,1,0.98999999999999999,3,0.5,97,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.28559933214452665,nm^-1,461.78899575190309,q_min,9.810507732101712,0.0014804278986657096,459.21480117854401,0.28559933214452665,459.21480117854401,0,0.28559933214452665,nm^-1,q_min,461.78899575190309,451.97848801980138,9.810507732101712,0.0014804278986657096
8,M0144_N40_kappa1_pi0p990_seed4,144,40,5760,22,0.54094665664913599,1,0.98999999999999999,4,0.5,169,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.28559933214452665,nm^-1,559.52862144870301,q_min,1.4165652531152091,0.00060505004443438953,551.1242576205716,0.28559933214452665,551.1242576205716,0,0.28559933214452665,nm^-1,q_min,559.52862144870301,558.1120561955878,1.4165652531152091,0.00060505004443438953
9,M0144_N40_kappa1_pi0p990_seed5,144,40,5760,22,0.54094665664913599,1,0.98999999999999999,5,0.5,88,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.28559933214452665,nm^-1,532.1675861449653,q_min,6.2913867279396527,0.000990352063782711,539.92932586560687,0.28559933214452665,539.92932586560687,0,0.28559933214452665,nm^-1,q_min,532.1675861449653,525.87619941702565,6.2913867279396527,0.000990352063782711
