run_index,run_id,n_chains,chain_length,n_beads,box_size,bead_density,kappa,pi,seed,realized_f_A,sequence_balance_attempts,n_early_frames,n_final_frames,early_first_step,early_last_step,final_first_step,final_last_step,secondary_per_seed_max_metric,secondary_per_seed_max_k_star,secondary_per_seed_max_k_star_units,secondary_per_seed_max_amplitude,secondary_per_seed_max_boundary,secondary_per_seed_max_early_to_final_change,secondary_per_seed_max_final_window_slope_per_step,diagnostic_AA_minus_AB_at_secondary_per_seed_max_k_star,diagnostic_AA_minus_AB_k_star,diagnostic_AA_minus_AB_peak_amplitude,primary_condition_selected_shell_index,primary_condition_selected_k_star,primary_condition_selected_k_star_units,primary_condition_selected_boundary,primary_at_condition_selected_shell_final,primary_at_condition_selected_shell_early,primary_at_condition_selected_shell_early_to_final_change,primary_at_condition_selected_shell_final_window_slope_per_step
0,M0144_N40_kappa0_pi0p990_seed1,144,40,5760,22,0.54094665664913599,0,0.98999999999999999,1,0.5,3,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.1423973285781066,nm^-1,9.1545674447218293,none,2.1935632154842102,0.0007265658201041997,10.557023571498309,1.1423973285781066,10.557023571498309,9,0.94722582509948294,nm^-1,none,4.7146901304508111,4.8803934029663534,-0.16570327251554229,1.3999703859547572e-05
1,M0144_N40_kappa0_pi0p990_seed2,144,40,5760,22,0.54094665664913599,0,0.98999999999999999,2,0.5,190,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.1423973285781066,nm^-1,6.698336979447431,none,-0.93681731438289972,-0.00028085745223039178,7.2807959881077622,1.1423973285781066,7.2807959881077622,9,0.94722582509948294,nm^-1,none,4.6998086476773357,4.4625896613032712,0.23721898637406458,3.3055787472949215e-05
2,M0144_N40_kappa0_pi0p990_seed3,144,40,5760,22,0.54094665664913599,0,0.98999999999999999,3,0.5,35,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.94722582509948294,nm^-1,7.1745317337348613,none,0.15611155326035231,-0.00011231528696985443,7.1013421085567199,0.94722582509948294,7.1013421085567199,9,0.94722582509948294,nm^-1,none,7.1745317337348613,7.018420180474509,0.15611155326035231,-0.00011231528696985443
3,M0144_N40_kappa0_pi0p990_seed4,144,40,5760,22,0.54094665664913599,0,0.98999999999999999,4,0.5,58,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.94722582509948294,nm^-1,10.578349051343327,none,1.0409260149647679,0.00016725417155238139,10.450144300035447,0.94722582509948294,10.450144300035447,9,0.94722582509948294,nm^-1,none,10.578349051343327,9.5374230363785593,1.0409260149647679,0.00016725417155238139
4,M0144_N40_kappa0_pi0p990_seed5,144,40,5760,22,0.54094665664913599,0,0.98999999999999999,5,0.5,75,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.1423973285781066,nm^-1,6.867074323699951,none,1.1118437958478644,0.00022981254304205376,6.6635167555428945,1.1423973285781066,6.6635167555428945,9,0.94722582509948294,nm^-1,none,3.974636180315045,3.9857146119737692,-0.011078431658724242,-0.00017912386322502206
5,M0144_N40_kappa1_pi0p990_seed1,144,40,5760,22,0.54094665664913599,1,0.98999999999999999,1,0.5,614,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.28559933214452665,nm^-1,518.32786771830274,q_min,3.0340632503616689,3.628950740955188e-05,529.18689729181915,0.28559933214452665,529.18689729181915,0,0.28559933214452665,nm^-1,q_min,518.32786771830274,515.29380446794107,3.0340632503616689,3.628950740955188e-05
6,M0144_N40_kappa1_pi0p990_seed2,144,40,5760,22,0.54094665664913599,1,0.98999999999999999,2,0.5,256,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.28559933214452665,nm^-1,521.44846634019473,q_min,4.632884134588835,-0.00021289293314492679,510.99628893022634,0.28559933214452665,510.99628893022634,0,0.28559933214452665,nm^-1,q_min,521.44846634019473,516.81558220560589,4.632884134588835,-0.00021289293314492679
7,M0144_N40_kappa1_pi0p990_seed3,144,40,5760,22,0.54094665664913599,1,0.98999999999999999,3,0.5,97,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.28559933214452665,nm^-1,520.66443469596356,q_min,3.78428692564421,0.0016767810237084107,530.48400138824286,0.28559933214452665,530.48400138824286,0,0.28559933214452665,nm^-1,q_min,520.66443469596356,516.88014777031935,3.78428692564421,0.0016767810237084107
8,M0144_N40_kappa1_pi0p990_seed4,144,40,5760,22,0.54094665664913599,1,0.98999999999999999,4,0.5,169,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.28559933214452665,nm^-1,584.9590157068144,q_min,-1.1934321745427496,0.0010648617544215639,599.56693231369161,0.28559933214452665,599.56693231369161,0,0.28559933214452665,nm^-1,q_min,584.9590157068144,586.15244788135715,-1.1934321745427496,0.0010648617544215639
9,M0144_N40_kappa1_pi0p990_seed5,144,40,5760,22,0.54094665664913599,1,0.98999999999999999,5,0.5,88,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.28559933214452665,nm^-1,559.27741787268701,q_min,-4.9528360341874986,-0.00041757717746697599,566.35438221405423,0.28559933214452665,566.35438221405423,0,0.28559933214452665,nm^-1,q_min,559.27741787268701,564.23025390687451,-4.9528360341874986,-0.00041757717746697599
