run_id,sequence_type,n_chains,chain_length,f_A,kappa,pi,step,total_energy,kinetic_energy,mean_Rg,temperature_inst,k_star,xi_AA,S_AA_peak
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,2000,-49711.234375,24406.9921875,3.1816916882782587,0.7062208387586806,0.45490202167653115,13.812172748810937,0.10561344227174228
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,4000,-51394.03112792969,24342.85546875,3.174081464307818,0.7043650309244792,0.45490202167653115,13.812172748810937,0.11538022734573733
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,6000,-52136.871154785156,24295.08984375,3.181497262358238,0.702982923719618,0.45490202167653115,13.812172748810937,0.12038223770338644
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,8000,-52781.56344604492,24204.078125,3.1918151615580226,0.7003494827835649,0.45490202167653115,13.812172748810937,0.12369141789198007
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,10000,-53161.342681884766,24331.4140625,3.186740146579239,0.7040339717158565,0.45490202167653115,13.812172748810937,0.12601099004809044
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,12000,-53130.25408935547,24268.02734375,3.1878131230234135,0.702199865270544,0.45490202167653115,13.812172748810937,0.12772467797622938
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,14000,-53188.688079833984,24127.35546875,3.193809270723654,0.6981294985170717,0.27294121300591867,23.0202879146849,0.12835335948570292
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,16000,-53620.21365356445,23971.75,3.198370645315299,0.693627025462963,0.27294121300591867,23.0202879146849,0.1353559382412614
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,18000,-53828.144439697266,24304.203125,3.208918198007406,0.7032466182002315,0.27294121300591867,23.0202879146849,0.13980713403390657
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,20000,-53989.294921875,23998.017578125,3.2107260467738787,0.6943870827003762,0.27294121300591867,23.0202879146849,0.1501318355870616
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,22000,-53838.683197021484,24012.12890625,3.2070515595520233,0.6947953965928819,0.27294121300591867,23.0202879146849,0.1562687200362647
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,24000,-54069.19064331055,24084.076171875,3.2195108195378057,0.696877204047309,0.27294121300591867,23.0202879146849,0.16591218339534936
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,26000,-54384.47073364258,24264.046875,3.2283032060461117,0.7020846896701389,0.27294121300591867,23.0202879146849,0.1727482694794525
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,28000,-54348.074279785156,24132.46875,3.223408125820763,0.6982774522569444,0.27294121300591867,23.0202879146849,0.17891672192225494
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,30000,-54518.95642089844,24372.349609375,3.233638395690385,0.7052184493453414,0.27294121300591867,23.0202879146849,0.1844649755883658
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,32000,-54537.709899902344,24006.8203125,3.235603471919059,0.6946417914496528,0.27294121300591867,23.0202879146849,0.18743101796540865
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,34000,-54691.18371582031,24414.166015625,3.2461019040895027,0.7064284148039641,0.27294121300591867,23.0202879146849,0.19367552268889257
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,36000,-55004.35592651367,24141.12890625,3.2520959086223113,0.6985280354817708,0.27294121300591867,23.0202879146849,0.2012106981059397
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,38000,-55055.694732666016,24423.013671875,3.2556743273802744,0.7066844233760127,0.27294121300591867,23.0202879146849,0.2086381356933828
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,40000,-55269.52770996094,24230.65625,3.2520075155808743,0.7011185257523148,0.27294121300591867,23.0202879146849,0.2137372777876605
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,42000,-54923.2248840332,24251.88671875,3.250437836117358,0.7017328332971643,0.27294121300591867,23.0202879146849,0.2219293881263962
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,44000,-55434.79525756836,24384.443359375,3.2640295579761647,0.7055683842411747,0.27294121300591867,23.0202879146849,0.22558812382180082
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,46000,-55303.47033691406,24160.14453125,3.2571868899156073,0.6990782561125579,0.27294121300591867,23.0202879146849,0.22815034886417787
M0576_N40_kappa1_pi0p990_seed5,correlated,576,40,0.5,1.0,0.99,48000,-55310.61642456055,24334.044921875,3.249312565067662,0.7041100961190683,0.27294121300591867,23.0202879146849,0.23294470063295294
