ensemble,epsilon,N,kappa,pi,disorder_idx,tw,lag,Q_mean,chi4,D4_mean,D4_std,n_traj,n_pairs
iid,3.0,40,0.0,0.0,0,0,1,0.007085020242914981,0.008350202429149793,5.9753604957503486,2.29779119431948,4,741
iid,3.0,40,0.0,0.0,0,0,2,0.00641025641025641,0.007000674763832666,11.870594464072402,5.170447805311658,4,741
iid,3.0,40,0.0,0.0,0,0,3,0.0067476383265856945,0.012145748987854258,16.37481870761591,6.7204966490303795,4,741
iid,3.0,40,0.0,0.0,0,0,4,0.005398110661268556,0.008097165991902832,20.94649332821815,9.877363205753339,4,741
iid,3.0,40,0.0,0.0,0,0,7,0.004723346828609987,0.007085020242914976,44.27781222485018,11.078841137038854,4,741
iid,3.0,40,0.0,0.0,0,0,11,0.0033738191632928472,0.005735492577597841,82.62227140225819,28.032583949569617,4,741
iid,3.0,40,0.0,0.0,0,0,18,0.003036437246963563,0.0029520917678812412,165.65227215184478,35.533328002772535,4,741
iid,3.0,40,0.0,0.0,0,0,30,0.0020242914979757085,0.0016869095816464238,339.0095606513694,94.23668884361113,4,741
iid,3.0,40,0.0,0.0,0,0,48,0.0020242914979757085,0.0016869095816464238,563.7568907211252,201.10089652277418,4,741
iid,3.0,40,0.0,0.0,0,0,78,0.0010121457489878543,0.0009278002699055331,905.3669672745614,314.5301390013859,4,741
iid,3.0,40,0.0,0.0,0,0,127,0.001349527665317139,0.0006747638326585698,1287.6164338526019,450.7047447740714,4,741
iid,3.0,40,0.0,0.0,0,0,207,0.0016869095816464236,0.0009278002699055334,1649.0641798064378,578.9070856352181,4,741
iid,3.0,40,0.0,0.0,0,0,336,0.001349527665317139,0.0006747638326585698,1949.6782507169057,770.0153577678194,4,741
iid,3.0,40,0.0,0.0,0,0,546,0.0010121457489878543,0.0002530364372469635,2105.353380972272,885.2502646905117,4,741
iid,3.0,40,0.0,0.0,0,0,886,0.001349527665317139,0.001349527665317139,2354.06196990355,1069.1629667860736,4,741
iid,3.0,40,0.0,0.0,0,0,1438,0.0016869095816464236,0.0022773279352226723,2613.395167778181,1549.3110075977754,4,741
iid,3.0,40,0.0,0.0,0,0,2336,0.0020242914979757085,0.003036437246963563,2852.917377409075,1836.0146976638573,4,741
iid,3.0,40,0.0,0.0,0,0,3793,0.0020242914979757085,0.0016869095816464238,3121.9598220484813,1999.6807371748646,4,741
iid,3.0,40,0.0,0.0,0,0,6158,0.0020242914979757085,0.0016869095816464238,3208.9933215914302,2013.6875051537552,4,741
iid,3.0,40,0.0,0.0,0,0,10000,0.001349527665317139,0.001349527665317139,3291.8325548315406,1956.2668927760728,4,741
