ensemble,epsilon,N,kappa,pi,disorder_idx,tw,lag,Q_mean,chi4,D4_mean,D4_std,n_traj,n_pairs
correlated,6.0,30,0.7,0.9,0,0,1,0.003284072249589491,0.0021893814997263274,4.4941337052336285,1.5069670540045454,6,406
correlated,6.0,30,0.7,0.9,0,0,2,0.003284072249589491,0.0021893814997263274,11.05738613393874,3.7795161943117486,6,406
correlated,6.0,30,0.7,0.9,0,0,3,0.003284072249589491,0.001368363437328955,16.99738377589392,5.426728353885978,6,406
correlated,6.0,30,0.7,0.9,0,0,4,0.003284072249589491,0.001368363437328955,21.29996870230611,8.339730073485727,6,406
correlated,6.0,30,0.7,0.9,0,0,5,0.0036945812807881776,0.0022577996715927736,29.318712477946303,11.06927042152006,6,406
correlated,6.0,30,0.7,0.9,0,0,6,0.0024630541871921183,0.000821018062397373,35.520933726011656,12.099639510993748,6,406
correlated,6.0,30,0.7,0.9,0,0,7,0.0024630541871921183,0.001642036124794746,45.20727939196573,16.30409280458282,6,406
correlated,6.0,30,0.7,0.9,0,0,9,0.002052545155993432,0.0011631089217296114,65.79225690017995,18.502087777466002,6,406
correlated,6.0,30,0.7,0.9,0,0,10,0.0016420361247947454,0.0013683634373289546,77.92287663697327,23.82715250287401,6,406
correlated,6.0,30,0.7,0.9,0,0,12,0.0016420361247947454,0.0013683634373289546,108.59177418662871,41.800124373298665,6,406
correlated,6.0,30,0.7,0.9,0,0,15,0.0020525451559934315,0.0019841269841269845,152.90403461366364,56.02901302521773,6,406
correlated,6.0,30,0.7,0.9,0,0,17,0.0016420361247947454,0.0013683634373289546,173.13720239791954,50.01855337412524,6,406
correlated,6.0,30,0.7,0.9,0,0,20,0.0012315270935960591,0.0006157635467980298,228.12221932671832,43.781536403029385,6,406
correlated,6.0,30,0.7,0.9,0,0,24,0.0012315270935960591,0.0006157635467980298,302.99446848732555,86.67617614164737,6,406
correlated,6.0,30,0.7,0.9,0,0,28,0.0008210180623973727,0.0005473453749315821,378.2119449988524,101.71056933824129,6,406
correlated,6.0,30,0.7,0.9,0,0,34,0.0012315270935960591,0.0014367816091954023,484.68444950402005,143.85556901996029,6,406
correlated,6.0,30,0.7,0.9,0,0,40,0.0012315270935960591,0.0006157635467980298,611.5640355274714,193.4352747802869,6,406
correlated,6.0,30,0.7,0.9,0,0,47,0.00041050903119868636,0.0003420908593322387,738.8186911520173,242.34768245206047,6,406
correlated,6.0,30,0.7,0.9,0,0,56,0.0008210180623973727,0.0005473453749315821,882.7864960222233,291.42151263325263,6,406
correlated,6.0,30,0.7,0.9,0,0,66,0.0008210180623973727,0.0005473453749315821,1052.9256984696824,368.2342860667591,6,406
correlated,6.0,30,0.7,0.9,0,0,78,0.00041050903119868636,0.0003420908593322387,1147.8292493913643,428.28395358413565,6,406
correlated,6.0,30,0.7,0.9,0,0,92,0.00041050903119868636,0.0003420908593322387,1341.0632511008514,501.1468637794161,6,406
correlated,6.0,30,0.7,0.9,0,0,109,0.00041050903119868636,0.0003420908593322387,1524.5707706886506,589.2063202528053,6,406
correlated,6.0,30,0.7,0.9,0,0,129,0.0008210180623973727,0.0005473453749315821,1648.45992002458,537.4425323050956,6,406
correlated,6.0,30,0.7,0.9,0,0,152,0.0008210180623973727,0.0005473453749315821,1834.0089047038334,667.1548126935497,6,406
correlated,6.0,30,0.7,0.9,0,0,180,0.0016420361247947454,0.0013683634373289546,1935.3987428167836,695.702231108045,6,406
correlated,6.0,30,0.7,0.9,0,0,212,0.0016420361247947454,0.0013683634373289546,2084.099926278868,813.8481010726204,6,406
correlated,6.0,30,0.7,0.9,0,0,251,0.0012315270935960591,0.0006157635467980298,2199.098585847028,871.9462462232033,6,406
correlated,6.0,30,0.7,0.9,0,0,297,0.0012315270935960591,0.0006157635467980298,2274.998421200567,897.9308556794724,6,406
correlated,6.0,30,0.7,0.9,0,0,351,0.0012315270935960591,0.0006157635467980298,2389.852406388792,865.5441967271896,6,406
correlated,6.0,30,0.7,0.9,0,0,415,0.0008210180623973727,0.0005473453749315821,2507.781972582934,874.2305864420392,6,406
correlated,6.0,30,0.7,0.9,0,0,491,0.0008210180623973727,0.0005473453749315821,2632.4074943939363,907.3330667405687,6,406
correlated,6.0,30,0.7,0.9,0,0,580,0.00041050903119868636,0.0003420908593322387,2680.091781911355,902.3117980943751,6,406
correlated,6.0,30,0.7,0.9,0,0,686,0.00041050903119868636,0.0003420908593322387,2805.493492340102,933.8833232774813,6,406
correlated,6.0,30,0.7,0.9,0,0,811,0.0008210180623973727,0.0005473453749315821,2810.7378409937464,920.8826933981571,6,406
correlated,6.0,30,0.7,0.9,0,0,959,0.0012315270935960591,0.0014367816091954023,2919.3890041405416,836.1609696592792,6,406
correlated,6.0,30,0.7,0.9,0,0,1134,0.0012315270935960591,0.0014367816091954023,2986.817141389085,996.7433955176216,6,406
correlated,6.0,30,0.7,0.9,0,0,1341,0.0008210180623973727,0.0005473453749315821,3067.9433955060867,1018.3623634934602,6,406
correlated,6.0,30,0.7,0.9,0,0,1585,0.0012315270935960591,0.0014367816091954023,3036.0663012543864,836.333265987137,6,406
correlated,6.0,30,0.7,0.9,0,0,1874,0.0012315270935960591,0.0014367816091954023,3032.172984259821,773.3904409568802,6,406
correlated,6.0,30,0.7,0.9,0,0,2215,0.0008210180623973727,0.0005473453749315821,3066.4275450796576,802.4546205979597,6,406
