ensemble,epsilon,N,kappa,pi,disorder_idx,tw,lag,Q_mean,chi4,D4_mean,D4_std,n_traj,n_pairs
iid,6.0,30,0.0,0.0,0,0,1,0.004515599343185551,0.0028051450465243553,5.9159886712844845,3.032795670170975,6,406
iid,6.0,30,0.0,0.0,0,0,2,0.00451559934318555,0.0028051450465243566,13.201370175682419,4.053537412911954,6,406
iid,6.0,30,0.0,0.0,0,0,3,0.0049261083743842365,0.004105090311986864,21.974167809681422,10.238531523092183,6,406
iid,6.0,30,0.0,0.0,0,0,4,0.0036945812807881776,0.0022577996715927736,30.0467772709144,11.027364604235945,6,406
iid,6.0,30,0.0,0.0,0,0,5,0.003284072249589491,0.0021893814997263287,40.47531447302463,15.027163968175925,6,406
iid,6.0,30,0.0,0.0,0,0,6,0.0028735632183908046,0.0011631089217296114,52.17813690902802,18.860332760696107,6,406
iid,6.0,30,0.0,0.0,0,0,7,0.0028735632183908046,0.0011631089217296114,61.528516045086285,23.599358908128128,6,406
iid,6.0,30,0.0,0.0,0,0,9,0.0028735632183908046,0.0011631089217296114,83.25861883655419,29.336387175907735,6,406
iid,6.0,30,0.0,0.0,0,0,10,0.002052545155993432,0.0011631089217296114,94.28494865994861,33.15049854404804,6,406
iid,6.0,30,0.0,0.0,0,0,12,0.0012315270935960591,0.0006157635467980298,121.35938910569689,37.045724752643984,6,406
iid,6.0,30,0.0,0.0,0,0,15,0.0016420361247947454,0.0005473453749315822,180.0599081638022,56.51028635559544,6,406
iid,6.0,30,0.0,0.0,0,0,17,0.0016420361247947454,0.0005473453749315822,218.0968504854403,67.36304127038805,6,406
iid,6.0,30,0.0,0.0,0,0,20,0.0012315270935960591,0.0006157635467980298,276.8019395172305,78.45264668358116,6,406
iid,6.0,30,0.0,0.0,0,0,24,0.0008210180623973727,0.0005473453749315821,353.97803775151465,73.664221496063,6,406
iid,6.0,30,0.0,0.0,0,0,28,0.0008210180623973727,0.0005473453749315821,458.33346316575467,88.4952400038822,6,406
iid,6.0,30,0.0,0.0,0,0,34,0.0012315270935960591,0.0006157635467980298,575.6195453734776,97.2810010131598,6,406
iid,6.0,30,0.0,0.0,0,0,40,0.0012315270935960591,0.0006157635467980298,729.7579150903716,127.49348414331818,6,406
iid,6.0,30,0.0,0.0,0,0,47,0.0016420361247947454,0.0005473453749315822,874.4515379790504,175.9238367763526,6,406
iid,6.0,30,0.0,0.0,0,0,56,0.0008210180623973727,0.0005473453749315821,1072.0019734525467,204.2266345616873,6,406
iid,6.0,30,0.0,0.0,0,0,66,0.0008210180623973727,0.0005473453749315821,1260.2591067830201,269.12592146461685,6,406
iid,6.0,30,0.0,0.0,0,0,78,0.0008210180623973727,0.0005473453749315821,1482.4129459818262,325.4677238062723,6,406
iid,6.0,30,0.0,0.0,0,0,92,0.00041050903119868636,0.0003420908593322387,1627.0603501370244,332.61778593567254,6,406
iid,6.0,30,0.0,0.0,0,0,109,0.0016420361247947454,0.0013683634373289546,1889.0711493969495,465.34363342692166,6,406
