ensemble,epsilon,N,kappa,pi,disorder_idx,tw,lag,Q_mean,chi4,D4_mean,D4_std,n_traj,n_pairs
correlated,3.0,30,0.9,0.9,0,0,1,0.0028735632183908046,0.004447181171319103,6.725551283642647,1.502715028282015,6,406
correlated,3.0,30,0.9,0.9,0,0,2,0.0024630541871921183,0.002463054187192118,14.284718776950681,3.9222928869406775,6,406
correlated,3.0,30,0.9,0.9,0,0,3,0.002052545155993432,0.0011631089217296114,19.894499334000457,5.266099243600063,6,406
correlated,3.0,30,0.9,0.9,0,0,5,0.0008210180623973727,0.0005473453749315821,40.16863278853334,13.062518248672216,6,406
correlated,3.0,30,0.9,0.9,0,0,7,0.0016420361247947454,0.0013683634373289546,65.56836825422052,15.256544641281916,6,406
correlated,3.0,30,0.9,0.9,0,0,11,0.0008210180623973727,0.0005473453749315821,132.7346665092979,32.55883273371885,6,406
correlated,3.0,30,0.9,0.9,0,0,16,0.0008210180623973727,0.0005473453749315821,210.75805061041356,54.14620643204166,6,406
correlated,3.0,30,0.9,0.9,0,0,25,0.0012315270935960591,0.0014367816091954023,397.1449734050214,99.45928656569536,6,406
correlated,3.0,30,0.9,0.9,0,0,37,0.0012315270935960591,0.0014367816091954023,672.3509149478479,209.47365394662305,6,406
correlated,3.0,30,0.9,0.9,0,0,55,0.00041050903119868636,0.0003420908593322387,1057.3871281812878,340.85930624746436,6,406
correlated,3.0,30,0.9,0.9,0,0,82,0.0012315270935960591,0.0014367816091954023,1440.0852570892484,467.99461219421676,6,406
correlated,3.0,30,0.9,0.9,0,0,122,0.0008210180623973727,0.0013683634373289548,1889.6672371180168,651.016594685118,6,406
correlated,3.0,30,0.9,0.9,0,0,182,0.0012315270935960591,0.0014367816091954023,2170.90699411441,697.5972549778202,6,406
correlated,3.0,30,0.9,0.9,0,0,272,0.0008210180623973727,0.0005473453749315821,2419.3408816904725,823.785596273537,6,406
correlated,3.0,30,0.9,0.9,0,0,406,0.0012315270935960591,0.0014367816091954023,2595.891965655958,923.7503082782445,6,406
correlated,3.0,30,0.9,0.9,0,0,606,0.0008210180623973727,0.0013683634373289548,2842.6493260416137,992.2384227717976,6,406
correlated,3.0,30,0.9,0.9,0,0,905,0.0012315270935960591,0.0014367816091954023,2928.2239171935,1180.521555908859,6,406
correlated,3.0,30,0.9,0.9,0,0,1350,0.0008210180623973727,0.0005473453749315821,3064.032560838497,1198.102391980204,6,406
correlated,3.0,30,0.9,0.9,0,0,2015,0.00041050903119868636,0.0003420908593322387,3269.125294406364,1222.5878712613978,6,406
correlated,3.0,30,0.9,0.9,0,0,3008,0.0012315270935960591,0.0014367816091954023,3185.849849691271,1236.8826587573842,6,406
correlated,3.0,30,0.9,0.9,0,0,4489,0.00041050903119868636,0.0003420908593322387,3038.502281418029,1038.5449667874489,6,406
correlated,3.0,30,0.9,0.9,0,0,6700,0.00041050903119868636,0.0003420908593322387,3071.7600106017976,1176.0081014134219,6,406
correlated,3.0,30,0.9,0.9,0,0,10000,0.0012315270935960591,0.0006157635467980298,3146.5121469897567,1151.7914990507077,6,406
correlated,3.0,30,0.9,0.9,0,100,1,0.023809523809523808,0.11220580186097426,1.9760106912629076,1.040720886492153,6,406
correlated,3.0,30,0.9,0.9,0,100,2,0.02134646962233169,0.07936507936507937,4.341976117476762,2.198281058902133,6,406
correlated,3.0,30,0.9,0.9,0,100,3,0.021346469622331693,0.06376573617952927,6.63964057831366,3.9201450665042334,6,406
correlated,3.0,30,0.9,0.9,0,100,5,0.018062397372742203,0.06869184455391351,11.029307755332484,6.133093669124612,6,406
correlated,3.0,30,0.9,0.9,0,100,7,0.015599343185550082,0.07690202517788725,15.740156034436458,7.339805939482688,6,406
correlated,3.0,30,0.9,0.9,0,100,11,0.013136288998357963,0.039135194307608104,26.586022404031002,15.919352370356796,6,406
correlated,3.0,30,0.9,0.9,0,100,16,0.012725779967159278,0.05370826491516147,40.039388745795385,19.30867161584038,6,406
correlated,3.0,30,0.9,0.9,0,100,25,0.009441707717569787,0.034003831417624523,69.99564668313076,48.83993304629006,6,406
correlated,3.0,30,0.9,0.9,0,100,37,0.013136288998357963,0.051450465243568715,96.60434632160919,60.76046794882019,6,406
correlated,3.0,30,0.9,0.9,0,100,55,0.011083743842364532,0.06711822660098524,118.36600531545304,70.71207914222184,6,406
correlated,3.0,30,0.9,0.9,0,100,82,0.009852216748768473,0.040229885057471264,167.1289459411793,90.71867638674328,6,406
correlated,3.0,30,0.9,0.9,0,100,122,0.011494252873563218,0.04816639299397919,211.99858209623724,112.55153331047714,6,406
correlated,3.0,30,0.9,0.9,0,100,182,0.010262725779967159,0.03646688560481664,254.50206583470037,161.66235223221327,6,406
correlated,3.0,30,0.9,0.9,0,100,272,0.007389162561576355,0.027914614121510663,297.8136660425905,182.37410957181524,6,406
correlated,3.0,30,0.9,0.9,0,100,406,0.006157635467980296,0.028530377668308703,403.57927473312947,289.4369884497435,6,406
correlated,3.0,30,0.9,0.9,0,100,606,0.006157635467980295,0.02114121510673235,494.5908648877323,390.07076315245257,6,406
correlated,3.0,30,0.9,0.9,0,100,905,0.006568144499178981,0.008757525998905313,532.3135616654232,424.1884319524629,6,406
correlated,3.0,30,0.9,0.9,0,100,1350,0.004105090311986864,0.0071154898741105635,572.5771050201798,339.90799990403247,6,406
correlated,3.0,30,0.9,0.9,0,100,2015,0.004105090311986864,0.0038314176245210726,658.5780115471953,414.2127846376443,6,406
correlated,3.0,30,0.9,0.9,0,100,3008,0.003284072249589491,0.011220580186097426,713.0447368577966,508.2852142781867,6,406
correlated,3.0,30,0.9,0.9,0,100,4489,0.0012315270935960591,0.0006157635467980298,684.2686867177646,508.677394827905,6,406
correlated,3.0,30,0.9,0.9,0,100,6700,0.0028735632183908046,0.0028051450465243566,630.6210460242211,437.5507214833087,6,406
correlated,3.0,30,0.9,0.9,0,100,10000,0.004105090311986864,0.009578544061302678,691.7607133516127,445.07914528963767,6,406
correlated,3.0,30,0.9,0.9,0,1000,1,0.06157635467980296,0.16584564860426956,1.2617289738410207,1.7090752582141517,6,406
correlated,3.0,30,0.9,0.9,0,1000,2,0.05870279146141214,0.1325259989053097,1.713532469916285,1.73700883293931,6,406
correlated,3.0,30,0.9,0.9,0,1000,3,0.05418719211822661,0.14449917898193715,2.1957790712065863,1.7260522300214411,6,406
correlated,3.0,30,0.9,0.9,0,1000,5,0.0480295566502463,0.1155582922824303,4.632147807832753,4.467617358905692,6,406
correlated,3.0,30,0.9,0.9,0,1000,7,0.04351395730706076,0.05391351943076088,6.288365882744086,7.0094002037065,6,406
correlated,3.0,30,0.9,0.9,0,1000,11,0.044745484400656815,0.07094964422550627,8.799591667791978,9.013250862842895,6,406
correlated,3.0,30,0.9,0.9,0,1000,16,0.038177339901477834,0.06711822660098508,9.597596394810537,7.964999842586051,6,406
correlated,3.0,30,0.9,0.9,0,1000,25,0.03489326765188835,0.042214012041598026,16.884320803386483,14.196942164291963,6,406
correlated,3.0,30,0.9,0.9,0,1000,37,0.034482758620689655,0.04105090311986877,25.415166389554923,22.66375750033232,6,406
correlated,3.0,30,0.9,0.9,0,1000,55,0.03160919540229885,0.030719759168035186,33.78909105776208,26.575103030096603,6,406
correlated,3.0,30,0.9,0.9,0,1000,82,0.026272577996715927,0.03420908593322383,46.739878807704606,37.040751611443405,6,406
correlated,3.0,30,0.9,0.9,0,1000,122,0.02750410509031199,0.034003831417624426,57.88336320837458,45.378446760566895,6,406
correlated,3.0,30,0.9,0.9,0,1000,182,0.024220032840722494,0.023330596606458746,52.168848710701546,37.06494099795438,6,406
correlated,3.0,30,0.9,0.9,0,1000,272,0.02257799671592775,0.019225506294471815,66.46662381168001,51.3430702197519,6,406
correlated,3.0,30,0.9,0.9,0,1000,406,0.01929392446633826,0.011836343732895443,79.35559365244725,61.62359657807629,6,406
correlated,3.0,30,0.9,0.9,0,1000,606,0.018062397372742203,0.016967706622879018,111.57941135811329,101.72171367111244,6,406
correlated,3.0,30,0.9,0.9,0,1000,905,0.01477832512315271,0.018883415435139564,140.89193936388176,127.04410107990276,6,406
correlated,3.0,30,0.9,0.9,0,1000,1350,0.01477832512315271,0.013136288998357946,165.4291596215702,151.09327979098657,6,406
correlated,3.0,30,0.9,0.9,0,1000,2015,0.011494252873563218,0.010399562123700044,212.49843817827607,172.08001489246854,6,406
correlated,3.0,30,0.9,0.9,0,1000,3008,0.01231527093596059,0.02216748768472907,162.22367030420676,140.47009181359655,6,406
correlated,3.0,30,0.9,0.9,0,1000,4489,0.013136288998357963,0.008757525998905313,281.6159813814681,325.9909300703686,6,406
correlated,3.0,30,0.9,0.9,0,1000,6700,0.011904761904761906,0.0101943076081007,204.1080463419013,277.0984013646448,6,406
correlated,3.0,30,0.9,0.9,0,1000,10000,0.011083743842364532,0.0318144499178982,255.12474756639017,241.0189663605277,6,406
correlated,3.0,30,0.9,0.9,0,10000,1,0.07717569786535304,0.18609742747673813,0.6804663386776908,0.37237117448828566,6,406
correlated,3.0,30,0.9,0.9,0,10000,2,0.07224958949096881,0.14997263273125264,1.0793209277683313,0.6031462440373639,6,406
correlated,3.0,30,0.9,0.9,0,10000,3,0.07060755336617407,0.13355227148330528,1.5817256050812414,0.7357635980355111,6,406
correlated,3.0,30,0.9,0.9,0,10000,5,0.06773399014778327,0.13033661740558247,3.635410987507401,3.247575734384243,6,406
correlated,3.0,30,0.9,0.9,0,10000,7,0.060755336617405585,0.16885604816639316,5.503451662087286,4.971595404986321,6,406
correlated,3.0,30,0.9,0.9,0,10000,11,0.0574712643678161,0.17214012041598248,7.753923390432912,7.525331352996281,6,406
correlated,3.0,30,0.9,0.9,0,10000,16,0.055418719211822655,0.1410098522167491,8.496697691674521,7.181791362115157,6,406
correlated,3.0,30,0.9,0.9,0,10000,25,0.05213464696223317,0.13006294471811725,10.96985932921321,10.396212039275845,6,406
correlated,3.0,30,0.9,0.9,0,10000,37,0.04638752052545156,0.08162287903667222,15.003497692555962,16.684038809002647,6,406
correlated,3.0,30,0.9,0.9,0,10000,55,0.04146141215106733,0.07833880678708253,14.739213488539287,10.861630285243189,6,406
correlated,3.0,30,0.9,0.9,0,10000,82,0.03776683087027915,0.0571975916803503,19.875916440298568,12.438180610853582,6,406
correlated,3.0,30,0.9,0.9,0,10000,122,0.03776683087027915,0.04898741105637653,37.31217189025316,31.8939810332527,6,406
correlated,3.0,30,0.9,0.9,0,10000,182,0.03201970443349753,0.08866995073891629,50.477687582911834,53.36205942284819,6,406
correlated,3.0,30,0.9,0.9,0,10000,272,0.033661740558292276,0.08511220580186121,62.556754189061735,60.30957803126642,6,406
correlated,3.0,30,0.9,0.9,0,10000,406,0.02955665024630542,0.04597701149425286,66.14832641221712,62.34495407432872,6,406
correlated,3.0,30,0.9,0.9,0,10000,606,0.018883415435139574,0.016967706622878997,71.20864841241688,58.87024993024873,6,406
correlated,3.0,30,0.9,0.9,0,10000,905,0.01847290640394089,0.010467980295566481,137.52152470875868,147.23745461811137,6,406
correlated,3.0,30,0.9,0.9,0,10000,1350,0.017651888341543513,0.009373289545703356,235.48261009569845,363.1644004790358,6,406
correlated,3.0,30,0.9,0.9,0,10000,2015,0.016420361247947452,0.020251778872468547,397.12607939506216,783.5157699941941,6,406
correlated,3.0,30,0.9,0.9,0,10000,3008,0.011083743842364532,0.007183908045976995,268.47277000365034,424.1818352892899,6,406
correlated,3.0,30,0.9,0.9,0,10000,4489,0.014778325123152707,0.005747126436781629,362.55345557031075,561.9969359124284,6,406
correlated,3.0,30,0.9,0.9,0,10000,6700,0.011904761904761904,0.0044471811713191044,163.84927904680274,166.55369646286664,6,406
correlated,3.0,30,0.9,0.9,0,10000,10000,0.014367816091954021,0.024972632731253434,189.53844466901248,228.96019203142907,6,406
correlated,3.0,30,0.9,0.9,1,0,1,0.0012315270935960591,0.0006157635467980298,6.171981601489524,2.464225364614173,6,406
correlated,3.0,30,0.9,0.9,1,0,2,0.0012315270935960591,0.0006157635467980298,13.147556151626418,3.655685970760106,6,406
correlated,3.0,30,0.9,0.9,1,0,3,0.0012315270935960591,0.0006157635467980298,26.076786676208883,4.640170815190098,6,406
correlated,3.0,30,0.9,0.9,1,0,5,0.0012315270935960591,0.0006157635467980298,41.77861750233033,7.444477227113933,6,406
correlated,3.0,30,0.9,0.9,1,0,7,0.0008210180623973727,0.0005473453749315821,66.10955874236373,8.092832139623924,6,406
correlated,3.0,30,0.9,0.9,1,0,11,0.0012315270935960591,0.0006157635467980298,116.54819734631423,19.604385755988535,6,406
correlated,3.0,30,0.9,0.9,1,0,16,0.0012315270935960591,0.0006157635467980298,213.4755077329121,27.09246494148101,6,406
correlated,3.0,30,0.9,0.9,1,0,25,0.0012315270935960591,0.0006157635467980298,427.8996708635652,73.99913146101578,6,406
correlated,3.0,30,0.9,0.9,1,0,37,0.00041050903119868636,0.0003420908593322387,720.8556260791883,88.18515750164431,6,406
correlated,3.0,30,0.9,0.9,1,0,55,0.0,0.0,1101.6499953306845,245.4832301818738,6,406
correlated,3.0,30,0.9,0.9,1,0,82,0.0,0.0,1686.3378579379803,414.2279232111702,6,406
correlated,3.0,30,0.9,0.9,1,0,122,0.0,0.0,2227.7718076290435,487.0838700065067,6,406
