ensemble,epsilon,N,kappa,pi,disorder_idx,tw,lag,Q_mean,chi4,D4_mean,D4_std,n_traj,n_pairs
correlated,6.0,30,0.7,0.8,0,0,1,0.003284072249589491,0.0046524356869184465,4.52526000508308,2.303339137784832,6,406
correlated,6.0,30,0.7,0.8,0,0,2,0.0028735632183908046,0.0028051450465243566,11.284890112558841,6.441661674696639,6,406
correlated,6.0,30,0.7,0.8,0,0,3,0.0024630541871921183,0.003284072249589491,18.675122950707777,11.86939844712475,6,406
correlated,6.0,30,0.7,0.8,0,0,5,0.0024630541871921183,0.0016420361247947454,38.4449116760128,20.17619000256727,6,406
correlated,6.0,30,0.7,0.8,0,0,7,0.002052545155993432,0.0011631089217296112,60.16352359897087,33.934922995003035,6,406
correlated,6.0,30,0.7,0.8,0,0,11,0.0008210180623973727,0.0005473453749315821,110.57974228302227,42.75494189972212,6,406
correlated,6.0,30,0.7,0.8,0,0,16,0.0012315270935960591,0.0006157635467980298,183.86099192524094,57.882886556559264,6,406
correlated,6.0,30,0.7,0.8,0,0,25,0.0016420361247947454,0.0021893814997263283,343.51506700428985,114.07534574134222,6,406
correlated,6.0,30,0.7,0.8,0,0,37,0.0008210180623973727,0.0005473453749315821,542.003604462522,168.14558858580455,6,406
correlated,6.0,30,0.7,0.8,0,0,55,0.0012315270935960591,0.0014367816091954023,874.3026985637257,308.3948342768459,6,406
correlated,6.0,30,0.7,0.8,0,0,82,0.0008210180623973727,0.0013683634373289548,1192.8241311364986,431.51847407821055,6,406
correlated,6.0,30,0.7,0.8,0,0,122,0.0020525451559934315,0.0036261631089217292,1569.7038142547651,541.6303016043963,6,406
correlated,6.0,30,0.7,0.8,0,0,182,0.0012315270935960591,0.0014367816091954023,1977.7022269363958,767.4783099135416,6,406
correlated,6.0,30,0.7,0.8,0,0,272,0.0024630541871921183,0.005747126436781609,2307.2128127943674,870.4786028566376,6,406
correlated,6.0,30,0.7,0.8,0,0,406,0.0012315270935960591,0.0014367816091954023,2667.6524173973717,952.0409755550332,6,406
correlated,6.0,30,0.7,0.8,0,0,606,0.0012315270935960591,0.0014367816091954023,2845.7185322654386,981.0518882104133,6,406
correlated,6.0,30,0.7,0.8,0,0,905,0.0012315270935960591,0.0014367816091954023,3179.4424660972622,932.8977357270766,6,406
correlated,6.0,30,0.7,0.8,0,0,1350,0.0012315270935960591,0.0014367816091954023,3385.68112515513,1068.8462672221046,6,406
correlated,6.0,30,0.7,0.8,0,0,2015,0.0012315270935960591,0.0014367816091954023,3333.9097649412047,1002.2814647364017,6,406
correlated,6.0,30,0.7,0.8,0,0,3008,0.00041050903119868636,0.0003420908593322387,3416.329365872132,1023.340892567282,6,406
correlated,6.0,30,0.7,0.8,0,0,4489,0.0012315270935960591,0.0014367816091954023,3509.159704577172,1005.9662647744677,6,406
correlated,6.0,30,0.7,0.8,0,0,6700,0.0012315270935960591,0.0014367816091954023,3645.2381146730036,994.9332810909948,6,406
correlated,6.0,30,0.7,0.8,0,0,10000,0.0008210180623973727,0.0013683634373289548,3868.058604436032,1102.1383757095878,6,406
correlated,6.0,30,0.7,0.8,0,100,1,0.022167487684729065,0.051724137931034454,2.3128007429771533,0.9532733616338931,6,406
correlated,6.0,30,0.7,0.8,0,100,2,0.019704433497536946,0.03366174055829226,5.41241795716144,4.697435968580715,6,406
correlated,6.0,30,0.7,0.8,0,100,3,0.018883415435139574,0.054734537493158195,7.442275765734787,5.886514520700501,6,406
correlated,6.0,30,0.7,0.8,0,100,5,0.016009852216748766,0.020320197044334985,12.992831265189345,8.2679895186766,6,406
correlated,6.0,30,0.7,0.8,0,100,7,0.015599343185550082,0.02435686918445539,17.466488484994283,8.494454292801482,6,406
correlated,6.0,30,0.7,0.8,0,100,11,0.01354679802955665,0.015394088669950757,26.51159789319235,11.697596259516946,6,406
correlated,6.0,30,0.7,0.8,0,100,16,0.016420361247947452,0.030103995621237008,38.596056113408395,16.706227827459344,6,406
correlated,6.0,30,0.7,0.8,0,100,25,0.012315270935960592,0.024630541871921194,66.58215521535523,35.56623825792743,6,406
correlated,6.0,30,0.7,0.8,0,100,37,0.013136288998357963,0.01450465243568693,118.45017738687282,60.563501822037026,6,406
correlated,6.0,30,0.7,0.8,0,100,55,0.013136288998357967,0.02107279693486586,165.69604010242688,85.30271757614,6,406
correlated,6.0,30,0.7,0.8,0,100,82,0.011494252873563218,0.005473453749315815,234.3673346689694,124.66100887282703,6,406
correlated,6.0,30,0.7,0.8,0,100,122,0.011494252873563218,0.006294471811713192,311.77196850405153,172.57921992964705,6,406
correlated,6.0,30,0.7,0.8,0,100,182,0.008620689655172412,0.016215106732348127,439.6047344727414,236.2598615672414,6,406
